aspectId,description,topic
0,8980,antwort enthalt gesucht stichwort,0
1,9787,antwort konzept nennen der suchen,0
2,12472,antwort enthalt gesucht stichwort correctstat,0
3,12479,genau hauptkonzept verstehen,2
4,20,antwort enthalt rechtschreibfehl,0
5,12986,antwort enthalt rechtschreibfehl,0
6,124,the learner -- abl to use spell strategi correctli,2
7,15321,can correctli spell written text,2
8,21,antwortsatz enthalt strukturelement substantiv verb artikel usw,0
9,4,antwort wurd satz geben,1
10,44,ausfuhrlich anweisungen hinzufugen,1
11,12935,antwortsatz enthalt strukturelement substantiv verb artikel usw,0
12,82,antwort wurd satz geben,1
13,14185,lernend person lage korrekt satz schreiben,0
14,14303,lernend person lage rechtschreibstrategie korrekt anwenden,2
15,174,lernend person lage rechtschreibstrategie korrekt anwenden,2
16,84,antwort wurd gewunscht zeitform geben prasen,1
17,85,gegeben antwort stimmen verbform subjekt person zahl uberein,0
18,16585,antwort wurd gewunscht zeitform geben prasen,1
19,87,antwort verwenden aufgabenbeschreibung angegebenen worter,0
20,16624,antwort verwenden aufgabenbeschreibung angegebenen worter,0
21,16731,gegeben antwort stimmen verbform subjekt person zahl uberein,0
22,163,antwort wurd gefordert genu verbi formulieren passiv,0
23,16550,antwort wurd gefordert genu verbi formulieren passiv,0
24,1489,the abil to use -- right input format,2
25,1490,the abil to correctli match -- verb to -- subject,2
26,1491,the abil to answer the right languag,2
27,1492,can correctli spell written text,2
28,49047,can correctli spell written text,2
29,1498,the abil to convert text from one languag to anoth,2
30,49014,the abil to correctli match -- verb to -- subject,2
31,49253,the abil to convert text from one languag to anoth,2
32,6736,antwort wurd gewunscht form geben partizip,1
33,16664,antwort verwenden aufgabenbeschreibung angegebenen worter,0
34,16749,gegeben antwort stimmen verbform subjekt person zahl uberein,0
35,66630,antwort wurd gewunscht form geben partizip,1
36,7359,antwortsatz enthalt strukturelement substantiv verb artikel usw,0
37,7360,werden rechtschreibfehl machen,0
38,67563,werden rechtschreibfehl machen,0
39,67735,antwortsatz enthalt strukturelement substantiv verb artikel usw,0
40,94,wurd erkennen dichen entstehen,2
41,15190,wurd erkennen dichen entstehen,2
42,110000,lernend person lage inhalt korrekt anwenden,0
43,68964,lernend person lage korrekt satz schreiben,0
44,110011,lernend vorgeben verb verwenden,2
45,69525,lernend korrekt verb verwenden,2
46,110004,lernend lage modalverb richtig konjugieren,2
47,92070,lernend verstandni dampfdruck flussigkeit gleich umgebungsdruck daher fallen siedepunkt fallend umgebungsdruck siedepunkt direkt dampfdruck flussigkeit zusammenhangt,2
48,92494,lernend verstand verringerung siedepunkt flussigkeit senken umgebungsdruck gehen,2
49,184384,lernend geben leer antwort ab,1
50,184389,lernend rechtschreib grammatikfehl machen,0
51,184394,lernend verwenden angemessen sprechen,2
52,184392,lernend geben antwort ganz worter ab,1
53,184390,lernend geben thema relevant antwort,1
54,184429,lernend erklart antwort,0
55,184395,lernend begrunden antwort,0
56,198021,lernend nennen antwort,0
57,198287,lernend teilchenmodel verwend verschied konzept erklaren,2
58,184549,lernend beurteilen antwort,0
59,198533,lernend individuell bedurfniss anforderung verschied person analysieren,0
60,198537,lernend kosten nutzen aspekt verschied fahrzeugtype analysieren,2
61,198541,lernend verstehen umweltauswirkung verschiede antriebsart,2
62,198648,lernend vervollstaendigen satz antwort,0
63,198353,lernend antworten aufzahlung,1
64,199038,lernend geschwindigkeiten umrechnen,2
65,214521,lernend mathematisch berechnen losung finden,2
66,208858,lernend losungsweg aufzeigen,1
67,199018,lernend kennen verschiede bewegungsarten,2
68,193514,lernend beschreiben antwort,0
69,199535,lernend verstehen konzept elektrisch widerstand,0
70,184531,lernend erlautern antwort,0
71,184374,lernend verstehen magnet geordnet elementarmagnet bestehen,2
72,184376,lernend verstehen zerteilung magneten grundlegend magnetisch eigenschaft beeinflussen,2
73,184378,lernend verstehen magnet nordpol sudpol existieren magnetisch polaritat immer paar auftreten,2
74,198017,lernend konzept additiv farbmischung verstehen,0
75,184919,lernend verstehen kontakt elektrisch systemen geschlossen stromkrei bilden,2
76,184537,lernend notieren antwort,0
77,198928,lernend kennen merkmal hebel,2
78,199366,lernend erklar aussag uber beschleunigungswern fahrzeug bedeuten,1
79,188271,lernend lage elektrog gluhlamp fohn aufzahlen,2
80,193310,lernend nennen drei gerat antwort,0
81,203870,lernend verwenden angemessen sprechen,2
82,203872,lernend geben thema relevant antwort,1
83,203874,lernend geben leer antwort ab,1
84,203876,lernend geben antwort ganz worter ab,1
85,215871,lernend verstehen kontrol korper getrennt hirnhemispharen erfolgen,2
86,198605,lernend kennen unterschied fest losen rollen,0
87,199598,lernend verstehen formel r u x i richtig anwend,2
88,199090,lernend erkennen gefahr fehleinschatzen geschwindigkeiten straßenverkehr entsteh konn,2
89,186297,lernend geben leer antwort ab,1
90,189788,lernend verwenden angemessen sprechen,2
91,189782,lernend geben antwort ganz worter ab,1
92,189780,lernend geben thema relevant antwort,1
93,189796,lernend begrunden antwort,0
94,190194,lernend erklart antwort,0
95,224122,lernend geben leer antwort ab,1
96,224123,lernend verwenden angemessen sprechen,2
97,224125,lernend geben antwort ganz worter ab,1
98,224127,lernend geben thema relevant antwort,1
99,276966,lernend geben leer antwort ab,1
100,276968,lernend verwenden angemessen sprechen,2
101,276970,lernend geben antwort ganz worter ab,1
102,276972,lernend wenden regel rechtschreibung,1
103,265155,the learner -- not give empti answer,2
104,265157,the learner provid -- valid mathemat express,2
105,265173,the learner appli variabl correctli,2
106,265175,the learner simplifi accord to -- rule,2
107,265161,the learner correctli take into account the sign,2
108,277067,verb indikativ hauptsatz subjekt angeglichen,2
109,224682,antwort entsprechen aufgabenstellung,0
110,223149,struktur antwort stimmen musterlosung uberein,0
111,111251,lernend objekt aktivsatz subjekt passivsatz umform,2
112,111406,lernend hilfsverb richtig form setzen,2
113,114929,lernend hilfsverb prasen setzen,2
114,224672,antwort inhalt,0
115,224652,antwort rahmen aufgabenstellung,0
116,224680,antwort enthalt rechtschreibfehl,0
117,224683,lernend satzintegritatsfehl machen,2
118,109986,lernend modalverbe prasen setzen,2
119,113590,lernend partizip ii schwach verben bilden,2
120,110913,lernend hilfsverb passiv prasen setzen,2
121,111401,lernend hilfsverb passiv prateritum setzen,2
122,109994,lernend hilfsverb passiv infinitiv setzen,2
123,111415,lernend modalverben prateritum setzen,2
124,92482,lernend verstehen flussigkeit bei verdampf flussig gasformig dampfformig zustand wechseln,2
125,92487,lernend verstehen bei verdampfen energi zugefuhrt flussigkeit gasformig zustand wechseln,2
126,92653,lernend verstehen destil zyklu einmalig verdampfen kondensier beinhalten,2
127,92367,lernend verstehen destil einmalig verdampf kondensier abfuhr flussigkeitsgemisch erfolgen,2
128,92657,lernend verstehen destil trennung flussigkeitskomponenen gemisch,2
129,349751,student schreiben satz korrekt rechtschreibung,1
130,347365,antwort entsprechen musterlosung,0
131,101132,lernend modalverbe konjunktiv ii verwend,2
132,224678,antwort enthalt vorgeben verb,0
133,224670,antwort enthalt verb,0
134,112864,lernend vollverb infinitiv erganzen,2
135,109005,lernend schwach verb prateritum setzen,2
136,277065,verb stehen indikativ,2
137,109007,lernend stark verben prateritum setzen,2
138,185922,lernend reflexivpronom entsprechend deklinieren,2
139,274691,lernend verben prasen setzen,2
140,275969,luck enthalt reflexivpronomen,0
141,274877,antwort wurd verb bilden,0
142,274670,lernend untrennbar verben prasen bilden,2
143,101130,lernend hilfsverben konjunktiv ii verwend,2
144,114913,lernend partizip ii starker verben bilden,2
145,224651,antwort entsprechen erwartet format satz,0
146,101128,lernend satz konjunktiv ii erganz,1
147,274879,antwort wurd verb wurd bilden,2
148,274880,antwort wurd verb bilden,0
149,181850,lernend n deklin nom anwenden,2
150,186384,lernend nomen nominativ erganz,0
151,224660,antwort enthalt nomen,0
152,224662,antwort enthalt possessivpronomen,0
153,224693,antwort enthalt vorgeben possessivpronomen,0
154,184265,lernend pronome verlangt kasu setzen,2
155,175374,lernend verb infinitiv setzen,2
156,219551,lernend hilfsverb futur i prasen setzen,2
157,224656,antwort enthalt artikel,0
158,181267,lernend artikel verlangt kasu setzen,2
159,215973,lernend fragewort direkt frage verwenden,0
160,290328,antwort enthalt fragewort,0
161,215975,lernend verb fragewort direkn ja nein frage verwenden,2
162,175378,lernend infinitiv erganzen,2
163,223451,lernend verb passend zeitform setzen,2
164,215965,lernend doppelkonnektor verwend,2
165,215963,lernend doppelkonnektor verwend,2
166,215961,lernend doppelkonnektor verwend,2
167,215967,lernend doppelkonnektor verwend,2
168,189806,lernend relativsatz formulieren,2
169,181856,lernend relativpronome entsprechend deklinieren,2
170,224668,antwort enthalt relativpronomen,0
171,224699,antwort enthalt vorgeben relativpronom,0
172,379666,antwort inhalt,0
173,379672,antwort rahmen aufgabenstellung,0
174,379669,antwort enthalt rechtschreibfehl,0
175,379713,lernend satzintegritatsfehl machen,2
176,379717,struktur antwort stimmen musterlosung uberein,0
177,184257,lernend adjekt komparativ anwend,2
178,174784,lernend prafix trennbaren verben erkennen,2
179,274668,lernend trennbar verben prasen bilden,2
180,379858,lernend vergleichssatz bilden,2
181,379777,antwort enthalt adjektiv,0
182,379811,antwort enthalt vorgeben adjektiv,0
183,379837,verb stehen indikativ,2
184,379842,verb indikativ hauptsatz subjekt angeglichen,2
185,379844,lernend verben prasen setzen,2
186,224592,lernend infinitiv erganzen,2
187,8067,werden genugend mobel einrichtungsgegenstand aufgezahlen,1
188,8864,folgend konzept richtig erwahnen correctstat,2
189,9048,antwort enthalt gesucht stichwort,0
190,7977,antwort inhaltlich richtig,0
191,9385,folgend konzept richtig erwahnen correctstat,2
192,7924,antwort inhaltlich korrekt,0
193,7966,antwort enthalt gesucht stichwort,0
194,8872,mobel einrichtungsgegenstand kuch aufgezahlt,1
