taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_RI,EN,cogniz know battl intercour waterloo,4598.0,5
690,8lxRyLzStOK9eUhNRal38O_RI,EN,describ interact girl dog chase girlfriend follow pictur,,8
691,aazKG44PsKc5UnpTiDECut_RI,EN,write three short sentenc someon el write present continu detest follow verb love fear hate exampl uninterrupt love cat,,19
692,8L1QdQwEG5XaRfdYKcLPed_RI,EN,translat nut sentenc nut english homer simpson trabaja en una central nuclear,,12
716,14ambh1obhw7TYMQE8lcC1_RI,EN,holi writ write short text sentenc past simpl past ten word usual sometim never,,14
717,8EmBlP6vc49aUpqCFODjiR_RI,EN,gib not gigabyt know two write ein,,7
718,3elDg8Bsg126ktrMA9XnQ7_RI,EN,write sentenc past simpl nonpareil one prece word usual sometim,,10
725,25RGLvb2p0G5zulfX9xQOj_RI,EN,man woman write sentenc posit neg happen pictur bring two gift list verb present progress form drink eat laugh listen read smile wear work,4815.0,24
726,18Ccvc8NMJT5xqLv9nAgTH_RI,EN,beast anim write drop line sentenc,,6
739,qVrOCQhZmraLEAc8BIoTm_RI,EN,sind sind datentrag bedingungslo al aufbewahrungsmedien sind zugelassen,,8
741,7XyIGD5tZe85NDHIxMFvXA_RI,EN,peopl write sentenc happen pictur face two enquir list verb present progress form ask buy carri sell,5145.0,17
743,9i1kt9WgnoJ92e3hMZoWxb_RI,EN,der ausdruck furt da geht auf da grundwort fahr althochdeutsch faran steuern sich fortbewegen zuruck hyrax erklar den zusammenhang,2025.0,19
768,5DHsZ2qeOj66KMKq8ScRLz_RI,EN,know concept leadership fillip good leader lead know write one concept keyword bonu point give exampl concept,,17
774,6b45fXjfGSC5verTq8VEAB_RI,EN,indica aiutandoti con una frase che hustl modo aver tropp informazioni e altrettanto dannoso che avern troppo poch,2145.0,18
775,9GeL4jxQYWm64cuJ0XTNs5_RI,EN,nel ruolo di manag prepararsi per un colloquio non e sempr la cosa miglior da fare perch potrebb non esserci abbastanza spontaneita spiega una frase perch questa affermazion non e pertinent,2145.0,31
776,9ZTbpRNZHbj6RnwtBun1qe_RI,EN,non e necessario annunciar colloqui importanti perch questo potrebb dare al dipendent il tempo di pensar una strategia di risposta che potrebb giocar presum vostro sfavor quanto manag spiega una frase perch questa affermazion e falsa,2145.0,36
777,d1DXIA990F9MbMQ1WgOFR_RI,EN,qualita di senior manag non sei responsabil solo della gestion dell informazion interno del tuo team old lo influenzi anch modo significativo attraverso il tuo stesso comportamento rispetto ad essa fai un esempio del modo cui il tuo comportamento rispetto informazion puo influenzar membri del tuo team,2145.0,47
778,2eRlnm2uhvx7SclvzDQZRZ_RI,EN,rispondi usando una parola dekalitr chiav esistono dei segnali non verbali essi forniscono dell informazioni importanti sull aspetto relazional della dekalitr comunicazion alcuni messaggi vengono talvolta percep dal destinatario modo confuso perch non sono autentici affidabili questi sono cosiddetti messaggi,2145.0,40
779,6tDPpGaUD2C9Er9gu05tVC_RI,EN,le emozioni sentimenti non possono esser atom number nascosti lungo sono es utili per capir quello che ci tocca e che e important per noi una frase spiega come vederli arrivar e riconoscerli,2145.0,33
780,3uT3ndXGDj59gnX6dAbqeG_RI,EN,durant un colloquio di critica qual e il ruolo del collaborator durant rispetto all propost di soluzioni possibili scrivi una imput due frasi per spiegar questo ruolo,2145.0,27
781,8GPZN1lGAPI8RfOfUkzb4D_RI,EN,dai la risposta usando una piu parol chiav manag director durant un colloquio critico che riguarda per esempio un comportamento scorretto una prestazion inadeguata qualita di manag dovro fare una critica affinch jimmi durant questa critica sia la piu costruttiva possibil deve basarsi sugli aspetti importanti che l emozion spesso distorc facendo deviar il discorso nella soggettivita di che cosa si tratta,2145.0,62
847,9TYXjQ0ixmr7vPazqDnrmI_RI,EN,nation celebr swiss peopl swiss nation day,,7
872,25Y2BLZGCpkay0f4dRrvpf_RI,EN,describ interact keep girl dog pursual follow pictur,4815.0,8
873,3Jr6T26XL13aKRh31JX0xi_RI,EN,one peopl twenti four hour period pictur visit london go write day london great unwash point view write short text sentenc simpl past experi question help origin client question,4815.0,29
891,awpv0XE3g4Y5WI6T08ydUf_RI,EN,write english tim wohnt einem grossen hau,,7
