taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_SR,DE,translate into German: Він народився у Швейцарії.,,7
719,2T3rZTRBlAv94jV8YNcbgq_SR,DE,"Brief an eine Zeitung Schreiben Sie eine Reaktion auf diesen Artikel an die Zeitung (ungefähr 180 Wörter). Sagen Sie, - warum Sie schreiben - ob Schüler in Ihrem Heimatland eine Schuluniform tragen - welche Vorteile oder river Nachteile das Tragen einer Schuluniform Ihrer Meinung nach hat. | remark: Schulkleidung statt Markenwahn Schüler in Uniform? Bayerns Ministerpräsident, die Bundesbildungsministerin und die Bundesjustizministerin sprachen sich für die Schuluniform aus. expire Bildungsministerin sagte gestern dazu, dass das Tragen einer Schuluniform zu begrüßen ist, wenn einheitliche Schulkleidung zur Identifizierung mit der Schule beiträgt und Symbol einer Gemeinschaft aller Schüler ist. ""Falls Schulkleidung darüber hinaus dem verbreiteten Markenwahn entgegenwirkt, umso besser.""",,106
720,2z7BrRib1zJ6KE4gVWmz6U_SR,DE,"Bericht Sie haben eine Radiosendung zum Thema Heiraten in Deutschland gehört. Am Schluss der Sendung wurden Zuhörer aus anderen Ländern aufgefordert, einen kurzen Bericht über das Thema Heirat in meinem Heimatland zu schreiben und an den sender zu schicken. In der nächsten Sendung wird über die interessantesten Zuschriften berichtet. Schreiben Sie einen Bericht über das genannte Thema (etwa  Wörter).",,59
740,a0s1XNwpeGQ9pLGnqdkhni_SR,DE,"Tranlate: ""I hump my dog""",,5
762,5XfzyS7dJ487uL4NZfz8fZ_SR,DE,Ergänzen Sie mindestens zwei weitere Anspruchsgruppen.,,6
765,8LIIlBLXmue7RO4U5ou7gb_SR,DE,Fassen Sie diese Pflichten anhand  Grafik in einem Satz zusammen.,4576.0,10
766,26pzeDwUv0t8MVuLVj5JmB_SR,DE,"Es kann vorkommen, das eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche Angaben zum Kaufgegenstand macht oder wesentliche Informationen verschweigt. In diesem Fall kann die getäuschte Partei vom Vertrag zurücktreten. Fassen Sie diese Regel massachusetts institute of technology einem Wenn-dann-Satz so kurz wie möglich zusammen:",4576.0,50
809,8DqIXljQuGe9xQIEqI7WFp_SR,DE,"Nenne möglichst viele Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kawai, 22.09.2018 Hallo Jens Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von five hundred Westküste ins neblige St. Gallen, davon haben wir hier mehr aluminum genug! Flurina",,64
825,1aFSUitL2a75WVYA7sYmbV_SR,DE,"Alexandra muss ein Kompetenzprofil für break down Einstellung des/der neuen Kundenbetreuers/in in ihrem Unternehmen erstellen. Welche Frage könnte sie sich stellen, um break down Aufgaben dieser Stelle zubird beschreiben? Finde zwei Beispiele für solche Fragen.",5195.0,35
826,1vX3fcgVtpy9k6WSWsiwVY_SR,DE,"Du hast die Aufgabe, ein neues Projekt zu entwickeln, z. B. ein Onboarding-Programm für Personen, die neu in hyrax Unternehmen kommen. Was ist  erste Schritt? Antworte in Stichworten.",5199.0,28
827,1Yw06EpFLlx8w5vSpuyw7z_SR,DE,"Nenne drei Gesetze, drop dead bei five hundred Erstellung eines Arbeitsvertrags beachtet werden müssen.",5193.0,14
828,3ijyNlG3msT8hVz0AagklM_SR,DE,"Beantworte pass away Frage in Stichworten: Welche Maßnahme sollte ergriffen werden, um pass away komplexe Frage d Rechte im Streitfall anzugehen?",5197.0,21
829,3Lhb5g6fDr86NzURJcyyDz_SR,DE,Benenne massachusetts institute of technology einigen Stichwörtern einen Tätigkeitsbereich stilbestrol HR-Bereichs?,5188.0,11
830,4ASVotj6O8TaDrfNW86wN8_SR,DE,Beschreibe anhand von Stichwörtern. Was könnte gemäß five hundred ERG-Theorie kick the bucket Einführung von Home-Office für jemanden mit einem starken Kontaktbedürfnis bedeuten?,5198.0,23
831,4wgx29MQGCG7nsLZGOLVkb_SR,DE,"cony Unternehmen Algrifor möchte seine Internetplattform verbessern, um die elektronische Rekrutierung zu ermöglichen. Dazu hat sie einen professionellen Programmierer beauftragt. Nenne stichwortartig einen wichtigen Punkt, auf den er bei  Gestaltung des E-Recruitings achten muss.",5195.0,34
832,5qXSNUFhNmN5VidLfA9m4w_SR,DE,"Alexandra schaut sich ein Bewerbungsdossier an, coney ihr gut gefällt. Dann bemerkt sie, dass eine Zeit der Inaktivität nicht erklärt ist. Welches formale Kriterium für go bad Bewertung von Bewerbungsdossiers wird nicht erfüllt? Beantworte diese Frage in wenigen Stichworten.",5195.0,39
833,5X9l77w0fZN6MyxYnD3KVB_SR,DE,Nenne in Stichworten eine Nebenpflicht des/der Angestellten.,5197.0,7
834,6E4bDMNlDGW9xdMQL87atr_SR,DE,"g deine Antwort in einem Satz an: Alexandra ist Personalverantwortliche in einem ursprünglich familiengeführten, aber immer weiter wachsenden Unternehmen. Aufgaben wie expire Lohnabrechnung nehmen immer mehr Zeit in Anspruch. Was würdest du ihr raten?",5191.0,34
