taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_BT,EN,What do you know about the Battle of Waterloo?,4598.0,9
690,8lxRyLzStOK9eUhNRal38O_BT,EN,Describe the interaction between the girl and the dog in the following image:,,13
691,aazKG44PsKc5UnpTiDECut_BT,EN,Write three short sentences about yourself or someone else. Continue to write in the present tense and use each of the following verbs once: love - fear - hate Example: I love cats.,,33
692,8L1QdQwEG5XaRfdYKcLPed_BT,EN,"Translate this sentence into English: ""Homer Simpson trabaja en una central nuclear.""",,12
716,14ambh1obhw7TYMQE8lcC1_BT,EN,"Write a short text (3-5 sentences) in the past simply. Use the words usually, sometimes and never.",,17
717,8EmBlP6vc49aUpqCFODjiR_BT,EN,"Give ""I don't know what two write.""",,7
718,3elDg8Bsg126ktrMA9XnQ7_BT,EN,Simply write a sentence in the past. Use one of these words: usually or sometimes.,,15
725,25RGLvb2p0G5zulfX9xQOj_BT,EN,What do the man and the woman do? Write a sentence (positive or negative) about what is happening in the picture. Use two of the listed verbs in the present progressive form.,4815.0,32
726,18Ccvc8NMJT5xqLv9nAgTH_BT,EN,What does this animal say? Write a sentence.,,8
739,qVrOCQhZmraLEAc8BIoTm_BT,EN,Are data carriers permitted as storage media?,,7
741,7XyIGD5tZe85NDHIxMFvXA_BT,EN,What are people doing? Write a sentence about what is happening in the picture now. Use two of the listed verbs in the current progressive form. Ask Buy Carry Sell,5145.0,30
743,9i1kt9WgnoJ92e3hMZoWxb_BT,EN,"The term ford goes back to the basic word ""FAHR"" (Old High German faran, ""steer,"" ""move"").",2025.0,16
768,5DHsZ2qeOj66KMKq8ScRLz_BT,EN,"What should a good leader be, know and do? Write down a concept for each keyword. You get bonus points if you also give examples for each concept.",,28
774,6b45fXjfGSC5verTq8VEAB_BT,EN,"Indica, aiutandoti con una frase, in che modo avere troppe informazioni è altrettanto dannoso che averne troppo poche.",2145.0,18
775,9GeL4jxQYWm64cuJ0XTNs5_BT,EN,"""Nel ruolo di manager, prepararsi per un colloquio non è sempre la cosa migliore da fare perché potrebbe non esserci abbastanza spontaneità."" Spiega in una frase perché questa affermazione non è pertinente.",2145.0,32
776,9ZTbpRNZHbj6RnwtBun1qe_BT,EN,"Non è necessario annunciare i colloqui importanti, perché questo potrebbe dare al dipendente il tempo di pensare a una strategia di risposta che potrebbe giocare a vostro sfavore in quanto manager. Spiega in una frase perché questa affermazione è falsa.",2145.0,40
777,d1DXIA990F9MbMQ1WgOFR_BT,EN,"In qualità di senior manager, non sei responsabile solo della gestione dell'informazione all'interno del tuo team ma lo influenzi anche in modo significant o attraverso il tuo stesso comportamento rispetto ad essa. Fai un esempio del modo in cui il tuo comportamento rispetto all'informazione può influenzare i membri del tuo team.",2145.0,51
778,2eRlnm2uhvx7SclvzDQZRZ_BT,EN,Rispondi usando una parola chiave. Esistono dei segnali non verbali. Essi forniscono delle informazioni importanti sull'aspetto relazionale della comunicazione. Alcuni messaggi vengono talvolta percepiti dal destinatario in modo confuso perché non sono autentici o affidabili. Questi sono i cosiddetti messaggi:,2145.0,40
779,6tDPpGaUD2C9Er9gu05tVC_BT,EN,"Le emozioni o i sentimenti non possono essere nascosti a lungo. Sono utili per capire quello che ci tocca e che è importante per noi. In una frase, spiega come ""vederli arrivare"" e riconoscerli.",2145.0,34
780,3uT3ndXGDj59gnX6dAbqeG_BT,EN,"Durante un colloquio di critica, qual è il ruolo del collaboratore rispetto alle proposte di soluzioni possibili? Scrivi una o due frasi per spiegare questo ruolo.",2145.0,26
781,8GPZN1lGAPI8RfOfUkzb4D_BT,EN,"Dai la risposta usando una o più parole chiave. Durante un colloquio critico che riguarda per esempio un comportamento scorretto o una prestazione inadeguata, in qualità di manager dovrò fare una critica. Affinché questa critica sia la più costruttiva possibile deve basarsi sugli aspetti importanti che l'emozione spesso distorce, facendo deviare il discorso nella boggettività. Di che cosa si tratta?",2145.0,60
847,9TYXjQ0ixmr7vPazqDnrmI_BT,EN,What do you celebrate on Swiss National Day?,,8
872,25Y2BLZGCpkay0f4dRrvpf_BT,EN,Describe the interaction between the girl and the dog in the following image:,4815.0,13
873,3Jr6T26XL13aKRh31JX0xi_BT,EN,You are one of the people in the photo visiting London. You will write about a day in London from her / his point of view. Write a short text (4-6 sentences) in the simple past about her / his experiences. Questions like this can help you.,4815.0,47
891,awpv0XE3g4Y5WI6T08ydUf_BT,EN,In English: Tim lives in a big house.,,8
896,3tWq4pujD9E7p5gXhZlj7j_BT,EN,"Divide the word chestnut into all possible syllables by inserting an asterisk between each syllable, e.g. the craft - handicraft * werk.",,22
897,9BEPLYwJtle6SNFq4iKN0U_BT,EN,Write a sentence in English,,5
917,7olXITeLPhA7lpuJNFI0x0_BT,EN,"It is well known that Christmas is the feast of the birth of Jesus Christ, brought to the world by the Virgin Mary, who was told that she would give birth to a child.",,34
921,3gbjpjewKN1aa5y4aN20Yw_BT,EN,Time for a mulled wine (mulled wine in German / vin chaud in French) What are the ingredients in this holiday drink?,,22
922,9Mc5FyG63rf6kYt9niCyf1_BT,EN,"Great Expectations by Charles Dickens My father called his surname Pirrip, and my Christian name Philip, my infant tongue could not make either name any longer or more explicit than Pip. So I called myself Pip and was called Pip. I give Pirrip as my father's surname, because of the authority of his headstone and my sister - Mrs. Joe Gargery, who married the smith. Since I never saw my father or mother and never saw a resemblance between the two (because their days were long before the days of the photographs), my first fantasies about how they were unreasonably stemmed from their headstones. The shape of the letters on my father's headstones gave me a strange idea that he was a square, stocky, dark man with curly black hair. I drew a childish conclusion from the letter and the turn of the inscription ""also Georgiana woman from above"" that my mother was freckled and ill.",,156
927,3Q2XVF2pxuk80nm3RKCEgR_BT,EN,"Snowflake geometry! We all know that snowflakes look beautiful, but did you know that they are also tied to a very interesting mathematical object called a blend group? Simply put, there are two ""transformations"" that we can apply to a snowflake, and it will still look the same! What could these transformations be? Tip: Could you place a mirror on one half of the snowflake to match its reflection?",,69
929,acULs3NPhSo8GoCnzRr550_BT,EN,What gifts do you get for your family? Tip: Create a list of simple keywords,,15
930,bFnkviohpp9w8xLXYyFgj_BT,EN,"A tragically beautiful embodiment of the Christmas spirit was on December 25, 1914, when soldiers of the First World War crossed no man's land to celebrate a Christmas truce, which even ended in some common Christmas carols and even football matches! Which countries were involved in this Christmas truce?",,49
931,3ic4WkJzo38a3N18uRT4dN_BT,EN,Describe the interaction between the girl and the dog in the following image:,,13
933,qvpFCnVIvh9KSq5Zj8wpy_BT,EN,Can you name a few ingredients contained in eggnog?,,9
939,1eCGJjuvqMWa0XbPT8455E_BT,EN,What are some signs of aging? (Give a concise answer),,10
943,2YUaD24fUfP7pWjwIr92iP_BT,EN,"Translate this sentence into English: ""Tim lives in a blue house.""",,11
944,2UMtJUswomA7LRi0R8WvXz_BT,EN,Write down what you hear: (John plays with the cat).,,10
945,5u9DZIU6uoD8WzGcFOR339_BT,EN,"Simply write a sentence. Use one of these words: usually or sometimes. To test the feedback, write something like, ""I usually have a coffee in the morning.""",5145.0,27
946,3dJg4CNE4M6745TGO3hpJu_BT,EN,"What are the five phases of project management? To test the feedback, write something like: Meeting, scoping, realization",,18
947,5qBvawWa1k182LVJCTe121_BT,EN,"What should you do in the event of an earthquake when you are in a building? Make a recommendation. To test the feedback, write something like ""You should walk around"" or ""You should scream.""",4815.0,34
948,3gKnqzVuNvU5AgcrVVzhqc_BT,EN,"What have you learned about climate change? To test the feedback, write something like, ""Climate change is not a serious threat.""",4815.0,21
954,2HXatST9nZb6pCE7sJuWBr_BT,EN,"Why I love Edinburgh, I was in Edinburgh for the first time as a child with my parents and sister. I thought it was a magical city with a very special atmosphere, small enough to move easily and not feel lost, but big enough to have a lot to do, so after leaving school I decided to go to university there. It was a good decision - I had a wonderful time! The locals were really friendly and after a while I even started to understand the Edinburgh accent. In fact, I loved Edinburgh so much that I stayed after university. Initially I lived and worked in the city, but after meeting my husband (who is a real Scot!) we moved to the nearby countryside. I now work from home as I have my own business, but I love going to the city on weekends with my mini. Last week my parents came to stay and we visited Edinburgh Castle and the Scottish National Garsman. One day we went to the zoo with the children, and another day we took a boat to the nearby abbey.",,186
955,4XqgBukjnrj5Ky0GUL8Isw_BT,EN,Write down what you hear: (John plays with the cat).,,10
956,3786WSi5Nn58r5VZESlFst_BT,EN,"Simply write a sentence. Use one of these words: usually or sometimes. To test the feedback, write something like, ""I usually have a coffee in the morning.""",,27
957,7GFPO0ukS7t7ejAs1Y2nix_BT,EN,Translate this sentence into English (write in Present Simple): Homer works in a nuclear power plant.,,16
958,5aAMWr5wtut7HshyySFiwn_BT,EN,"Translate this sentence into English: ""Tim lives in a blue house.""",,11
961,aqdN5okrn7v96q2pZ6draC_BT,EN,"What should you do in the event of an earthquake when you are in a building? Make a recommendation. To test the feedback, write something like ""You should walk around"" or ""You should scream.""",,34
965,9gUaAflhOOM8boMxbfwUKf_BT,EN,"The speech by Federal President Ogi is very structured. In addition to the introduction and the conclusion, the speech is divided into three main parts, each with a theme. Keep the themes of the three main parts brief.",1.0,38
966,7TYOlb7BQz66WlJXyI4XxN_BT,EN,"The present text has been published with similar stories in the anthology ""Business Class."" To what extent does this title also apply to ""Pädagoge Schnüriger""?",1.0,25
967,85J5YDDsQFt9lCuygZwIOV_BT,EN,"What is the final sentence of the weeping Jeno in the text by Martin Suter? Assess the three variants in terms of their plausibility (stringency) and textual effect. 1. ""Alec has dismissed me."" 2. ""Alec does not want to divide."" 3. ""The chocolate was bad, I have stomach ache.""",1.0,49
968,Zqyme9ks3LawmypFAc0Wm_BT,EN,"Cite three passages from the text, which shows Gustav Schnüriger's relationship to his family.",1.0,14
969,5zJ9PCGtPjN5LHnh4fp6LI_BT,EN,"Interpret the title ""Pedagogue Schnüriger"" in keywords.",1.0,7
970,2ZW78UEN6i95yZYthoNKFw_BT,EN,The triangle $ABC $is given. Describe how you construct the circumference of the triangle $ABC $.,1032.0,16
971,4vYuDvuEtAP6bgwgMyidhX_BT,EN,"Name three stylistic devices in the first paragraph. If you ask Alec Schnüriger (6) what he wants, he says as if shot from a cannon: ""Managing Director."" Gustav Schnüriger (42, Managing Director) laughs proudly, and those who asked laugh along with him. Carla Schnüriger (27, housewife and mother) shakes her head, and Jeno Schnüriger (4) asks: ""What is managing director?"" ""The highest,"" then each Alec answers, and the adults laugh again.",1.0,71
976,1Gs0VtDQxPH9WO8W15Revx_BT,EN,Describe what you see in the picture,,7
981,aMnKVp4XSra33C9zSsDIR_BT,EN,"What could the cat say in this situation if it could speak? Write a sentence. To test the feedback, write something like: ""Play with me!""",5145.0,25
982,2hVjXIPswXaaxcD8sqe6WU_BT,EN,Translate this sentence into English (write in Present Simple): Homer works in a nuclear power plant.,5145.0,16
983,4AUaLoTasUk86ezdbK3d7q_BT,EN,The student's answer to this question is evaluated only on grammar and spelling. What are you planning for this weekend? Write 3-5 sentences.,5145.0,23
984,8kVrscmjkny6CtVtjsqO30_BT,EN,Put the following words in the correct order to make judgments. From other communities | never | they | enemies | groom,,22
985,8FV1FHxBMDF8vnTy6FtguO_BT,EN,From Active to Passive The band sang a song by Queen. (A song by Queen was sung by the band.),,20
986,8CHf6OTOwiM7b44ADOwK6P_BT,EN,"This sentence about Caroline is not true. Correct it with negative sentences. Example: Caroline studied in Glasgow. Solution: No, she did not study in Glasgow. She studied in Edinburgh. She understood the Scottish accent from the beginning.",,37
987,6k8QjfUF2b472CVTPitx8q_BT,EN,"The student's response to the task is evaluated for grammar and spelling, as well as tension and keyword. Write a sentence in simple language. Use one of these words: normally or sometimes. To test the feedback, write something like: ""I usually have a coffee in the morning.""",5145.0,47
996,7YXAOXqXKk65WRBjKEmL0P_BT,EN,How many reindeer does Santa have and can you name one of them?,,13
1104,aRzlzAymuLD5NJdfqyfMNE_BT,EN,The tanks of the subsystem must be regenerated periodically in alternation. Describe the regeneration process. Answer in one sentence.,,19
1109,3eFwaoVZANA7mLeCSUdt8J_BT,EN,Mark the keywords that apply to Bob,,7
1110,89EvLiSfvcb6YEF5S6wSyI_BT,EN,"In column KO3, the mixture is separated at atmospheric pressure. In general, describe the process that takes place in column KO3 during the process. Answer in one sentence.",,28
1136,8kr659BCDps8XfAdE4DYQR_BT,EN,Put the words below in the correct order to create sentences. Normally | removed | the pieces of skin | the other side,,23
1137,PrboJKJLSM6Ok9R2YeF4t_BT,EN,Put the following words in the correct order to form sentences. Use | to care for another chimpanzee | they | their lips or teeth | sometimes,,27
1143,3zHah3WHaBL69lxjz0xPdA_BT,EN,"Translate ""I was watching TV last night.""",,7
1144,7dgOqVF3wM07eiRRzsTEYV_BT,EN,"Translate ""He ordered a dinner.""",,5
1145,9yd745wscDf9ERA8P2pfhW_BT,EN,"Translate ""I didn't have anything for dinner.""",,7
1146,6ZsjZ1Fpkk76aNTpKZucfx_BT,EN,"Translate ""I don't want dinner.""",,5
1147,22BFD78ilPM8TchKxPNRFF_BT,EN,"Translate ""Tom is making dinner.""",,5
1148,50vh0FAZ3TDaHo84QdFocv_BT,EN,"Translate ""Life is full of adventure.""",,6
1149,a8fhbpOctnB81BMgXtazcU_BT,EN,"Translate ""I couldn't refuse."" into English.",,6
1150,20A4Hx4UDtf8CLvEdGBbCn_BT,EN,"Translate ""You're doing this on purpose!"" into English.",,8
1151,7DSzCegF1Gz9C7jXDbf0ae_BT,EN,"Translate ""It was certainly not intentional.""",,6
1152,SsFyvivPiXa3xCGUqNzhy_BT,EN,"Translate ""He intended to marry her.""",,6
1153,4iiM8cAHjYH75flvADkcFR_BT,EN,"Translate ""Did you do this on purpose?"" into English.",,9
1154,4WQPpjZzXl05Tdu6W5xxVt_BT,EN,"Translate ""I have no intention of apologising.""",,7
1155,7FH3sCf1EL78jEz8orF9ab_BT,EN,"Translate ""My wife wanted to adopt a child.""",,8
1156,4YROUyqd8jj7fi3DT8SnHu_BT,EN,"Translate ""The Monkey Fell from the Tree.""",,7
1157,8IRZQCLrsBh9uuBth2dbc3_BT,EN,"Translate ""My monkey has run away.""",,6
1158,f5FBKIiyFd7QCzbq4GgKP_BT,EN,"Translate ""That was a nightmare.""",,5
1159,50hyowIp3hd7pHJnrWGCla_BT,EN,"Translate ""He showed me his album.""",,6
1160,a2EFy1quyXd6bb286NW5Qb_BT,EN,"Translate ""I am not allowed to drink alcohol.""",,8
1161,6K4ImkCIaj08kpmj1XbVws_BT,EN,"Translate ""Do you have drinks without alcohol?"" into English.",,9
1162,8ZITtwQdx9G9AKb7jyIPS3_BT,EN,"Translate ""I can't drink alcohol."" into English.",,7
1163,9Wm7IWwrNhRayy5g2gj6rA_BT,EN,"Translate ""I don't drink alcohol.""",,5
1164,17aU9nWh0eLag81mXI2h3O_BT,EN,"Translate ""You were not averse to alcohol.""",,7
1165,8PqBcI1KZWl8Mtq0B8FxL4_BT,EN,"Translate ""I lived in Osaka until I was 6 years old.""",,11
1166,aAkIziPCaJX7lPIBr9JQwY_BT,EN,"Translate ""You got married at the age of 25.""",,9
1167,3zGud8VQ8yNaycnVTBNazJ_BT,EN,"Translate ""What age is your son?"" into English.",,8
1168,acmZVlmedq577WAV5BInIC_BT,EN,"Translate ""What's the alternative?"" into English.",,6
1169,1oTr9NmVjOc7V9UGrEs4ah_BT,EN,"Translate ""Jane seems to be enjoying herself at the party.""",,10
1170,6hmk7XLEG7361cQCL6t3Wb_BT,EN,"Translate ""May I offer you a drink now?"" into English.",,10
1171,7EkwqUuuM7L71QhYSquY9C_BT,EN,"Translate ""That's not going to change.""",,6
1172,3lriGJFEm9W8W71JHWyfDX_BT,EN,"Translate ""Times are changing.""",,4
1173,5flo6UARSgZ8n2lBBqtBn1_BT,EN,"Translate ""Tom needs to change his mindset.""",,7
1174,2whKClfmekVaHLvKfAiPVa_BT,EN,"Translate ""Maybe prices will change.""",,5
1175,aKyigEtilsvaz9cxURMjNY_BT,EN,"Translate ""It was stupid of you to accept his offer.""",,10
1176,51vgitPthWZ7rU5CTzq5VV_BT,EN,"Translate ""I accept the offer."" into English.",,7
1177,22UHAQsTne57THcsK0NPCi_BT,EN,"Translate ""I will accept your offer."" into English.",,8
1178,9MpZ9PyNope91FHJ6hDVrI_BT,EN,"Translate ""I will accept your offer."" into English.",,8
1179,2tXp4qsxJtY5AN7ivJqsVE_BT,EN,"Translate ""Your answer is wrong."" into English.",,7
1180,5QMm78gBppxaJVq91HE6i5_BT,EN,"Translate ""You found the answer."" into English.",,7
1181,aS38m2r9A37aEFQXHdmakv_BT,EN,"Translate ""Did you get an answer from Tom?"" into English.",,10
1182,1zeg3zMm9df7GMEk4S1mUH_BT,EN,"Translate ""Do you know the answer?"" into English.",,8
1183,aCD2v49jXCD7FKmZex0H8I_BT,EN,"Translate ""Your answers were correct except for one.""",,8
1184,6QkSj5tcnin7Hqbix7qbxW_BT,EN,"Translate ""Do I have to answer the question?"" into English.",,10
1185,2r2SYFcYe9N6mNTHUlcK8f_BT,EN,"Translate ""I don't need a lawyer."" into English.",,8
1186,8KAr1JaOTRu8nGNYfn9Vww_BT,EN,"Translate ""The apple is not yet ripe.""",,7
1187,2PqNTcM5pSPav1Hou9ZWcW_BT,EN,"Translate ""I'm just eating an apple.""",,6
1188,WCz20kHwET8k3MVbqppy6_BT,EN,"Translate ""Is that an apple?"" into English.",,7
1189,BQF0srBMWT7Gzo7BZ2uzK_BT,EN,"Translate ""There's an apple under the desk.""",,7
1190,63LwneDO7eg8AK3biY87MO_BT,EN,"Translate ""How does the apple taste?"" into English.",,8
1191,a9LEBCdqQ1T7bSqECtwYJb_BT,EN,"Translate ""He's doing his job.""",,5
1192,7eAdNIMwTdZ8bNDzMdsKNi_BT,EN,"Translate ""He's happy with his job.""",,6
1193,66WZeewVaQUapMbr4L8zqc_BT,EN,"Translate ""I'm very tired from work.""",,6
1194,94XarI5tWg871T4PHzFaq0_BT,EN,"Translate ""I have work for you."" into English.",,8
1195,7QYKkjMFgIs6pLnqer8efv_BT,EN,"""I must have finished work by four o'clock.""",,8
1196,48PYN7qDGQA88NvuCHTt7f_BT,EN,"Translate ""I will continue my work."" into English.",,8
1197,55935gEnVks6d5pwpkPcfP_BT,EN,"Translate ""Tom drives to work by car.""",,7
