taskId,description,topic
0,7TVZOkAoQvS71zub3YI9Uy,know battl waterloo,2
1,8lxRyLzStOK9eUhNRal38O,describ interact girl dog follow pictur,1
2,aazKG44PsKc5UnpTiDECut,write short sentenc someon el write present continu follow verb love fear hate exampl love cat,0
3,8L1QdQwEG5XaRfdYKcLPed,translat sentenc english homer simpson work nuclear power plant,1
4,14ambh1obhw7TYMQE8lcC1,write short text sentenc past simpl word usual sometim never,0
5,8EmBlP6vc49aUpqCFODjiR,gib know write,0
6,3elDg8Bsg126ktrMA9XnQ7,write sentenc past simpl word usual sometim,0
7,25RGLvb2p0G5zulfX9xQOj,man woman write sentenc posit neg happen pictur list verb present progress form drink eat laugh listen read smile wear work,1
8,18Ccvc8NMJT5xqLv9nAgTH,anim write sentenc,0
9,qVrOCQhZmraLEAc8BIoTm,datum carrier uncondit approv retent medium,2
10,7XyIGD5tZe85NDHIxMFvXA,peopl write sentenc happen pictur list verb present progress form ask buy carri sell,0
11,9i1kt9WgnoJ92e3hMZoWxb,express ford goe back basic word drive old high german faran control move away explain connect,2
12,5DHsZ2qeOj66KMKq8ScRLz,know concept leadership good leader know write concept keyword bonu point give exampl concept,2
13,6b45fXjfGSC5verTq8VEAB,indic help sentenc mani inform equal harm,1
14,9GeL4jxQYWm64cuJ0XTNs5,role manag prepar interview alway good thing may quit spontan explain sentenc statement relev,1
15,9ZTbpRNZHbj6RnwtBun1qe,necessari announc import interview could give employe time think respon strategi could play default manag explain sentenc statement fal,1
16,d1DXIA990F9MbMQ1WgOFR,senior manag respon manag inform within team also influenc significantli behavior compar exampl way behavior compar inform influenc team member,2
17,2eRlnm2uhvx7SclvzDQZRZ,repli keyword non verbal signal provid import inform relat aspect commun messag sometim perceiv recipi confus authent reliabl call messag,2
18,6tDPpGaUD2C9Er9gu05tVC,emot feel can not hide long time understand touch we import we sentenc explain arriv recogn,1
19,3uT3ndXGDj59gnX6dAbqeG,critic interview role collabor respect propos possibl solut write sentenc explain role,0
20,8GPZN1lGAPI8RfOfUkzb4D,give answer keyword critic interview concern exampl incorrect behavior inadequ perform manag critic order critic construct possibl must base import aspect emot often distort speech deviat subject,2
21,9TYXjQ0ixmr7vPazqDnrmI,celebr swiss nation day,2
22,25Y2BLZGCpkay0f4dRrvpf,describ interact girl dog follow pictur,1
23,3Jr6T26XL13aKRh31JX0xi,peopl pictur visit london write day london point view write short text sentenc simpl past experi question help origin client question,0
24,awpv0XE3g4Y5WI6T08ydUf,write english tim live larg hous,0
25,3tWq4pujD9E7p5gXhZlj7j,separ word chestnut possibl syllabl insert asterisk syllabl e g craft hand work,1
26,9BEPLYwJtle6SNFq4iKN0U,write sentenc english,0
27,7olXITeLPhA7lpuJNFI0x0,widespread knowledg christma celebr birth jesu christ bring world virgin mari tell would birth child tell mari,2
28,3gbjpjewKN1aa5y4aN20Yw,time mull wine gluhwein german vin chaud french ingredi holiday drink,2
29,9Mc5FyG63rf6kYt9niCyf1,great expect charl dicken father famili name pirrip christian name philip infant tongu could name noth long explicit pip call pip call pip give pirrip father famili name author tombston sister mr joe gargeri marri blacksmith never father mother never either day long day photograph first fanci regard unreason deriv tombston shape letter father give odd idea squar stout dark man curli black hair charact turn inscript also georgiana wife draw childish conclus mother freckl sickli five littl stone lozeng foot half long arrang neat row besid grave sacr memori five littl brother mine give tri live exceedingli earli univer struggl indebt belief religi entertain bear back hand trowser pocket never take state exist read text care answer follow question wife blacksmith,2
30,3Q2XVF2pxuk80nm3RKCEgR,snowflak geometri know snowflak look beauti know also tie interest mathemat object call dihedr group put simpli transform appli snowflak still look could transform hint could place mirror half snowflak reflexion match,2
31,acULs3NPhSo8GoCnzRr550,gift famili hint provid list simpl keyword,2
32,bFnkviohpp9w8xLXYyFgj,tragic beauti incarn christma spirit decemb wwi soldier cross man land celebr christma truce ceasefir even end share carol even footbal match countri involv christma truce,2
33,3ic4WkJzo38a3N18uRT4dN,describ interact girl dog follow pictur,1
34,qvpFCnVIvh9KSq5Zj8wpy,name ingredi eggnog,3
35,1eCGJjuvqMWa0XbPT8455E,sign age give concis answer,2
36,2YUaD24fUfP7pWjwIr92iP,translat follow sentenc english tim live blue hous,1
37,2UMtJUswomA7LRi0R8WvXz,write hear john play cat,0
38,5u9DZIU6uoD8WzGcFOR339,write sentenc past simpl word usual sometim test feedback write someth drink usual coffe morn,0
39,3dJg4CNE4M6745TGO3hpJu,five phase project manag test feedback write someth meet scope realiz,0
40,5qBvawWa1k182LVJCTe121,event earthquak build give recommend test feedback write someth run around scream,0
41,3gKnqzVuNvU5AgcrVVzhqc,learn climat chang test feedback write someth climat chang seriou threat,0
42,2HXatST9nZb6pCE7sJuWBr,content belong klett und balmer verlag find inform product digion ch love edinburgh first visit edinburgh child parent sister think magic citi special atmospher small enough around easili feel lose big enough lot leave school decid univer good decis wonder time local realli friendli time even start understand edinburgh accent fact love edinburgh much stay univer first live work citi meet husband true scotsman move countrysid nearbi work home busi love drive citi weekend mini last week parent stay visit edinburgh castl scottish nation galleri day take child zoo anoth day take boat inchcolm abbey nearbi island day picnic lunch princ street garden love mani differ thing edinburgh citi realli becom home imagin move away answer question full sentenc carolin move edinburgh move edinburgh studi love citi,2
43,4XqgBukjnrj5Ky0GUL8Isw,write hear john play cat,0
44,3786WSi5Nn58r5VZESlFst,write sentenc past simpl word usual sometim test feedback write someth drink usual coffe morn,0
45,7GFPO0ukS7t7ejAs1Y2nix,translat sentenc english write present simpl homer work nuclear power plant,0
46,5aAMWr5wtut7HshyySFiwn,translat follow sentenc english tim live blue hous,1
47,aqdN5okrn7v96q2pZ6draC,event earthquak build give recommend test feedback write someth run around scream,0
48,9gUaAflhOOM8boMxbfwUKf,speech feder presid ogi strongli structur addit introduct end speech divid main part topic hold topic main part,2
49,7TYOlb7BQz66WlJXyI4XxN,present text publish similar stori antholog busi class extent collect titl also appli educ schnurig,2
50,85J5YDDsQFt9lCuygZwIOV,final sentenc cri jeno text martin suter assess variant regard plausibl stringenc text effect alec relea alec want share chocol bad bellyach,1
51,Zqyme9ks3LawmypFAc0Wm,quot passag text show ratio gustav schnarwer famili,2
52,5zJ9PCGtPjN5LHnh4fp6LI,interpret titl pedagogu schnurig keyword,2
53,2ZW78UEN6i95yZYthoNKFw,triangl abc give describ construct area triangl abc,2
54,4vYuDvuEtAP6bgwgMyidhX,name stylist devic first paragraph ask alec schnurig want shot cannon gener manag gustav schnurig gener manag proudli laugh ask laugh carla schnurig housewif mother shake head jeno schnurig ask gener manag high repli alec adult laugh,2
55,1Gs0VtDQxPH9WO8W15Revx,describ imag,2
56,aMnKVp4XSra33C9zSsDIR,could cat situat could speak write sentenc test feedback write someth play,0
57,2hVjXIPswXaaxcD8sqe6WU,translat sentenc english write present simpl homer work nuclear power plant,0
58,4AUaLoTasUk86ezdbK3d7q,student answer task evalu grammar spell plan weekend write sentenc,0
59,8kVrscmjkny6CtVtjsqO30,put word order put word correct order sentenc commun never enemi groom,1
60,8FV1FHxBMDF8vnTy6FtguO,activ passiv band sing song queen song queen sung band,2
61,8CHf6OTOwiM7b44ADOwK6P,negat sentenc sentenc carolin true correct neg sentenc exampl carolin studi glasgow solut studi glasgow studi edinburgh understand scottish accent begin,1
62,6k8QjfUF2b472CVTPitx8q,student answer thi task evalu grammar spell addit ten keyword write sentenc past simpl word usual sometim test feedback write someth drink usual coffe morn,0
63,7YXAOXqXKk65WRBjKEmL0P,mani reindeer santa clau name,3
64,aRzlzAymuLD5NJdfqyfMNE,contain subsystem must regener period altern describ regener process answer sentenc,1
65,3eFwaoVZANA7mLeCSUdt8J,highlight keyword appli bob,2
66,89EvLiSfvcb6YEF5S6wSyI,ko column mixtur separ atmospher pressur describ process run ko column procedur answer sentenc,1
67,8kr659BCDps8XfAdE4DYQR,put word correct order sentenc usual remov piec skin hand,1
68,PrboJKJLSM6Ok9R2YeF4t,put word correct order sentenc groom anoth chimpanze lip tooth sometim,1
69,3zHah3WHaBL69lxjz0xPdA,translat watch far last night english,0
70,7dgOqVF3wM07eiRRzsTEYV,translat order dinner english,0
71,9yd745wscDf9ERA8P2pfhW,translat noth dinner english,0
72,6ZsjZ1Fpkk76aNTpKZucfx,translat want dinner english,0
73,22BFD78ilPM8TchKxPNRFF,translat current dinner english,0
74,50vh0FAZ3TDaHo84QdFocv,translat life full adventur english,0
75,a8fhbpOctnB81BMgXtazcU,translat refu english,0
76,20A4Hx4UDtf8CLvEdGBbCn,translat purpos english,0
77,7DSzCegF1Gz9C7jXDbf0ae,translat certainli purpos english,0
78,SsFyvivPiXa3xCGUqNzhy,translat intend marri english,0
79,4iiM8cAHjYH75flvADkcFR,translat purpos english,0
80,4WQPpjZzXl05Tdu6W5xxVt,translat intend apolog english,0
81,7FH3sCf1EL78jEz8orF9ab,translat wife want adopt child english,0
82,4YROUyqd8jj7fi3DT8SnHu,translat monkey fall tree english,0
83,8IRZQCLrsBh9uuBth2dbc3,translat monkey run away english,0
84,f5FBKIiyFd7QCzbq4GgKP,translat nightmar english,0
85,50hyowIp3hd7pHJnrWGCla,translat show album english,0
86,a2EFy1quyXd6bb286NW5Qb,translat allow drink alcohol english,0
87,6K4ImkCIaj08kpmj1XbVws,translat drink without alcohol english,0
88,8ZITtwQdx9G9AKb7jyIPS3,translat drink alcohol english,0
89,9Wm7IWwrNhRayy5g2gj6rA,translat drink alcohol english,0
90,17aU9nWh0eLag81mXI2h3O,translat aver alcohol english,0
