index,description
0,14989,Was ist ein Charakteristikum von Erfahrungsdichtung? Antwort in einem Satz.
1,14990,Was planen Sie für den letzten Teil des Interpretationsaufsatzes? Identifizieren Sie die wichtigsten Schritte.
2,14991,Wie würden Sie das Gedicht interpretieren? Schreiben Sie maximal 3 Sätze.
3,15031,Ich arbeite gerne mit dem Laptop. Den Laptop habe ich letzte Woche bekommen.
4,15032,"Was war zuerst? Schreiben Sie einen Satz, nachdem Sie eine neue Wohnung im Plusquamperfect gefunden haben."
5,15033,Schreiben Sie den Satz in der passiven Gegenwart. Den Termin - intensiv vorbereiten - vom Kollegen.
6,15034,Passive Präsentation hinzufügen.Verpackung: Koffer
7,15286,Wann fand die Schlacht von Waterloo statt?
8,15727,Fülle die passive Gegenwart. Fliegen: Das Flugzeug
9,15728,Fügen Sie die passive Gegenwart hinzu. Weiterempfehlen: Das Restaurant
10,15729,Schreibe den Satz im Passiv-Präsens. In den meisten Haushalten trennt man Abfall.
11,15730,Schreibe den Satz in der Passivpräsenz: In Bayern trinkt man viel Bier.
12,15731,Schreibe im passiven Präsens: der Kaffee - servieren
13,15732,Wurde es hier gemacht? Schreiben Sie in die passive Gegenwart: Ordner - abholen
14,15733,Arrangieren Sie den Satz und schreiben Sie in der passiven Gegenwart. In Koffern und Taschen - Kleidung - ist - gepackt
15,15734,Ordnen Sie den Satz an und schreiben Sie ihn in der passiven Gegenwart. Ist - geschlossen - der Kühlschrank
16,15735,Wer macht was? Schreiben Sie den Satz dann in der passiven Gegenwart. Oft prüfen: der Arzt - das Kind
17,15736,Wer macht was? Schreiben Sie den Satz dann in die passive Gegenwart. Empfehlen Sie: der Arzt - die Medizin
18,16153,"Gottfried Benn (1886-1956) Reisen (1950) Glauben Sie zum Beispiel, dass Zürich eine tiefere Stadt ist, in der Wunder und Weihen der Inhalt sind? Glauben Sie, dass Habana, weiß und hibiskusrot, ein ewiges Manna für Ihr Wüstenelend bringen würde? Bahnhöfe und Ruinen, Boulevards, Strandbäder, Laan - sogar an der Fünften Avenida - die Leere schlägt Ihnen ins Auge -Oh, vergebliches Autofahren! Erst spät finden Sie heraus: Bleiben Sie und schweigen Sie das Selbst, das Sie umgebt.Verwenden Sie die folgende Formulierung, um mit der Einführung Ihrer Interpretation zu beginnen.In dem Gedicht... um... ab dem Jahr... fragt das lyrische Selbst..."
19,16186,"Beschreiben Sie Ihren Hund. Nennen Sie die Rasse, die Farbe, die Größe, das Alter und was Ihnen sonst noch einfällt."
20,16188,Schreibe den Satz in der Vergangenheitsform. Gestern - erzähle - ich - eine Geschichte.
21,16217,Formulieren Sie einen Satz im Konjunktiv II unter Verwendung der vorgegebenen Elemente. Sie - können mir heute Abend helfen.
22,16218,"Formulieren Sie einen Satz im Konjunktiv II unter Verwendung der vorgegebenen Elemente. Brianna - glücklich, mehr Geld zu haben"
23,16330,Schreiben Sie den Satz Passive Present.the package - should - bring
24,16332,Schreibe den Satz mit dem passenden reflektierenden Pronomen. Ich - entspanne mich - im Wellness-Center
