taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_RD,EN,What do know about the,4598.0,5
690,8lxRyLzStOK9eUhNRal38O_RD,EN,Describe the interaction between the girl following picture:,,8
691,aazKG44PsKc5UnpTiDECut_RD,EN,three about yourself someone else. Write present and use of the following verbs once: - fear hate : cats.,,19
692,8L1QdQwEG5XaRfdYKcLPed_RD,EN,"into English: ""Homer Simpson trabaja una",,6
716,14ambh1obhw7TYMQE8lcC1_RD,EN,"a short (3-5 past . Use the , sometimes and never .",,12
717,8EmBlP6vc49aUpqCFODjiR_RD,EN,"Gib know what two write."" ein.",,6
718,3elDg8Bsg126ktrMA9XnQ7_RD,EN,a sentence in past . Use words: usually or sometimes,,10
725,25RGLvb2p0G5zulfX9xQOj_RD,EN,What the man and woman doing? sentence or negative) what now in Use of listed verbs in the progressive form. drink laugh read,4815.0,23
726,18Ccvc8NMJT5xqLv9nAgTH_RD,EN,does this animal say? Write,,5
739,qVrOCQhZmraLEAc8BIoTm_RD,EN,Datenträger bedingungslos Aufbewahrungsmedien zugelassen?,,4
741,7XyIGD5tZe85NDHIxMFvXA_RD,EN,What are the doing? Write a on what happening now in Use the verbs in the present form. ask,5145.0,19
743,9i1kt9WgnoJ92e3hMZoWxb_RD,EN,"Ausdruck geht auf das ‘FAHR’ (althochdeutsch faran, zurück. Erkläre den",2025.0,10
768,5DHsZ2qeOj66KMKq8ScRLz_RD,EN,"BE, KNOW, DO of leadership should good leader be , know You get bonus points if give examples for concept too.",,21
774,6b45fXjfGSC5verTq8VEAB_RD,EN,"Indica, aiutandoti una in che modo troppe è altrettanto troppo poche.",2145.0,11
775,9GeL4jxQYWm64cuJ0XTNs5_RD,EN,"ruolo , colloquio sempre migliore da fare perché potrebbe esserci abbastanza spontaneità."" Spiega in una frase perché affermazione non .",2145.0,20
776,9ZTbpRNZHbj6RnwtBun1qe_RD,EN,è necessario annunciare colloqui perché potrebbe dare al il di pensare a una strategia di risposta che potrebbe a sfavore in Spiega una perché è falsa.,2145.0,26
777,d1DXIA990F9MbMQ1WgOFR_RD,EN,qualità senior sei responsabile solo della all'interno del team lo influenzi anche in modo significativo il comportamento rispetto essa. Fai un del modo in cui il comportamento rispetto all'informazione può influenzare team .,2145.0,33
778,2eRlnm2uhvx7SclvzDQZRZ_RD,EN,usando chiave. Esistono dei segnali verbali. Essi forniscono informazioni importanti sull'aspetto relazionale della comunicazione. Alcuni messaggi dal destinatario confuso sono Questi sono cosiddetti,2145.0,23
779,6tDPpGaUD2C9Er9gu05tVC_RD,EN,"Le emozioni o i non possono essere lungo. Sono per capire quello che tocca che è importante per In una frase, come ""vederli e riconoscerli",2145.0,25
780,3uT3ndXGDj59gnX6dAbqeG_RD,EN,"Durante di critica , il ruolo collaboratore alle proposte di soluzioni possibili ? una o per questo ruolo.",2145.0,18
781,8GPZN1lGAPI8RfOfUkzb4D_RD,EN,"la risposta usando una o parole . Durante un colloquio critico che per esempio comportamento scorretto o una prestazione inadeguata, di manager dovrò fare una critica. Affinché sia la costruttiva possibile basarsi aspetti che distorce, deviare il discorso nella Di cosa ?",2145.0,42
847,9TYXjQ0ixmr7vPazqDnrmI_RD,EN,What do celebrate on Swiss Day?,,6
872,25Y2BLZGCpkay0f4dRrvpf_RD,EN,the interaction between the dog the picture:,4815.0,7
873,3Jr6T26XL13aKRh31JX0xi_RD,EN,You one of in the picture visiting London. You going write about day in London her point of view. Write short (4-6 in the simple past about her / his experience. Questions like can ORIGINAL QUESTION,4815.0,36
891,awpv0XE3g4Y5WI6T08ydUf_RD,EN,in English: Tim wohnt in grossen Haus.,,7
896,3tWq4pujD9E7p5gXhZlj7j_RD,EN,"Wort Kastanie alle mögliche Silben, indem Sternchen zwischen den einfügst, z.B. das Handwerk Hand*werk.",,14
897,9BEPLYwJtle6SNFq4iKN0U_RD,EN,in,,1
917,7olXITeLPhA7lpuJNFI0x0_RD,EN,It is that Christmas is the celebration the birth Christ; brought to the world from the Virgin was told that she would a child. Who told to Mary?,,28
921,3gbjpjewKN1aa5y4aN20Yw_RD,EN,to make wine (Glühwein in vin chaud ingredients into this holiday,,11
922,9Mc5FyG63rf6kYt9niCyf1_RD,EN,"Great by family name being my name Philip, my tongue could of both names nothing longer or than So myself Pip, and came to be called I Pirrip as father's family name, on the of his and my sister — Joe Gargery, married blacksmith. As I never or mother, saw any either (for their were long the days photographs), my first fancies they like unreasonably from their shape of letters gave an odd he was stout, dark man with curly From the character and turn wife of I drew a childish conclusion mother freckled sickly. To stone lozenges, about a foot half were arranged a row beside grave, sacred to the memory of five little brothers mine—who gave living exceedingly that — indebted for belief I religiously entertained that they had all on their backs with their hands in their trowsers-pockets, taken them in state of existence. the text and answer following Who is the of",,156
927,3Q2XVF2pxuk80nm3RKCEgR_RD,EN,"all know snowflakes look beautiful, did you know they tied to a very interesting mathematical object called a Put simply, two can apply to snowflake, it will the same! What could be? you place mirror half of the snowflake to make reflexion match?",,43
