taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT_SR,deu,nennen funf argument fur dice zhaw,,6
1,5CjgnkyFrAd7kfW2wvuKYi_SR,deu,ersetz markieren bildhaft wendung gleichbedeutend ausdruck tonio daheim zeit vertrodeln bei unterricht langsamen abgewandten geist lair lehrer schlecht anschreiben stehen fallen not atom number bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater einstmal ganz unten landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,1.0,53
2,5y3f8WN1u7F8mwHyB3GjBu_SR,deu,ersetz hideaway fett gedruckt ausdruck synonym rechnung schloss massachusett institut of technolog manko,2027.0,13
3,5dTVecGZaDU6jyi0XnmgjT_SR,deu,beschreib lair handlungsbereich vermitteln stichwortartig,125.0,5
4,5lDlwn820256bn1UCaZssm_SR,deu,dice kernaussag diethylstilbesterol j es ausbildungsverstandni antwort stichwortartig,125.0,8
5,6kpL6UTvol49HRuBCYD8j0_SR,deu,fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil verpflichten kur stadtisch suchtpraventionsstel thema redukt stopp stilbesterol cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio kursleit informieren uber kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess lid tun weiss warum kiff aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium stilbesterol ttm befinden karl heinz,2079.0,84
7,1b7GzQQyL5UaVKAMCOlFTc_SR,deu,nennen go bad drei wesentlich aufgabe stilbesterol kundenbeziehungsmanag,,8
8,4w9GhyqYclU6DR2ECZdxo4_SR,deu,welsh croak p,,3
9,6HKSLRqNL3U5Mhmrj8eafJ_SR,deu,diversifik finden neu markt neu produkt statt make up coni gegenteil diversifik bestehend markt bestehend produkt,,16
10,4PCAf43F0vz8Cai9f8VIKl_SR,deu,zahlen pop off schritt positionierungsanalys,,5
11,xfaIMOkIco60F2NvVBLiO_SR,deu,definieren hideout begriff break ev point kurz satze,3261.0,8
12,4Mg9yzLtSfm7bFud4CGYn2_SR,deu,fallvignett herr josi kunz leben famili siedlung stadtrand arbeiten buro versandhandel sportartikeln famili frau susann arbeiten teilzeit serviceangestellen cafeteria alt pflegeheim herr frau kunz eltern max tom lea drei kind gehen schule verhalten alltag herr kunz fahren auto arbeit firmengebaud benutzen buro dritter stock lair lift lift revis treppenabsatz auss atem pausieren gering ausdau stort jahr spielen zweiter liga fussbal seitdem mannschaft ausgetret machen keinerlei sport mehr wissen herr kunz risiko bewegungsmangel aufzahl arbeitsort lesen werbung fur sportartikel lair positiv folge regelmassig korperlich aktivitat ausgangslag herr kunz stark erkaltung bei hausarzt bieten abkling erkaltung standortgesprach dabei erlautern herrn kunz laborbefund anzeich diabet herzkreislaufproblemen sein bleibend schaden erkennbar sein dringend notwendig herr kunz regelmassig beweg mindest minute pro tag haus erzahlen herr kunz frau eigentlich ordnung sein sollen wenig mehr bewegen darum kummern beruflich mehr eingespennen sein nachst woch termin fachperson fur gesundheit gehen hausarzt zulieb genau auftrag hausarzt fur hausarzt uberweist herr kunz sollen programm minute bewegung pro tag erarbeit auftrag herrn kunz erster sitzung teilen herr kunz offensichtlich zufrieden sein vollkommen gesund wiss wenig mehr bewegen sein fur problem wa fur tun konn frage begrunden einschatzung antwort bitt stichworten,2079.0,190
13,3x1MfA2egc2aDydR7uUsp6_SR,deu,bea fotografieren freizeit tier veroffentlichen foto homepag tussl bea unternehmen foto coni urheberrecht schutzen begrunden antwort,3195.0,16
14,3boh9riWbYw5vj5P3G0lJD_SR,deu,bea begeistert lair aufsatzen schulerinn schuler stolz stellen gut arbeit namensnennung homepag veroffentlichung anonym fragen weder betroffen toler der eltern beurteilen bea vorgehen rechtlich sicht,3195.0,25
15,anujPX52fQR6x3248F2rHV_SR,deu,rollo finden internet bild coni obenstehendem creativ common label kennzeichnen drei bedingung dürfen coni bild weiterverwenden,3466.0,16
16,837aEbasa688e557uvxTar_SR,deu,rolf zeigen klassenlag schulerinn schuler aufgezeichnen fernsehsendung goldwasch napf einstimmung exkurs beurteilen au rechtlich sicht,3195.0,15
17,3oWzcZ9w53u7LC1lmB6Zzz_SR,deu,lehrerin bea publizieren rucksprach eltern offentlich klassenhomepag conk portratfoto schulerinn schuler sowi der vornamen beurteilen atom number rechtlich sicht,3465.0,19
18,1US4mJ2ZPSW6YhwGn5sr8k_SR,deu,hrolf schulerband uhr paus hideout ferien groß auftritt pausenplatz geben konzert ganz oberstuf begeistert passant programm stehen coverversion bekannt rock popsong schritt rolf unternehmen rechtlich sicht problem bekommen antwort kurz satz pro schritt,3195.0,33
19,38DVRUtUzmK80JIIPEQFK5_SR,deu,rolf schulerinn schuler verwend vortragen powerpoint prasent gestalten fremd foto astronom unit internet bedingung dysprosium zulassig antwort kurz satz pro bedingung,3195.0,21
20,5XeRfbWOsAB8uOpsoObxdm_SR,deu,bea werkstatt igel jahr indiana verlagsprogramm lehrmittelverlag aufnehmen verkaufen weshalb bea samtlich bild werkstatt ersetzen oben dargestellt creativ common lizenz finden antwort massachusett institut of technolog kurz satz,3466.0,28
