taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_BT,EN,know battl waterloo,4598.0,3
690,8lxRyLzStOK9eUhNRal38O_BT,EN,describ interact girl dog follow imag,,6
691,aazKG44PsKc5UnpTiDECut_BT,EN,write three short sentenc someon els continu write present ten follow verb love fear hate exampl love cat,,18
692,8L1QdQwEG5XaRfdYKcLPed_BT,EN,translat sentenc english homer simpson trabaja en una central nuclear,,10
716,14ambh1obhw7TYMQE8lcC1_BT,EN,write short text sentenc past simpli word usual sometim never,,10
717,8EmBlP6vc49aUpqCFODjiR_BT,EN,give know two write,,4
718,3elDg8Bsg126ktrMA9XnQ7_BT,EN,simpli write sentenc past one word usual sometim,,8
725,25RGLvb2p0G5zulfX9xQOj_BT,EN,man woman write sentenc posit neg happen pictur two list verb present progress form,4815.0,14
726,18Ccvc8NMJT5xqLv9nAgTH_BT,EN,anim write sentenc,,3
739,qVrOCQhZmraLEAc8BIoTm_BT,EN,data carrier permit storag medium,,5
741,7XyIGD5tZe85NDHIxMFvXA_BT,EN,peopl write sentenc happen pictur two list verb current progress form ask buy carri sell,5145.0,15
743,9i1kt9WgnoJ92e3hMZoWxb_BT,EN,term ford goe back basic word fahr old high german faran steer move,2025.0,13
768,5DHsZ2qeOj66KMKq8ScRLz_BT,EN,good leader know write concept keyword bonu point also give exampl concept,,12
774,6b45fXjfGSC5verTq8VEAB_BT,EN,indica aiutandoti con una frase che modo aver tropp informazioni e altrettanto dannoso che avern troppo poch,2145.0,17
775,9GeL4jxQYWm64cuJ0XTNs5_BT,EN,nel ruolo di manag prepararsi per un colloquio non e sempr la cosa miglior da fare perch potrebb non esserci abbastanza spontaneita spiega una frase perch questa affermazion non e pertinent,2145.0,31
776,9ZTbpRNZHbj6RnwtBun1qe_BT,EN,non e necessario annunciar colloqui importanti perch questo potrebb dare al dipendent il tempo di pensar una strategia di risposta che potrebb giocar vostro sfavor quanto manag spiega una frase perch questa affermazion e falsa,2145.0,35
777,d1DXIA990F9MbMQ1WgOFR_BT,EN,qualita di senior manag non sei responsabil solo della gestion dell informazion interno del tuo team lo influenzi anch modo signific attraverso il tuo stesso comportamento rispetto ad essa fai un esempio del modo cui il tuo comportamento rispetto informazion puo influenzar membri del tuo team,2145.0,46
