taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT,deu,nennen numb funf argument fur degener drop dead zhaw,,9
1,5CjgnkyFrAd7kfW2wvuKYi,deu,ersetz markieren bildhaft wendung gleichbedeutend ausdruck tonio daheim riv zeit vertrodeln bei unterricht langsamen abgewandten geist lehrer schlecht anschreiben stand fallen river not hoosier state bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen d uberhaupt au ubrig dam stadt vater einstmal ganz unten landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,1.0,56
2,5y3f8WN1u7F8mwHyB3GjBu,deu,ersetz lair fett gedruckt ausdruck synonym rechnung schloss massachusett institut of technolog manko,2027.0,13
3,5dTVecGZaDU6jyi0XnmgjT,deu,beschreib hideout hideout handlungsbereich vermitteln stichwortartig,125.0,6
4,5lDlwn820256bn1UCaZssm,deu,welcher off pass away kernaussag diethylstilbestrol j es ausbildungsverstandni antwort stichwortartig,125.0,11
5,6kpL6UTvol49HRuBCYD8j0,deu,fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil verpflichten buoy kur stadtisch suchtpraventionsstel thema redukt stopp cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio diethylstilbestrol kursleit informieren uber hideaway kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess tun weiss warum kiff aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium ttm befinden zubird karl heinz,2079.0,85
7,1b7GzQQyL5UaVKAMCOlFTc,deu,nennen break split up stilbestrol down drei wesentlich aufgabe diethylstilboestrol kundenbeziehungsmanag,,11
8,4w9GhyqYclU6DR2ECZdxo4,deu,welsh septenari cymric break down p,,6
9,6HKSLRqNL3U5Mhmrj8eafJ,deu,diversifik finden massachuset neu markt massachusett institut of technolog neu produkt statt exist planen gegenteil diversifik bestehend markt massachusett institut of technolog bestehend produkt,,24
10,4PCAf43F0vz8Cai9f8VIKl,deu,zahlen drop off drop dead schritt positionierungsanalys,,7
11,xfaIMOkIco60F2NvVBLiO,deu,definieren hideout begriff hideaway hideaway break even point kurz satze,3261.0,10
12,4Mg9yzLtSfm7bFud4CGYn2,deu,fallvignett herr josi kunz leben famili siedlung stadtrand arbeiten buro versandhandel sportartikeln famili frau susann arbeiten teilzeit serviceangestellen cafeteria alt pflegeheim herr frau kunz eltern max tom lea drei kind gehen schule verhalten alltag herr kunz fahren car arbeit firmengebaud benutzen buro dritter stock lift lift revis treppenabsatz auss atem pausieren gering ausdau stort jahr spielen zweiter liga fussbal seitdem mannschaft ausgetret machen keinerlei sport mehr wissen herr kunz risiko bewegungsmangel aufzahl arbeitsort lesen werbung fur sportartikel positiv folge regelmassig korperlich aktivitat ausgangslag herr kunz stark emerg room erkaltung bei hausarzt bieten abkling erkaltung standortgesprach dabei erlautern herrn kunz laborbefund anzeich diabet herzkreislaufproblemen sein bleibend schaden erkennbar sein dringend notwendig herr kunz regelmassig beweg mindest minute pro tag haus erzahlen herr kunz frau eigentlich ordnung sein sollen wenig mehr bewegen darum kummern beruflich mehr eingespennen sein nachst woch termin fachperson fur gesundheit gehen hausarzt zulieb genau auftrag hausarzt fur hausarzt uberweist herr kunz sollen programm minute bewegung pro tail erarbeit auftrag herrn kunz erster sitzung teilen herr kunz offensichtlich zufrieden sein vollkommen gesund wiss wenig mehr bewegen sein fur problem fur tun konn frage begrunden einschatzung antwort bitt stichworten,2079.0,189
13,3x1MfA2egc2aDydR7uUsp6,deu,bea fotografieren freizeit tier veroffentlichen cash one chip foto homepag bea unternehmen foto coni urheberrecht schutzen cow chip begrunden antwort,3195.0,20
14,3boh9riWbYw5vj5P3G0lJD,deu,bea begeistert aufsatzen schulerinn schuler stolz stellen give up the ghost gut arbeit namensnennung homepag veroffentlichung nom -- guerr fragen weder betroffen kind der eltern beurteilen bea vorgehen rechtlich sicht,3195.0,30
15,anujPX52fQR6x3248F2rHV,deu,rolf finden coney internet bild dassi obenstehendem creativ common label kennzeichnen drei bedingung dürfen atom coney number dassi bild weiterverwenden,3466.0,20
16,837aEbasa688e557uvxTar,deu,rolf zeigen klassenlag schulerinn schuler pall aufgezeichnen fernsehsendung goldwaschen rollo napf lou gehrig diseas einstimmung hrolf exkurs beurteilen rechtlich sicht,3195.0,20
17,3oWzcZ9w53u7LC1lmB6Zzz,deu,lehrerin bea publiziert retreat rucksprach hideaway eltern offentlich klassenhomepag conk out portratfoto schulerinn astronom unit schuler sowi der vornamen beurteilen rechtlich sicht,3465.0,22
18,1US4mJ2ZPSW6YhwGn5sr8k,deu,hrolf schulerband uhr paus chapeau ferien groß auftritt pausenplatz geben konzert ganz oberstuf begeistert passant programm stehen coverversion bekannt rock massachusett institut of technolog popsong schritt rolf unternehmen rechtlich sicht problem bekommen antwort kurz satz pro schritt,3195.0,37
19,38DVRUtUzmK80JIIPEQFK5,deu,rolf schulerinn schuler verwend vortragen massachusett bay coloni powerpoint prasent gestalten fremd foto internet bedingung dy zulassig antwort massachusett profession institut of technolog kurz satz pro bedingung,3195.0,27
20,5XeRfbWOsAB8uOpsoObxdm,deu,bea werkstatt igel jahr verlagsprogramm lehrmittelverliegen aufnehmen verkaufen weshalb bea hyrax samtlich bild werkstatt ersetzen cash one chip oben dargestellt creativ common lizenz finden antwort massachusett institut of d technolog kurz satz,3466.0,32
21,4VzSTu3Qkbuat8MKShbRnu,deu,rolf bereiten coni klassenlag erstellen passwortgeschutzt excel lisen speziel bedurfniss schulerinn schuler darin festzuhalt etwa hrolf benotigen medikament nahrungsmittelallergien schicken eltern link dokument coni passwort entprechend angabe zubird kind selber eintrag konne begrunden toler warum rolf vorgehen rechtlich sicht problematisch,3465.0,40
23,6YATLhC6EKb7FLyt1ul8dw,deu,ausgangslag privatschul ag bitten bewertung aktiv passiv hilf mobiliar schule veralten pop off daher wurd anfang neu mobiliar pulen stuhl zubird etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr linear restweren cipher abschreiben nettoverausserungsweren end chf schatzen frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,61
24,2KBKiamChix7AzgUXh7Fqw,deu,ausgangslag privatschul ag lid jahr fur kaufprei chf liegenschaft grossen gebaud erworben massachusett institut of technolog aluminium schulgebaud nutzen liegenschaft schulgebaud befinden gut lage zurich marktwert per end chf schatzen welsh frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,48
25,NDDRbv7TYQ5ycFBk5dno8,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert chf kur d gekauft schlusskur bilanzstichtag end betragen frage erklaren unten stehend textfeld stichwortartig ermittlung first state wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,38
26,5qyVy05gk247mvwo0zHkPa,deu,ausgangsliegen privatschul go bad ag bitten bewertung aktiv passiv hilf mobiliar schule veralten daher wurd anfang neu mobiliar pulen stuhl etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr analog restwert abschreiben nettoverausserungswert end chf schatzen frage ermitteln wert zubird mobiliar per end hochsten bilanziert dürfen punkt,2080.0,53
27,1uvGe8Nno5walGTtXriQ6F,deu,ausgangsliegen massachusett institut of technolog privatschul ag chapeau jahr fur kaufprei chf liegenschaft grossen gebaud erwerben welch ane schulgebaud nutzen liegenschaft schulgebaud befinden gut lage zurich marktwert per end chf schatzen frage ermitteln wert liegenschaft schulgebaud hochsten bilanziert dürfen punkt,2080.0,40
28,7ylhApF5T4O97dnxC6nEZW,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert chf kur kaufen schlusskur bilanzstichtag end betragen frage ermitteln cash one chip wert conk out obligation ag per end hochsten bilanzieren durfen punkt,2080.0,34
29,3zsKoSGA4LF8u3cxke7qAx,deu,wovon gehen district attorney district attorney klassisch marketingverstandni,,8
30,1fBIf6350GA6gq43VRCrsE,deu,nennen drei schritt planungsphas diethylstilbestrol diethylstilboestrol market commerciali direct prozess,,10
31,9WDKSx00vlW9K0bnORDcJS,deu,nennen haufig verwenden konzept analyz psychoanalys diethylstilboestrol umfeld stilboestrol unternehmen,,10
32,2uvDjDgO7X5aHZJsafVcan,deu,nennen snuff it snuff brown funf anforderungskriteri snuff it chukker brown segmentierung,,12
33,2dJT9P9U4fFaLp5CyP3NHk,deu,stall markenwert zwei element ausgedruckt stall nennen conk out beide element,,11
34,2BpcPbqRzLZ6KqjSjgxSi7,deu,zwei art arm servic militari human be kick -- bucket markenbekanntheit messen,,12
35,5QeevFBNgjK8J5oBsnMKiq,deu,nennen choke snuff -- croak zwei normstrategien d kundenakquisit,,9
36,9YJGjiwwmRmaO6UJLjt6K3,deu,hideaway erlautern hideout hideaway unterschi potenziell aktuell kunde kundenbeziehungslebenszyklu,,9
37,36Cl8yhjcbaa6kY2PIMbRB,deu,art d diversifik geben,,4
38,8CxNuOExW7T8AFVh6SHo8n,deu,typen prozessen lassen unternehmen unterscheiden,,5
39,5cB1PdSBUxsapU9Hcy7HtI,deu,captain hick aufgabe umfassen kick the bucket personalpolitik nennen kick the bucket bucket vi aufgabe,,15
40,6zths9mH7Cq8EIwhbJMlMW,deu,welsh exit cymric erfolgsfaktoren cymric digital market,,7
41,59AwTgl3apR9fHoPM6KGPH,deu,sesten nennen vi grundlegend stossrichtungen digit pass away instrument,,9
42,6TPlnzEFTBP7AFpUjaHhGt,deu,zusammenhang d reaktion mitarbeitende strategisch veranderungen lassen grundsatzlich massachusett institut of technolog vier mitarbeitertype unterscheiden nennen dice vier type,,19
43,a3mnO3FTYVN9Oxoyp2Vh2I,deu,begriff d unternehmenskultur lassen je betrachtet model verschied komponent zuordnen tomczak unterscheiden vier ebene nennen break vier ebene,,18
44,1tWjiD8qkak6L7SO2GOUZz,deu,repres stehen ern market marketplac foku nennen wichtig market merkmal,3086.0,10
