taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_RD,DE,Translate German: Він у Швейцарії.,,5
719,2T3rZTRBlAv94jV8YNcbgq_RD,DE,"Brief an eine Zeitung Schreiben Sie eine auf diesen Artikel (ungefähr 180 - Sie schreiben ob Ihrem eine Schuluniform welche Vorteile Nachteile Tragen einer nach hat. remark: Schulkleidung statt Schüler in Uniform? die sprachen sich die Bildungsministerin dazu, das Schuluniform zu einheitliche Identifizierung mit und aller Schüler ist. darüber hinaus dem Markenwahn entgegenwirkt, umso besser.""",,55
720,2z7BrRib1zJ6KE4gVWmz6U_RD,DE,Sie Radiosendung zum Thema Heiraten Deutschland gehört. Schluss Zuhörer aus einen Bericht über das Thema in meinem Heimatland schreiben und an den Sender Sendung interessantesten Schreiben Sie Bericht über genannte,,30
740,a0s1XNwpeGQ9pLGnqdkhni_RD,DE,my,,1
762,5XfzyS7dJ487uL4NZfz8fZ_RD,DE,Ergänzen zwei Anspruchsgruppen.,,3
765,8LIIlBLXmue7RO4U5ou7gb_RD,DE,Sie anhand der einem zusammen.,4576.0,5
766,26pzeDwUv0t8MVuLVj5JmB_RD,DE,"Es vorkommen, dass Vertragspartei andere absichtlich täuscht – entweder zum Beispiel falsche Kaufgegenstand Informationen verschweigt. In diesem Fall die getäuschte vom Vertrag Sie kurz möglich zusammen:",4576.0,26
809,8DqIXljQuGe9xQIEqI7WFp_RD,DE,"möglichst Merkmale des nachfolgenden Textes, die Textsorte «Ansichtskarte» sind. Kawai, Hallo Jens Fahrt durch eindrücklichen architektonischen Highlights und super feinen Fischgerichten wir die unglaubliche Natur auf Hawaiis. dir viele Westküste ins neblige St. Gallen, haben wir hier mehr als genug!",,40
825,1aFSUitL2a75WVYA7sYmbV_RD,DE,"Alexandra muss ein Kompetenzprofil die neuen in ihrem Unternehmen erstellen. Welche Frage sie stellen, um die dieser Stelle zu beschreiben? Finde zwei solche",5195.0,23
826,1vX3fcgVtpy9k6WSWsiwVY_RD,DE,"Du ein neues Projekt zu entwickeln, z. für neu kommen. Was ist der erste Schritt? Antworte",5199.0,16
827,1Yw06EpFLlx8w5vSpuyw7z_RD,DE,drei Erstellung werden müssen.,5193.0,4
828,3ijyNlG3msT8hVz0AagklM_RD,DE,"die Frage in Stichworten: Welche sollte ergriffen werden, um komplexe Frage der Rechte Streitfall",5197.0,14
829,3Lhb5g6fDr86NzURJcyyDz_RD,DE,Benenne einigen Stichwörtern einen Tätigkeitsbereich des HR-Bereichs?,5188.0,7
830,4ASVotj6O8TaDrfNW86wN8_RD,DE,Beschreibe gemäß ERG-Theorie die Einführung von Home-Office jemanden Kontaktbedürfnis,5198.0,9
831,4wgx29MQGCG7nsLZGOLVkb_RD,DE,"Das Unternehmen möchte seine Internetplattform verbessern, die elektronische Rekrutierung professionellen Programmierer Nenne auf den er bei Gestaltung des E-Recruitings achten muss.",5195.0,21
832,5qXSNUFhNmN5VidLfA9m4w_RD,DE,"Bewerbungsdossier an, das ihr gut gefällt. Dann bemerkt sie, dass Zeit der nicht erklärt ist. formale für von Bewerbungsdossiers erfüllt? Beantworte diese Frage in wenigen Stichworten.",5195.0,26
833,5X9l77w0fZN6MyxYnD3KVB_RD,DE,Stichworten des/der Angestellten.,5197.0,3
834,6E4bDMNlDGW9xdMQL87atr_RD,DE,"Gib deine an: in ursprünglich familiengeführten, aber immer weiter wachsenden Unternehmen. wie die nehmen Zeit in würdest du raten?",5191.0,19
835,6XcMHDeahgw8YXFQ1agv4E_RD,DE,"Algrifor hat ein Marketingteam zwei Mitarbeiterinnen. die jedoch eine beauftragt. Beschreibe wenigen Worten, Vorgehen",5189.0,14
836,71YaOZ4cMBG9fw8cYMNsDJ_RD,DE,Benenne eines die Handlung,5195.0,4
837,7nGyv3xP47X6la5j0r1b39_RD,DE,"Worauf wenn dich entscheidest, Beurteilungsgespräche zu Antworte mit Stichworten zu jedem",5199.0,11
838,7VbRfWDTJl46dcViAZD3lS_RD,DE,einiger Stichworte einen Faktor außerhalb Einfluss auf das Gehalt des Arbeitnehmers hat.,5198.0,12
839,7xH7JyWDbZU6Ofct6alsxs_RD,DE,aktiven Faktor,5190.0,2
840,89hYlgmdvx87BM7GIPQH21_RD,DE,"Beantworte die in Satz. Was kann eine Arbeitgeber verlangen, meint, dass sie rassistisch",5197.0,13
