taskId,language,description,topic_id,word_count
0,7TVZOkAoQvS71zub3YI9Uy,EN,know battl waterloo,4598.0,3
1,8lxRyLzStOK9eUhNRal38O,EN,describ interact girl dog follow pictur,,6
2,aazKG44PsKc5UnpTiDECut,EN,write three short sentenc someon el write present continu follow verb love fear hate exampl love cat,,17
3,8L1QdQwEG5XaRfdYKcLPed,EN,translat sentenc english homer simpson trabaja en una central nuclear,,10
4,14ambh1obhw7TYMQE8lcC1,EN,write short text sentenc past simpl word usual sometim never,,10
5,8EmBlP6vc49aUpqCFODjiR,EN,gib not know two write ein,,6
6,3elDg8Bsg126ktrMA9XnQ7,EN,write sentenc past simpl one word usual sometim,,8
7,25RGLvb2p0G5zulfX9xQOj,EN,man woman write sentenc posit neg happen pictur two list verb present progress form drink eat laugh listen read smile wear work,4815.0,22
8,18Ccvc8NMJT5xqLv9nAgTH,EN,anim write sentenc,,3
9,qVrOCQhZmraLEAc8BIoTm,EN,sind datentrag bedingungslo al aufbewahrungsmedien zugelassen,,6
10,7XyIGD5tZe85NDHIxMFvXA,EN,peopl write sentenc happen pictur two list verb present progress form ask buy carri sell,5145.0,15
11,9i1kt9WgnoJ92e3hMZoWxb,EN,der ausdruck furt geht auf da grundwort fahr althochdeutsch faran steuern sich fortbewegen zuruck erklar den zusammenhang,2025.0,17
12,5DHsZ2qeOj66KMKq8ScRLz,EN,know concept leadership good leader know write one concept keyword bonu point give exampl concept,,15
13,6b45fXjfGSC5verTq8VEAB,EN,indica aiutandoti con una frase che modo aver tropp informazioni e altrettanto dannoso che avern troppo poch,2145.0,17
14,9GeL4jxQYWm64cuJ0XTNs5,EN,nel ruolo di manag prepararsi per un colloquio non e sempr la cosa miglior da fare perch potrebb non esserci abbastanza spontaneita spiega una frase perch questa affermazion non e pertinent,2145.0,31
15,9ZTbpRNZHbj6RnwtBun1qe,EN,non e necessario annunciar colloqui importanti perch questo potrebb dare al dipendent il tempo di pensar una strategia di risposta che potrebb giocar vostro sfavor quanto manag spiega una frase perch questa affermazion e falsa,2145.0,35
16,d1DXIA990F9MbMQ1WgOFR,EN,qualita di senior manag non sei responsabil solo della gestion dell informazion interno del tuo team lo influenzi anch modo significativo attraverso il tuo stesso comportamento rispetto ad essa fai un esempio del modo cui il tuo comportamento rispetto informazion puo influenzar membri del tuo team,2145.0,46
17,2eRlnm2uhvx7SclvzDQZRZ,EN,rispondi usando una parola chiav esistono dei segnali non verbali essi forniscono dell informazioni importanti sull aspetto relazional della comunicazion alcuni messaggi vengono talvolta percep dal destinatario modo confuso perch non sono autentici affidabili questi sono cosiddetti messaggi,2145.0,38
18,6tDPpGaUD2C9Er9gu05tVC,EN,le emozioni sentimenti non possono esser nascosti lungo sono utili per capir quello che ci tocca e che e important per noi una frase spiega come vederli arrivar e riconoscerli,2145.0,30
