language,description,context,tenant_id,tenant_name,topic_name,topic_description,word_count,taskId
15898,deu,"Translate ""Ich habe gestern Abend ferngesehen."" to English.",,93.0,DataEnricher,,,8,3zHah3WHaBL69lxjz0xPdA
15899,deu,"Translate ""Er hat ein Abendessen bestellt."" to English.",,93.0,DataEnricher,,,8,7dgOqVF3wM07eiRRzsTEYV
15900,deu,"Translate ""Ich hatte nichts zum Abendessen."" to English.",,93.0,DataEnricher,,,8,9yd745wscDf9ERA8P2pfhW
15901,deu,"Translate ""Ich will kein Abendessen."" to English.",,93.0,DataEnricher,,,7,6ZsjZ1Fpkk76aNTpKZucfx
15902,deu,"Translate ""Tom macht gerade Abendessen."" to English.",,93.0,DataEnricher,,,7,22BFD78ilPM8TchKxPNRFF
15903,deu,"Translate ""Das Leben ist voller Abenteuer."" to English.",,93.0,DataEnricher,,,8,50vh0FAZ3TDaHo84QdFocv
15904,deu,"Translate ""Ich konnte nicht ablehnen."" to English.",,93.0,DataEnricher,,,7,a8fhbpOctnB81BMgXtazcU
15905,deu,"Translate ""Das machst du doch mit Absicht!"" to English.",,93.0,DataEnricher,,,9,20A4Hx4UDtf8CLvEdGBbCn
15906,deu,"Translate ""Das war sicher nicht mit Absicht."" to English.",,93.0,DataEnricher,,,9,7DSzCegF1Gz9C7jXDbf0ae
15907,deu,"Translate ""Er hatte die Absicht, sie zu heiraten."" to English.",,93.0,DataEnricher,,,10,SsFyvivPiXa3xCGUqNzhy
15908,deu,"Translate ""Hast du das mit Absicht getan?"" to English.",,93.0,DataEnricher,,,9,4iiM8cAHjYH75flvADkcFR
15909,deu,"Translate ""Ich habe nicht die Absicht, mich zu entschuldigen."" to English.",,93.0,DataEnricher,,,11,4WQPpjZzXl05Tdu6W5xxVt
15910,deu,"Translate ""Meine Frau wollte ein Kind adoptieren."" to English.",,93.0,DataEnricher,,,9,7FH3sCf1EL78jEz8orF9ab
15911,deu,"Translate ""Der Affe fiel vom Baum."" to English.",,93.0,DataEnricher,,,8,4YROUyqd8jj7fi3DT8SnHu
15912,deu,"Translate ""Mein Affe ist fortgelaufen."" to English.",,93.0,DataEnricher,,,7,8IRZQCLrsBh9uuBth2dbc3
15913,deu,"Translate ""Das war ein Albtraum."" to English.",,93.0,DataEnricher,,,7,f5FBKIiyFd7QCzbq4GgKP
15914,deu,"Translate ""Er zeigte mir sein Album."" to English.",,93.0,DataEnricher,,,8,50hyowIp3hd7pHJnrWGCla
15915,deu,"Translate ""Es ist mir nicht erlaubt, Alkohol zu trinken."" to English.",,93.0,DataEnricher,,,11,a2EFy1quyXd6bb286NW5Qb
15916,deu,"Translate ""Haben Sie Getränke ohne Alkohol?"" to English.",,93.0,DataEnricher,,,8,6K4ImkCIaj08kpmj1XbVws
15917,deu,"Translate ""Ich kann keinen Alkohol trinken."" to English.",,93.0,DataEnricher,,,8,8ZITtwQdx9G9AKb7jyIPS3
15918,deu,"Translate ""Ich trinke keinen Alkohol."" to English.",,93.0,DataEnricher,,,7,9Wm7IWwrNhRayy5g2gj6rA
15919,deu,"Translate ""Sie war dem Alkohol nicht abgeneigt."" to English.",,93.0,DataEnricher,,,9,17aU9nWh0eLag81mXI2h3O
15920,nds,"Translate ""Ich habe bis zum Alter von 6 in Osaka gelebt."" to English.",,93.0,DataEnricher,,,13,8PqBcI1KZWl8Mtq0B8FxL4
15921,deu,"Translate ""Sie hat im Alter von 25 geheiratet."" to English.",,93.0,DataEnricher,,,10,aAkIziPCaJX7lPIBr9JQwY
15922,deu,"Translate ""Welches Alter hat Ihr Sohn?"" to English.",,93.0,DataEnricher,,,8,3zGud8VQ8yNaycnVTBNazJ
15923,eng,"Translate ""Was ist die Alternative?"" to English.",,93.0,DataEnricher,,,7,acmZVlmedq577WAV5BInIC
15924,deu,"Translate ""Jane scheint sich auf der Party zu amüsieren."" to English.",,93.0,DataEnricher,,,11,1oTr9NmVjOc7V9UGrEs4ah
15925,deu,"Translate ""Darf ich dir jetzt etwas zu trinken anbieten?"" to English.",,93.0,DataEnricher,,,11,6hmk7XLEG7361cQCL6t3Wb
15926,deu,"Translate ""Das wird sich nicht ändern."" to English.",,93.0,DataEnricher,,,8,7EkwqUuuM7L71QhYSquY9C
15927,deu,"Translate ""Die Zeiten ändern sich."" to English.",,93.0,DataEnricher,,,7,3lriGJFEm9W8W71JHWyfDX
15928,deu,"Translate ""Tom muss seine Einstellung ändern."" to English.",,93.0,DataEnricher,,,8,5flo6UARSgZ8n2lBBqtBn1
15929,deu,"Translate ""Vielleicht ändern sich die Preise."" to English.",,93.0,DataEnricher,,,8,2whKClfmekVaHLvKfAiPVa
