taskId,language,description,topic_id,word_count,sentence_count
511,7TVZOkAoQvS71zub3YI9Uy,EN,know battl waterloo,4598.0,3,1
690,8lxRyLzStOK9eUhNRal38O,EN,describ interact girl dog follow pictur,,6,1
691,aazKG44PsKc5UnpTiDECut,EN,write short sentenc someon el write present continu follow verb love fear hate exampl love cat,,16,2
692,8L1QdQwEG5XaRfdYKcLPed,EN,translat sentenc english homer simpson work nuclear power plant,,9,1
716,14ambh1obhw7TYMQE8lcC1,EN,write short text sentenc past simpl word usual sometim never,,10,2
717,8EmBlP6vc49aUpqCFODjiR,EN,gib know write,,3,2
718,3elDg8Bsg126ktrMA9XnQ7,EN,write sentenc past simpl word usual sometim,,7,2
725,25RGLvb2p0G5zulfX9xQOj,EN,man woman write sentenc posit neg happen pictur list verb present progress form drink eat laugh listen read smile wear work,4815.0,21,4
726,18Ccvc8NMJT5xqLv9nAgTH,EN,anim write sentenc,,3,2
739,qVrOCQhZmraLEAc8BIoTm,EN,datum carrier uncondit approv retent medium,,6,1
741,7XyIGD5tZe85NDHIxMFvXA,EN,peopl write sentenc happen pictur list verb present progress form ask buy carri sell,5145.0,14,4
743,9i1kt9WgnoJ92e3hMZoWxb,EN,express ford goe back basic word drive old high german faran control move away explain connect,2025.0,16,2
768,5DHsZ2qeOj66KMKq8ScRLz,EN,know concept leadership good leader know write concept keyword bonu point give exampl concept,,14,3
774,6b45fXjfGSC5verTq8VEAB,EN,indic help sentenc mani inform equal harm,2145.0,7,1
775,9GeL4jxQYWm64cuJ0XTNs5,EN,role manag prepar interview alway good thing may quit spontan explain sentenc statement relev,2145.0,14,2
776,9ZTbpRNZHbj6RnwtBun1qe,EN,necessari announc import interview could give employe time think respon strategi could play default manag explain sentenc statement fal,2145.0,19,2
777,d1DXIA990F9MbMQ1WgOFR,EN,senior manag respon manag inform within team also influenc significantli behavior compar exampl way behavior compar inform influenc team member,2145.0,20,2
778,2eRlnm2uhvx7SclvzDQZRZ,EN,repli keyword non verbal signal provid import inform relat aspect commun messag sometim perceiv recipi confus authent reliabl call messag,2145.0,20,5
779,6tDPpGaUD2C9Er9gu05tVC,EN,emot feel can not hide long time understand touch we import we sentenc explain arriv recogn,2145.0,16,3
780,3uT3ndXGDj59gnX6dAbqeG,EN,critic interview role collabor respect propos possibl solut write sentenc explain role,2145.0,12,2
781,8GPZN1lGAPI8RfOfUkzb4D,EN,give answer keyword critic interview concern exampl incorrect behavior inadequ perform manag critic order critic construct possibl must base import aspect emot often distort speech deviat subject,2145.0,27,4
847,9TYXjQ0ixmr7vPazqDnrmI,EN,celebr swiss nation day,,4,1
872,25Y2BLZGCpkay0f4dRrvpf,EN,describ interact girl dog follow pictur,4815.0,6,1
873,3Jr6T26XL13aKRh31JX0xi,EN,peopl pictur visit london write day london point view write short text sentenc simpl past experi question help origin client question,4815.0,21,5
891,awpv0XE3g4Y5WI6T08ydUf,EN,write english tim live larg hous,,6,1
896,3tWq4pujD9E7p5gXhZlj7j,EN,separ word chestnut possibl syllabl insert asterisk syllabl e g craft hand work,,13,2
897,9BEPLYwJtle6SNFq4iKN0U,EN,write sentenc english,,3,1
917,7olXITeLPhA7lpuJNFI0x0,EN,widespread knowledg christma celebr birth jesu christ bring world virgin mari tell would birth child tell mari,,17,2
921,3gbjpjewKN1aa5y4aN20Yw,EN,time mull wine gluhwein german vin chaud french ingredi holiday drink,,11,2
922,9Mc5FyG63rf6kYt9niCyf1,EN,great expect charl dicken father famili name pirrip christian name philip infant tongu could name noth long explicit pip call pip call pip give pirrip father famili name author tombston sister mr joe gargeri marri blacksmith never father mother never either day long day photograph first fanci regard unreason deriv tombston shape letter father give odd idea squar stout dark man curli black hair charact turn inscript also georgiana wife draw childish conclus mother freckl sickli five littl stone lozeng foot half long arrang neat row besid grave sacr memori five littl brother mine give tri live exceedingli earli univer struggl indebt belief religi entertain bear back hand trowser pocket never take state exist read text care answer follow question wife blacksmith,,122,9
927,3Q2XVF2pxuk80nm3RKCEgR,EN,snowflak geometri know snowflak look beauti know also tie interest mathemat object call dihedr group put simpli transform appli snowflak still look could transform hint could place mirror half snowflak reflexion match,,32,5
929,acULs3NPhSo8GoCnzRr550,EN,gift famili hint provid list simpl keyword,,7,2
930,bFnkviohpp9w8xLXYyFgj,EN,tragic beauti incarn christma spirit decemb wwi soldier cross man land celebr christma truce ceasefir even end share carol even footbal match countri involv christma truce,,26,3
931,3ic4WkJzo38a3N18uRT4dN,EN,describ interact girl dog follow pictur,,6,1
933,qvpFCnVIvh9KSq5Zj8wpy,EN,name ingredi eggnog,,3,1
939,1eCGJjuvqMWa0XbPT8455E,EN,sign age give concis answer,,5,2
943,2YUaD24fUfP7pWjwIr92iP,EN,translat follow sentenc english tim live blue hous,,8,1
944,2UMtJUswomA7LRi0R8WvXz,EN,write hear john play cat,,5,1
945,5u9DZIU6uoD8WzGcFOR339,EN,write sentenc past simpl word usual sometim test feedback write someth drink usual coffe morn,5145.0,15,3
946,3dJg4CNE4M6745TGO3hpJu,EN,five phase project manag test feedback write someth meet scope realiz,,11,2
947,5qBvawWa1k182LVJCTe121,EN,event earthquak build give recommend test feedback write someth run around scream,4815.0,12,3
948,3gKnqzVuNvU5AgcrVVzhqc,EN,learn climat chang test feedback write someth climat chang seriou threat,4815.0,11,2
