,documentId,language,title,description,context,topic,hints,solutionSteps,replacements,resource,sampleSolutions,stepifier,word_count
2,7TVZOkAoQvS71zub3YI9Uy,EN,The Battle of Waterloo,What do you know about the Battle of Waterloo?,,"{'id': 4598, 'name': 'English', 'description': '', 'displayedOnDashboard': False}",[],['Napoleon Bonaparte was defeated at the Battle of Waterloo in 1815.'],,,[''],KEYWORD,9
3,7x0pAQzpIEy794NCOxL9lg,EN,Demo Task Open Language,Translate the sentence: Er ist der Präsident von Amerika.,,,[],['He is the president of the USA.'],,,[''],SENTENCE,9
4,4M6yoJCBEbQ6zaztY5bG1U,EN,Chemistry: Neutralize Acid,Describe what you have to do in order to neutralize an acid?,,,[],[],,,[''],KEYWORD,12
5,2FVWlAlScuC9XzyS5SarpA,EN,Example 1,Describe the interaction between the girl and the dog in the following picture:,,,[],['A girl hugs a dog.'],,,[''],SENTENCE,13
12,9Aa4h4yosMb9oAglIYVbMr,DE,U_SV_01_Translation,Translate into German:Він народився у Швейцарії.,,,[],[],,,[''],KEYWORD,6
14,8lxRyLzStOK9eUhNRal38O,EN,Task 01: Girl and Dog,Describe the interaction between the girl and the dog in the following picture:,,,[],[],,,[''],SENTENCE,13
15,aazKG44PsKc5UnpTiDECut,EN,Task 04: Sentences,Write three short sentences about yourself or someone else. Write in present continuous and use each of the following verbs once:love - fear - hateExample: I love cats.,,,[],[],,,[''],SENTENCE,28
16,8L1QdQwEG5XaRfdYKcLPed,EN,Task 05: Translation,"Translate this sentence into English:""Homer Simpson trabaja en una central nuclear.""",,,[],['Homer Simpson works in a nuclear power plant.'],,,[''],SENTENCE,11
17,aOD868fuSnFa9kROMXHuPB,DE,Test wenn dann,"Es kann vorkommen, dass eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche Angaben zum Kaufgegenstand macht oder wesentliche Informationen verschweigt. In diesem Fall kann die getäuschte Partei vom Vertrag zurücktreten. Fassen Sie diese Regel mit einem Wenn-dann-Satz so kurz wie möglich zusammen:",,,[],[],,,[''],SENTENCE,47
19,14ambh1obhw7TYMQE8lcC1,EN,EN_06_Past simple,"Write a short text (3-5 sentences) in past simple. Use the words usually, sometimes and never.",,,[],[],,,[''],KEYWORD,16
20,8EmBlP6vc49aUpqCFODjiR,EN,TEST Freitext Schluckschluck,"Gib ""I do'nt know what two write."" ein.",,,[],[],,,[''],SENTENCE,8
21,3elDg8Bsg126ktrMA9XnQ7,EN,EN_06_Past simple (copy),Write a sentence in past simple. Use one of these words: usually or sometimes.,,,[],[],,,[''],KEYWORD,14
22,2T3rZTRBlAv94jV8YNcbgq,DE,TESTING | Schubert 02: Schuluniformen,"Brief an eine ZeitungSchreiben Sie eine Reaktion auf diesen Artikel an die Zeitung (ungefähr 180 Wörter).Sagen Sie,- warum Sie schreiben- ob Schüler in Ihrem Heimatland eine Schuluniform tragen- welche Vorteile oder Nachteile das Tragen einer Schuluniform Ihrer Meinung nach hat.| remark: Schulkleidung statt MarkenwahnSchüler in Uniform? Bayerns Ministerpräsident, die Bundesbildungsministerin und die Bundesjustizministerin sprachen sich für die Schuluniform aus. Die Bildungsministerin sagte gestern dazu, dass das Tragen einer Schuluniform zu begrüßen ist, wenn einheitliche Schulkleidung zur Identifizierung mit der Schule beiträgt und Symbol einer Gemeinschaft aller Schüler ist. ""Falls Schulkleidung darüber hinaus dem verbreiteten Markenwahn entgegenwirkt, umso besser.""",,,[],[],,,[''],KEYWORD,98
23,2z7BrRib1zJ6KE4gVWmz6U,DE,TESTING | Schubert 03: Heirat im Heimatland,"BerichtSie haben eine Radiosendung zum Thema Heiraten in Deutschland gehört. Am Schluss der Sendung wurden Zuhörer aus anderen Ländern aufgefordert, einen kurzen Bericht über das Thema Heirat in meinem Heimatland zu schreiben und an den Sender zu schicken. In der nächsten Sendung wird über die interessantesten Zuschriften berichtet.Schreiben Sie einen Bericht über das genannte Thema (etwa 200 Wörter).",,,[],[],,,[''],KEYWORD,58
27,1uABTLp95CK7CBfYLNsodE,EN,62bc665688e1a0001d5db942,Hallo aus der Testumgebung,,,[],[],,,[''],SENTENCE,4
28,25RGLvb2p0G5zulfX9xQOj,EN,CO_ENG_situation-happening,What are the man and the woman doing? Write a sentence (positive or negative) on what is happening now in the picture.Use two of the listed verbs in the present progressive form.drinkeatlaughlisten toreadsmilewearwork,,"{'id': 4815, 'name': 'EN_Content', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,33
29,18Ccvc8NMJT5xqLv9nAgTH,EN,digi1.2.1.A.4 Open task (Kopie),What does this animal say? Write a sentence.,,,[],[],,,[''],SENTENCE,8
32,qVrOCQhZmraLEAc8BIoTm,EN,U_COMP_00_Datenträger,Sind Datenträger bedingungslos als Aufbewahrungsmedien zugelassen?,,,[],[],,,[''],KEYWORD,6
33,a0s1XNwpeGQ9pLGnqdkhni,DE,Translation,"Tranlate: ""I love my dog""",,,[],[],,,[''],KEYWORD,5
34,7XyIGD5tZe85NDHIxMFvXA,EN,CP_EN_06_Present continuous,What are the people doing? Write a sentence on what is happening now in the picture.Use two of the listed verbs in the present progressive form.askbuycarrysell,,"{'id': 5145, 'name': 'Language learning', 'parentId': 5131, 'description': '', 'displayedOnDashboard': True}",[],[],,,[''],KEYWORD,26
35,9i1kt9WgnoJ92e3hMZoWxb,EN,6.1A_STIL_WSCH_FELD_44,"Der Ausdruck Furt geht auf das Grundwort ‘FAHR’ (althochdeutsch faran, ‘steuern’, ‘sich fortbewegen’) zurück. Erkläre den Zusammenhang.",,"{'id': 2025, 'name': 'Wortfeld', 'displayedOnDashboard': False}",['Furt = seichte Stelle eines Gewässers'],[],,,[''],SENTENCE,17
36,1pRLnbAZJR37vgwo8Vxw0S,EN,Title,This is a task,,,[],['some sample solution'],,,[''],KEYWORD,4
38,HUtxPkloBJ7XLIOUfJZSn,DE,Translation Prompt Engineering,Translate: I love my dog,,,[],[],,,[''],KEYWORD,5
49,28ZTOurxwjZ61PfaHI0FFy,DE,113,Besucherinnen und Besucher,,"{'id': 4576, 'name': 'Allgemeinbildender Unterricht', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],SENTENCE,3
53,5XfzyS7dJ487uL4NZfz8fZ,DE,110,Ergänzen Sie mindestens zwei weitere Anspruchsgruppen.,,,[],[],,,[''],SENTENCE,6
54,2m0xpgrzoxH9QQXxV1o3Rl,DE,111,Beschreiben Sie deren Anliegen.,,,[],[],,,[''],SENTENCE,4
56,8LIIlBLXmue7RO4U5ou7gb,DE,247,Fassen Sie diese Pflichten anhand der Grafik in einem Satz zusammen.,,"{'id': 4576, 'name': 'Allgemeinbildender Unterricht', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],SENTENCE,11
57,26pzeDwUv0t8MVuLVj5JmB,DE,250,"Es kann vorkommen, dass eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche Angaben zum Kaufgegenstand macht oder wesentliche Informationen verschweigt. In diesem Fall kann die getäuschte Partei vom Vertrag zurücktreten.
Fassen Sie diese Regel mit einem Wenn-dann-Satz so kurz wie möglich zusammen:",,"{'id': 4576, 'name': 'Allgemeinbildender Unterricht', 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],SENTENCE,47
59,5DHsZ2qeOj66KMKq8ScRLz,EN,CP_EN_08_Leadership,"BE, KNOW, DO concept of leadershipWhat should a good leader be, know and do? Write one concept for each keyword. You get bonus points if you give examples for each concept too.",,,[],[],,,[''],KEYWORD,32
64,6b45fXjfGSC5verTq8VEAB,EN,IT_L_CO_Eval1_Q20 > SP_L_CO_Eval1_Q#,"Indica, aiutandoti con una frase, in che modo avere troppe informazioni è altrettanto dannoso che averne troppo poche.",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"[""È chiaro che la mancanza di informazioni può portare a perdite di tempo e ritardi. Tuttavia, troppe informazioni sono anche dannose nel senso che l'elaborazione delle informazioni richiede di mobilitare inutilmente delle capacità intellettuali.""]",,,[''],SENTENCE,18
65,9GeL4jxQYWm64cuJ0XTNs5,EN,IT_L_CO_Eval2_Q8 > SP_L_CO_Eval2_Q#,"""Nel ruolo di manager, prepararsi per un colloquio non è sempre la cosa migliore da fare perché potrebbe non esserci abbastanza spontaneità.""Spiega in una frase perché questa affermazione non è pertinente.",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"['Prepararsi rigorosamente per un colloquio, qualunque esso sia, è garanzia di rispetto e successo nelle mansioni guida. Anche se ben preparati, è assolutamente possibile rimanere spontanei e naturali.']",,,[''],KEYWORD,31
66,9ZTbpRNZHbj6RnwtBun1qe,EN,IT_L_CO_Eval2_Q9 > SP_L_CO_Eval2_Q#,"Non è necessario annunciare i colloqui importanti, perché questo potrebbe dare al dipendente il tempo di pensare a una strategia di risposta che potrebbe giocare a vostro sfavore in quanto manager.Spiega in una frase perché questa affermazione è falsa.",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"['I colloqui di gestione importanti, pianificati e prevedibili, <strong>devono essere annunciati</strong>, cioè si deve concordare formalmente una data con il dipendente. In questo modo le persone coinvolte hanno il tempo necessario per prepararsi, il che è più salutare per tutti.&nbsp;']",,,[''],SENTENCE,39
67,d1DXIA990F9MbMQ1WgOFR,EN,IT_L_CO_Eval2_Q19 > SP_L_CO_Eval2_Q#,"In qualità di senior manager, non sei responsabile solo della gestione dell'informazione all'interno del tuo team ma lo influenzi anche in modo significativo attraverso il tuo stesso comportamento rispetto ad essa.Fai un esempio del modo in cui il tuo comportamento rispetto all'informazione può influenzare i membri del tuo team.",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"[""Le informazioni influenzano il <strong>processo lavorativo</strong> a livello <strong>fattuale e</strong> <strong>relazionale :</strong><br>A livello fattuale, le informazioni permettono di effettuare correttamente il lavoro. L'informazione adeguata permette di fornire delle prestazioni ottimali. Sul piano relazionale, hanno un effetto meno evidente ma al contempo concreto. Motivano e favoriscono l'identificazione. In effetti, una persona informata si sente integrata, poiché <strong>l'informazione risponde a un bisogno sociale fondamentale.&nbsp;</strong>""]",,,[''],KEYWORD,49
68,2eRlnm2uhvx7SclvzDQZRZ,EN,IT_L_CO_Test1_Q5> SP_L_CO_Test1_Q#,Rispondi usando una parola chiave. Esistono dei segnali non verbali.Essi forniscono delle informazioni importanti sull'aspetto relazionale della comunicazione.  Alcuni messaggi vengono talvolta percepiti dal destinatario in modo confuso perché non sono autentici o affidabili.  Questi sono i cosiddetti messaggi:,,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"['Perché un messaggio sia coerente, tutti i segnali verbali e non verbali devono essere orientati nella <strong>st</strong><strong>essa direzione</strong>. In questo modo vengono quindi percepiti come omogenei e apportano una certa <strong>""logica""</strong> o <strong>""congruenza""</strong> al messaggio.']",,,[''],KEYWORD,39
69,6tDPpGaUD2C9Er9gu05tVC,EN,IT_L_CO_Test3_Q5 > SP_L_CO_Test3_Q#,"Le emozioni o i sentimenti non possono essere nascosti a lungo.Sono utili per capire quello che ci tocca e che è importante per noi.In una frase, spiega come ""vederli arrivare"" e riconoscerli.",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"[""Quando prendiamo il tempo di fermarci e ascoltare l'emozione/sentimento che sta nascendo, possiamo capire più facilmente cosa sta succedendo e come rispettare meglio le nostre esigenze e quelle degli altri.""]",,,[''],SENTENCE,32
70,3uT3ndXGDj59gnX6dAbqeG,EN,IT_L_CO_Test7_Q2 > SP_L_CO_Test7_Q#,"Durante un colloquio di critica, qual è il ruolo del collaboratore rispetto alle proposte di soluzioni possibili ? Scrivi una o due frasi per spiegare questo ruolo.",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"['Durante un colloquio di critica non ci si aspetta che il superiore dia consigli affrettati, ma piuttosto che i dipendenti facciano correzioni e proposte per soddisfare le richieste del superiore e per favorire il buon funzionamento del lavoro.']",,,[''],SENTENCE,27
71,8GPZN1lGAPI8RfOfUkzb4D,EN,IT_L_CO_Test7_Q5 > SP_L_CO_Test7_Q#,"Dai la risposta usando una o più parole chiave.Durante un colloquio critico che riguarda per esempio un comportamento scorretto o una prestazione inadeguata, in qualità di manager dovrò fare una critica. Affinché questa critica sia la più costruttiva possibile deve basarsi sugli aspetti importanti che l'emozione spesso distorce, facendo deviare il discorso nella soggettività.Di che cosa si tratta ?",,"{'id': 2145, 'name': 'IT_L_CO', 'description': '', 'displayedOnDashboard': False}",[],"['Per essere il più obiettivi possibile durante il colloquio è necessario basarsi su fatti concreti e non lasciarsi trasportare da interpretazioni ed emozioni, anche se il comportamento scorretto o la prestazione inadeguata vi irritano o sono intollerabili.']",,,[''],KEYWORD,59
72,8Gj4Zr3fpBM7TQwkeHNBYH,FR,FR_M_PM_Test2_Q1,Ecris en un mot la dernière action d'un processus de recrutement.,,"{'id': 5179, 'name': ""8. L'engagement des RH"", 'description': '', 'displayedOnDashboard': False}",[],['Une action souvent accompagnée du onboarding'],,,[''],KEYWORD,11
73,4NIwFObnrEe5XKpPQhQFA3,FR,FR_M_PM_Test3_Q1,"L'entreprise Algrifor possède une petite équipe marketing composée de deux collaboratrices, cependant, pour assurer sa nouvelle campagne, elle fait appel à une entreprise externe. Décris en quelques mots comment ce procédé s'appelle.",,"{'id': 5173, 'name': ""2. L'influence des objectifs organisationnels sur la GRH"", 'description': '', 'displayedOnDashboard': False}",[],[],,,[''],KEYWORD,32
74,2ArRXhy4xAR8zGWXuga5TZ,FR,FR_M_PM_Test4_Q5,Alexandra doit établir un profil de compétences pour le recrutement du. de la nouveau.elle responsable du service client.e de son entreprise. Quelle question peut-elle se poser pour décrire les tâches de ce poste? Trouve deux exemples de questions,,"{'id': 5179, 'name': ""8. L'engagement des RH"", 'description': '', 'displayedOnDashboard': False}",[],['Ce sont des questions transversales'],,,[''],SENTENCE,38
75,4VoSO0JOIYp6MP9SRWLpKG,FR,FR_M_PM_Test5_Q1,L'entreprise Algrifor souhaite à présent améliorer sa plateforme internet pour y permettre le recrutement électronique. Elle a pour cela fait appel à un programmateur professionnel. Donne un point important en quelques mots auquel il doit faire attention lors de l'élaboration du e-recruiting.,,"{'id': 5179, 'name': ""8. L'engagement des RH"", 'description': '', 'displayedOnDashboard': False}",[],['Quelle consigne donnerais-tu au programmateur pour avoir une plateforme réussie?'],,,[''],SENTENCE,42
76,abiMoPiAs3ha5KGv1JyvoK,FR,FR_M_PM_Test6_Q1,"Alexandra étudie un dossier de candidature qui semble bon, mais elle remarque qu'une période d'inactivité n'est pas justifiée, quel critère formel pour l'évaluation des dossier de candidature n'est pas respecté? Réponds en quelques mots",,"{'id': 5179, 'name': ""8. L'engagement des RH"", 'description': '', 'displayedOnDashboard': False}",[],"[""Il s'agit d'un trou dans le CV""]",,,[''],KEYWORD,34
77,a7OFvuR1unE6seTe0W3uRK,FR,FR_M_PM_Test8_Q1,Réponds par une phrase interrogative: quelle question qui ne concerne pas les objectifs peut être posée lors d'un entretien durant la période d'essai?,,"{'id': 5178, 'name': ""7. Planification de l'Onboarding"", 'description': '', 'displayedOnDashboard': False}",[],"[""Pense aux interactions interpersonnelle que la nouvelle recrue pourrait avoir eues durant sa prériode d'essa ou la façon dont sa nouvelle fonction se séroule.i""]",,,[''],SENTENCE,23
81,aAnF9NrX9ns6LH4mXUVSSV,FR,FR_M_PM_Test9_Q1,"Décris avec des mots-clé.Selon la théorie de l'ERG, quelle peut être la conséquence de l'introduction du télétravail pour quelqu'un qui a de forts besoins de contact?",,"{'id': 5182, 'name': '11. Les instruments de motivation et de rémunération', 'description': '', 'displayedOnDashboard': False}",[],"[""Une augmentation d'un besoin en particulier""]",,,[''],KEYWORD,26
82,2JFGZMGWg6cacqu7He1dzz,FR,FR_M_PM_Test10_Q1,Nomme en quelques mots-clé un facteur externe à l'entreprise exerçant une influence sur le salaire de l'employé.,,"{'id': 5182, 'name': '11. Les instruments de motivation et de rémunération', 'description': '', 'displayedOnDashboard': False}",[],['Il faut penser aux factuers externes qui peuvent influencer le salaire.'],,,[''],KEYWORD,17
84,2mcgR0OOJTajbme6a2tc9,EN,#4101 test language,"This task lives in playground tenant. Playground tenant has language ""english"".",,,[],[],,,[''],KEYWORD,11
85,21w5TkqNX5z6U04UqlBZPw,FR,FR_M_PM_Test12_Q1,A quoi dois-tu faire attention si tu décides de mener des entretiens d'évaluation constructifs ? Réponds avec des mots-clé pour chaque étape,,"{'id': 5183, 'name': '12. Les mesures pour le développement des collaborateurs.trices', 'description': '', 'displayedOnDashboard': False}",[],"[""Pense au avant, au pendant et à l'après""]",,,[''],KEYWORD,22
86,79eop2phMHM9cAqQz6vhT3,FR,FR_M_PM_Test13_Q1,"Tu as pour mission de mettre au point un nouveau projet de formation, comme un programme d'onboarsing pour les personnes nouvellement arrivées dans l'entreprise. Quelle est la première étape ? Réponds en mots-clé",,"{'id': 5183, 'name': '12. Les mesures pour le développement des collaborateurs.trices', 'description': '', 'displayedOnDashboard': False}",[],"[""Il s'agit d'un état des lieux""]",,,[''],SENTENCE,33
