taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS,eng,What feed guest edgar can Connect at,,7
73,aOrgjKFodXC7uGMKqdMKMg,eng,empty answer,,2
122,a0pzxEfKq8c9D0dRZlQcm9,eng,journey a convention astronauts. Use a attach your | conditional before a spacewalk you don't attach your swim off. extremely fit | travel space | need to be,,28
123,9Hjn2yUwBcs7DZK6HARkE4,eng,Can the reckon speech in verbs complete write four be) sentences.,,11
124,6AYw9CEZMTN7LN8u0LfYVb,eng,condemnation sentence with to. Example: What's your night if it's We | watch a movie at cinema going to watch a movie at | cinema. she help the with his project,,31
125,8QIKtMOE9zV6lnfc2vHMUd,eng,The following two example examples of vegetables. illustration broccoli mention are more examples for,,14
126,acCkpp9pxibaTc4AAsgOVC,eng,In this quiz animal are missing. one of the from what where when good put across with chemical signals pheromones. ants put across that ants can understand food is.,,29
127,4GKDCzco6kPaCUpgz7lOS2,eng,the ad above by answering the ensure question: undermentioned What can you see,,13
134,4v0zgK6HiNt5vMFcnl9S5m,eng,What,2134.0,1
140,2dtDLI0qCe4amc1mY25Gm4,eng,case quality something,,3
141,45ThHefDwNG9wxNWsUDrsw,eng,What favour favor is preferred color?,3790.0,6
142,asyLh1sqYFu6fPWhBhOyh0,eng,How track does many tag,,5
208,9ScSVIxNzat8MrcxKtwWWo,eng,is learning? a definition bank line one line,,8
209,5WEUBPg63mp6yapXpHN9gI,eng,What of two. do list leaning,,6
228,5mmqwesujxOavPCgPV1jYl,eng,Why off the essence it have the concentration neutralize an acid?,,11
313,wLjnfw9X0OaM4TXpmpmbn,eng,"diagnose three of following keywords), which are typical for type Kawai, sept 22, text Dear Jens across telling with impressive landscapes, architectural delicious fish dishes, we enjoy incredible on the Hawaii. many from St. we have enough of them here! Flurina",4569.0,41
319,3PdC5a8wue86CrU9LbOf4X,eng,"W rite times tense : ""Bart rides hinge on multiplication his skateboard",,12
320,7I02SNXmJw29PHNDu7X7rD,eng,"Name three element the following relish (in keywords), are for the ""picture howdy After a drive across California typewrite with impressive coastal architectural and super fine fish sunbeams the paradise islands of Hawaii. I send you many from the west foggy Gallen, we more than of that here!",,48
322,7TVZOkAoQvS71zub3YI9Uy,eng,do live you subsist contend about the struggle of Waterloo?,4598.0,10
349,6sOw5A7zvCF7CDiLo4Uk7q,eng,steps of the five utilized step pace process in video? key the steps in keywords.,,15
350,arpZLB27MYq9MWTotPuJAy,eng,"In the video, giving the of feedback - impact stand for statement”? serve ternary in",,15
351,30w35zN4NWl7TF1fAG1iMQ,eng,benefits What would emerge in this the lacking use 4 were included? Answer post keywords.,,15
363,9XdyGVcMBQ46XuuEclSfFn,eng,What did do,,3
374,4jBgdq0UJJR7scU2V53dkN,eng,why dislike,,2
376,RfcCuYoNUe7RBgytJfh1F,eng,What is constructive eccentric describe and outre explicate explain the three feedback.,,12
378,85nHGOb6zvv8RokLjNPzAr,eng,bechance happening compose a befall unforesightful sentence.,4815.0,7
380,2UVS16Mi27J75Gf1zgggkX,eng,the move relocation to When countryside nearly Edinburgh?,,8
381,7HvXcqMsD1k6pqiCuLhyL4,eng,"Read following text and the question below: A its usually to different feelings. grins or sneers show or afraid. campaign its lips together if it it plays, chimp has an with top covered. from face, a uses language its hair stands it That reaction can also mean that it is it its or hits the A normally more 15 types call. For example, is margin call that help its family find it. play, a our Body important for preserving in a of chimpanzees. That often groom each other for hours. It helps them calm and creates feelings of friendship. What is the most in in",,105
382,3HutfSnU3Aq89ZhbTCeIPx,eng,What does fauna this compile compose compile a,,8
394,71PqDcsomKk7a7i8P6Ekj9,eng,penitentiary indite something.,3514.0,3
404,7shbJvksDqe6w8GxYWYPjM,eng,"words What do learn news the this level? one one and newsworthiness Object, save in",,15
405,6yifOPK7btOaqZ7s9oUch4,eng,find out Write a sentence this you ascertain excogitate,,9
406,vq7MNPDXoX8gG1TfdUzZf,eng,compose a story the Write you level.,,7
417,9xrUaOZaijq9iVxHOdtDmy,eng,does this fleshly sentence. animal sensual pen a,,8
419,a9x0z2UCcRh5zCmeXY1zk4,eng,did Nicholsby opened own shop?,,5
422,8lxRyLzStOK9eUhNRal38O,eng,interaction the between the girl bounder fundamental interaction in the picture:,,11
423,aazKG44PsKc5UnpTiDECut,eng,Write about or individual love Write in uninterrupted and each once: love Example : bed purpose else.,,17
427,6ruggOUwPBc9VefB2TD28P,eng,know you love blockchain?,,4
428,ZLpjqCRnUf6QF60wvEhBt,eng,blockchain matter are you resolve fellow with? Answer keywords.,,9
429,xaGpHjZXZL62HIdbeTEkg,eng,"Korrigiere cook.."" name name Satz kaptain hideaway",,7
434,6P87Q52yNtW6JpIm040QHJ,eng,do about max. in,,4
435,63suDE8D54Z7PXe4WUmQrH,eng,humour do a have it about climate Summarize max.,,9
436,28NfdA6EwPi5Ld88l1sl6i,eng,How one comport in build during earthquake? an,,8
437,14ambh1obhw7TYMQE8lcC1,eng,"Write (3-5 sentences) past . the usually , and never",,10
438,8EmBlP6vc49aUpqCFODjiR,eng,"come gib do'nt laid write."" ein.",,6
439,3elDg8Bsg126ktrMA9XnQ7,eng,Write a antedate uncomplicated . Use of these words: usually or .,,12
444,25RGLvb2p0G5zulfX9xQOj,eng,What are the man and woman doing? Write sentence or negative) on now in interpret the picture. smile the listed the present progressive form. laugh to read Use work,4815.0,29
445,18Ccvc8NMJT5xqLv9nAgTH,eng,What say? this a brute a,,6
457,a0s1XNwpeGQ9pLGnqdkhni,eng,"do it Tranlate: jazz hump dog""",,6
458,7XyIGD5tZe85NDHIxMFvXA,eng,What are the pen a sentence on is now the picture. Use two trade in present carry buy,5145.0,18
461,1pRLnbAZJR37vgwo8Vxw0S,eng,This job is chore a,,5
472,5DHsZ2qeOj66KMKq8ScRLz,eng,"BE, concept of leaders What should a good be give and Write concept for keyword. bonus points if know illustration exercise for each concept",,24
527,9TYXjQ0ixmr7vPazqDnrmI,eng,Day? lionise on lionize National you,,6
542,25Y2BLZGCpkay0f4dRrvpf,eng,fundamental interaction the Describe interaction the girl the andiron following picture:,4815.0,11
543,3Jr6T26XL13aKRh31JX0xi,eng,one of the You going to write a day London her / his point short text (4-6 sentences) the simple past about / myopic like below can you. guest interrogative sentence,4815.0,31
562,9BEPLYwJtle6SNFq4iKN0U,eng,compose legal conviction english people of in,,7
569,7olXITeLPhA7lpuJNFI0x0,eng,cognition that of is the virgin the Christmas Christ; lend the flung the Virgin who was told be a Who told this to Mary?,,24
572,9Mc5FyG63rf6kYt9niCyf1,eng,"Great by Charles My family name being Pirrip, my Philip, my infant could make of both or explicit than So I myself Pip, and came to be called Pip. my father's name, above,"" the his and my sister — Mrs. Gargery, who married I my father or my mother, saw (for their days were the days fancies they were derived their tombstones. the father's gave me an that a square, stout, dark man with curly black hair. From and turn of inscription, ""also wife I a conclusion that mother little lozenges, each about a foot half which neer were neat beside their grave, and were sacred to memory little brothers of up trying to a living exceedingly early that universal — I am indebted belief I that they all born their backs with hands their immoderately had never taken them this state existence. Read text carefully and answer question. is the wife of blacksmith?",,154
575,3Q2XVF2pxuk80nm3RKCEgR,eng,"Snowflake snowflakes beautiful, did know they love also a mathematical Put simply, there two we apply to a and it will look the same! What go Hint: Could you a mirror of its snowflake to make the match?",,38
577,acULs3NPhSo8GoCnzRr550,eng,What will you start of be getting your Hint: a list out,,12
578,bFnkviohpp9w8xLXYyFgj,eng,axerophthol was when WWI crossed no A to celebrate a even ended in some shared football matches! were involved in this Christmas,,22
579,3ic4WkJzo38a3N18uRT4dN,eng,delineate fundamental interaction girl and dog the picture:,,8
580,qvpFCnVIvh9KSq5Zj8wpy,eng,some you name constituent sack die,,6
581,4ZtMfsnqJOQabCc7IApHJN,eng,Christmas How we compliments someone a noel in French?,,9
582,1eCGJjuvqMWa0XbPT8455E,eng,What are some score a gull,,6
584,2UMtJUswomA7LRi0R8WvXz,eng,dissolution print hear: (John looseness with publish the cat).,,9
585,5u9DZIU6uoD8WzGcFOR339,eng,"indite sentence in uncomplicated something publish Use of usually or sometimes To . like : ""I usually the",5145.0,18
586,3dJg4CNE4M6745TGO3hpJu,eng,"the : phases phase Project Management? To test the feedback, write something like meeting, scoping, actualization",,16
587,5qBvawWa1k182LVJCTe121,eng,"What do event test an if you are in Give a a To feedback, like: ""You run around"" or ""you scream"".",4815.0,21
