taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_BT,DE,"Ich werde nicht lügen, ich werde nicht lügen, ich werde nicht lügen, ich werde nicht lügen, ich werde nicht lügen, ich werde nicht lügen, ich werde nicht lügen.",,28
719,2T3rZTRBlAv94jV8YNcbgq_BT,DE,"Schreiben Sie an eine Zeitung Schreiben Sie der Zeitung eine Antwort auf diesen Artikel (ca. 180 Wörter). Sagen Sie - warum schreiben Sie - ob Schüler in Ihrem Heimatland eine Schuluniform tragen - welche Vor- oder Nachteile haben Ihrer Meinung nach das Tragen einer Schuluniform? Anmerkung: Schulkleidung statt Markenwahn Schüler in Uniform? Der bayerische Ministerpräsident, der Bundesminister für Bildung und die Bundesjustizministerin sprachen sich für die Schuluniform aus. Gestern sagte die Kultusministerin, dass das Tragen einer Schuluniform zu begrüßen sei, wenn einheitliche Schulkleidung zur Identifikation mit der Schule beitrage und ein Symbol für eine Gemeinschaft aller Schüler sei. ""Wenn Schulkleidung auch dem weit verbreiteten Markenwahn entgegenwirkt, desto besser"".",,108
720,2z7BrRib1zJ6KE4gVWmz6U_BT,DE,"Bericht Sie haben eine Radiosendung zum Thema Ehe in Deutschland gehört. Am Ende der Sendung wurden Hörer aus anderen Ländern gebeten, einen kurzen Bericht zum Thema Ehe in meinem Heimatland zu schreiben und an den Sender zu schicken. In der nächsten Sendung wird über die interessanteste Korrespondenz berichtet. Schreiben Sie einen Bericht zum Thema (ca. 200 Wörter).",,57
740,a0s1XNwpeGQ9pLGnqdkhni_BT,DE,Transkript zu 'Ich liebe meinen Hund',,6
762,5XfzyS7dJ487uL4NZfz8fZ_BT,DE,Fügen Sie mindestens zwei weitere Stakeholder hinzu.,,7
765,8LIIlBLXmue7RO4U5ou7gb_BT,DE,Fassen Sie diese Verpflichtungen in einem Satz auf der Grundlage der Grafik zusammen.,4576.0,13
766,26pzeDwUv0t8MVuLVj5JmB_BT,DE,"Es kann vorkommen, dass eine Partei die andere vorsätzlich täuscht - entweder durch falsche Angaben über den Kaufgegenstand, zum Beispiel, oder durch Verschleierung wesentlicher Informationen. In diesem Fall kann die betrogene Partei vom Vertrag zurücktreten. Summieren Sie diese Regel so kurz wie möglich mit einem Wenn-dann-Satz:",4576.0,46
809,8DqIXljQuGe9xQIEqI7WFp_BT,DE,"Kawai, 22.09.2018 Hallo Jens Nach einer Reise durch Kalifornien mit beeindruckenden Küstenlandschaften, architektonischen Highlights und superfeinen Fischgerichten genießen wir jetzt die unglaubliche Natur auf den paradiesischen Inseln Hawaii. Ich schicke euch viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,48
825,1aFSUitL2a75WVYA7sYmbV_BT,DE,"Alexandra muss ein Kompetenzprofil für die Rekrutierung des neuen Kundenbetreuers in ihrem Unternehmen erstellen. Welche Frage könnte sie sich stellen, um die Aufgaben dieser Position zu beschreiben? Hier zwei Beispiele für solche Fragen.",5195.0,33
826,1vX3fcgVtpy9k6WSWsiwVY_BT,DE,"Ihre Aufgabe ist es, ein neues Projekt zu entwickeln, z. B. ein Onboarding-Programm für Menschen, die neu im Unternehmen sind. Was ist der erste Schritt? Antworten in Stichworten.",5199.0,28
827,1Yw06EpFLlx8w5vSpuyw7z_BT,DE,"Nennen Sie drei Gesetze, die bei der Abfassung eines Arbeitsvertrages zu beachten sind.",5193.0,13
828,3ijyNlG3msT8hVz0AagklM_BT,DE,"Beantworten Sie die Frage kurz und bündig: Welche Maßnahmen sollten ergriffen werden, um das komplexe Thema der Rechte bei Streitigkeiten anzugehen?",5197.0,21
829,3Lhb5g6fDr86NzURJcyyDz_BT,DE,Nennen Sie ein Tätigkeitsfeld der Personalabteilung mit ein paar Stichwörtern?,5188.0,10
830,4ASVotj6O8TaDrfNW86wN8_BT,DE,"Nach der ERG-Theorie, was könnte die Einführung eines Home Office für jemanden mit starkem Kontaktbedarf bedeuten?",5198.0,16
831,4wgx29MQGCG7nsLZGOLVkb_BT,DE,"Um elektronische Rekrutierung zu ermöglichen, will das Unternehmen Algrifor seine Internetplattform verbessern und hat dafür einen professionellen Programmierer engagiert. Nennen Sie einen wichtigen Punkt, den es bei der Konzeption von E-Recruiting zu beachten gilt.",5195.0,34
832,5qXSNUFhNmN5VidLfA9m4w_BT,DE,"Alexandra betrachtet ein Dossier, das ihr sehr gut gefällt, und stellt dann fest, dass eine Phase der Inaktivität nicht erklärt wird. Welche formalen Kriterien für die Bewertung von Bewerbungsdossiers sind nicht erfüllt? Beantworten Sie diese Frage in ein paar Stichworten.",5195.0,40
833,5X9l77w0fZN6MyxYnD3KVB_BT,DE,Stichwort: Erwähnen Sie eine Nebenverpflichtung des / der Arbeitnehmer (s).,5197.0,10
834,6E4bDMNlDGW9xdMQL87atr_BT,DE,"Geben Sie Ihre Antwort in einem Satz: Alexandra ist Personalmanagerin in einem Unternehmen, das ursprünglich familiengeführt war, aber weiter wächst. Aufgaben wie die Gehaltsabrechnung nehmen immer mehr Zeit in Anspruch. Was würden Sie ihr raten?",5191.0,35
