taskId,description,language,context,tenant_name,word_count
3692,7hvRQmyfUMS71XyLOtJdRY,This is a reference Task,DE,,Open Questions PoC,5
960,2VX1HHa4SZp9Cs6Suof4ho,Beschreibe den Hund im Bild.,DE,,other_tenant,5
926,1xgHkdji4n27IrsqwdFmhp,"""А"" - перша літера абетки.",DE,,task-pool-smartest,5
2704,2U6hRpolI4D7j1nzJMeWRZ,Nenne die Bestandteile eines Hebels.,DE,"  Die Wippe ist ein Hebel Fast auf jedem Spielplatz befindet sich eine Wippe. Kinder sitzen an je einem Ende der Wippe und können miteinander schaukeln. Physikalisch betrachtet ist eine Wippe ein Hebel . Jeder Hebel hat einen Drehpunkt . Alle Griffe oder Stangen, die drehbar gelagert sind, bezeichnet man als Hebel. Bei der Wippe gibt es links und rechts vom Drehpunkt einen Hebelarm . Die Wippe bezeichnet man deshalb als zweiseitigen Hebel .   Der Hebel als Kraftwandler Auf einer Wippe hast du bestimmt schon beobachtet, dass ein kleines Mädchen einen großen Jungen anheben kann. Wie funktioniert das? Mit ihrem Gewicht üben die Kinder auf der Wippe eine Kraft nach unten aus. Das kleinere und leichtere Mädchen übt mit ihrem Körpergewicht weniger Kraft aus als der große Junge. Sie sitzt aber weiter vom Drehpunkt weg. Deshalb kann das Mädchen den großen Jungen anheben. Hebel können also Kräfte verändern. Man sagt deshalb auch: Hebel sind Kraftwandler . Am Beispiel des kleinen Mädchens erkennst du: Mit einem Hebel kann Kraft gespart werden. Je länger ein Hebelarm wird, desto kleiner wird der Kraftaufwand .   Kraftaufwand der Kraftaufwand: die Kraft, die benötigt wird   Eine harte Nuss ist zu knacken Willst du eine Nuss zerdrücken, reicht deine Muskelkraft alleine nicht aus. Du brauchst ein geeignetes Werkzeug dazu. Am besten eignet sich ein Nussknacker mit langem Griff. Beim Nussknacker befindet sich der Drehpunkt ganz am Ende des Hebels. Es gibt einen kurzen und einen langen Hebelarm beim Nussknacker. Den langen Hebelarm nutzt du zum Zudrücken.   Der einseitige Hebel Befinden sich die beiden Hebelarme auf derselben Seite vom Drehpunkt, so spricht man von einem einseitigen Hebel . Beispiele für einen einseitigen Hebel sind der Nussknacker und die Schubkarre:   Anwendung von Hebeln Bei vielen Werkzeugen wird die Kraftwandlung von Hebeln ausgenutzt. Die Astschere und der Schraubenschlüssel sind Beispiele für Werkzeuge mit Hebeln. Durch eine Verlängerung des Griffs wird der Kraftaufwand für den Handwerker kleiner.   Merke: Ein Hebel besteht aus einem Drehpunkt und zwei Hebelarmen. Es gibt einseitige und zweiseitige Hebel. Mit einem Hebel kann Kraft gespart werden. Je länger ein Hebelarm wird, desto kleiner wird der Kraftaufwand. ",EKV_Physik,5
925,67O6lTzBuHz7WIvFT9QIZJ,"""А"" - перша літера абетки.",DE,,task-pool-smartest,5
740,a0s1XNwpeGQ9pLGnqdkhni,"Tranlate: ""I love my dog""",DE,,other_tenant,5
2715,5qqeLrk3QHP9jYoc6E6XoO,Erläutere den Begriff „elektrischer Widerstand“.,DE,"  Widerstand gegen den Strom In jedem Metall-Draht gibt es freie Elektronen, die sich ungeordnet im Draht bewegen (oberer Teil der Grafik). Wird der Draht an eine Spannungsquelle angeschlossen, werden die freien Elektronen durch den Draht zum Pluspol getrieben (unterer Teil der Grafik). Die Elektronen stoßen dabei immer wieder mit den Atomen im Draht zusammen. Dadurch werden die Elektronen in ihrer Bewegung eingeschränkt. Je mehr Zusammenstöße stattfinden, desto geringer wird der Elektronenstrom. Durch die Zusammenstöße beginnen die Atome heftiger zu schwingen. Nach außen hin macht sich dies durch eine Erwärmung des Drahts bemerkbar. Nicht nur Metall-Drähte, sondern alle elektrischen Bauteile schränken den elektrischen Strom ein. Diese Eigenschaft wird elektrischer Widerstand genannt.   Spannung und Widerstand Die Stärke des Stroms in einem Stromkreis hängt von der Spannung und dem elektrischen Widerstand der Bauteile ab: Die Spannung treibt die Elektronen an. Der elektrische Strom wird jedoch durch den Widerstand der Bauteile eingeschränkt. Bei gleicher Spannung gilt: Je größer der Widerstand eines Bauteils ist, desto kleiner ist die elektrische Stromstärke.   Berechnung des Widerstands Den Widerstand eines elektrischen Bauteils kannst du berechnen. Dazu dividierst du die Spannung durch die Stromstärke. Elektrischer Widerstand= Spannung Stromstärke R = U I Der elektrische Widerstand hat das Formelzeichen R und die Einheit Ohm . Sie wurde nach dem Physiker Georg Simon Ohm (1789 – 1854) benannt. Die Einheit Ohm wird mit dem griechischen Buchstaben Ω (Omega) abgekürzt. Größere Widerstände werden in kΩ (Kiloohm) oder MΩ (Megaohm) angegeben. 1 Ohm = 1 Volt 1 Ampere 1 M Ω = 1000 k Ω 1 k Ω = 1000 Ω   dividieren dividieren: eine Größe durch eine andere Größe teilen   Beispiel: Berechnung des elektrischen Widerstands An diesem Beispiel kannst du sehen, wie der elektrische Widerstand berechnet wird: Gegeben: U = 6 , 2 V ; I = 300 mA = 0 , 3 A Gesucht: R Rechnung: R = U I R = 6 , 2 V 0 , 3 A R = 20 , 7 V A R = 20 , 7 Ω Bei der Spannung von 6 , 2 V hat das Lämpchen einen Widerstand von 20 , 7 Ω .   Merke: Jeder Leiter und jedes elektrische Gerät schränken den elektrischen Strom ein. Diese Eigenschaft wird als elektrischer Widerstand bezeichnet. Die Größe des Widerstands wird mit dieser Formel berechnet: R = U I Formelzeichen: R Einheit: Ohm(Ω) ",EKV_Physik,5
928,aANiFOmnISr6tHKrt45EPg,"""А"" - перша літера абетки.",DE,,task-pool-smartest,5
963,7Xx3NrODBh69k4BwlIa1jb,Beschreiben Sie die folgende Grafik:,DE,,Getmorebrain PoC,5
1135,vO9lrQFWnd6rddJnOBDkJ,Ergänze im Passiv Präsens.packen: Die Koffer,DE,,Cornelsen DE,6
1375,XZZNGpJJoP9NfrRPSfR8w,"Translate ""He loves me"" to german:",DE,,api-trial-leonore.guillain-at-gmail.com,6
1374,4zcsaIGJPKc5XQ9cX2N0vo,"Translate ""He loves me"" to german",DE,,api-trial-leonore.guillain-at-gmail.com,6
1368,nqu0vtfgjH8ly72XMcGSF,When was the battle of Waterloo?,DE,,Cornelsen EN,6
762,5XfzyS7dJ487uL4NZfz8fZ,Ergänzen Sie mindestens zwei weitere Anspruchsgruppen.,DE,,iterativ-sandbox,6
1379,6tKWn39JVqC6nMBv9vQoGD,"Translate ""He loves me"" to german:",DE,,api-trial-leonore.guillain-at-gmail.com,6
1378,9fRq8FcU04z6cylMYhxZpp,"Translate ""He loves me"" to german:",DE,,api-trial-leonore.guillain-at-gmail.com,6
839,7xH7JyWDbZU6Ofct6alsxs,Nenne einen aktiven Faktor des Arbeitsmarktes.,DE,,connectsolutions_de,6
