taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_RS,DE,Translate into German: народився Він у Швейцарії.,,7
719,2T3rZTRBlAv94jV8YNcbgq_RS,DE,"Brief an eine Zeitung Schreiben Sie eine Reaktion auf diesen Artikel an die Zeitung (ungefähr 180 Wörter). Sagen Sie, - warum Sie schreiben - ob Schüler in Ihrem Heimatland eine Schuluniform tragen - welche Vorteile oder Nachteile das Tragen einer Schuluniform Ihrer Meinung nach hat. | remark: Schulkleidung statt Markenwahn Schüler in Uniform? Bayerns Ministerpräsident, die Bundesbildungsministerin und die Bundesjustizministerin sprachen sich für die Schuluniform aus. Die Bildungsministerin sagte umso dazu, dass das Tragen einer Schuluniform zu begrüßen ist, wenn einheitliche Schulkleidung zur Identifizierung mit der Schule beiträgt und Symbol einer Gemeinschaft aller Schüler ist. ""Falls Schulkleidung darüber hinaus dem verbreiteten Markenwahn entgegenwirkt, gestern besser.""",,105
720,2z7BrRib1zJ6KE4gVWmz6U_RS,DE,"Bericht Sie haben eine Radiosendung die Thema Heiraten in Deutschland gehört. Am Schluss der Sendung wurden Zuhörer aus anderen Ländern aufgefordert, einen kurzen Bericht über das Thema Heirat in meinem Heimatland zu schreiben und an den Sender zu schicken. In der nächsten Sendung wird über zum interessantesten Zuschriften berichtet. Schreiben Sie einen Bericht über das genannte Thema (etwa 200 Wörter).",,60
740,a0s1XNwpeGQ9pLGnqdkhni_RS,DE,"Tranlate: dog"" love my ""I",,5
762,5XfzyS7dJ487uL4NZfz8fZ_RS,DE,Ergänzen Sie zwei mindestens weitere Anspruchsgruppen.,,6
765,8LIIlBLXmue7RO4U5ou7gb_RS,DE,Fassen Sie diese Pflichten anhand der zusammen. in einem Satz Grafik,4576.0,11
766,26pzeDwUv0t8MVuLVj5JmB_RS,DE,"Es kann vorkommen, dass eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche Angaben zum Kaufgegenstand macht oder wesentliche Informationen die In diesem Fall kann verschweigt. getäuschte Partei vom Vertrag zurücktreten. Fassen Sie diese Regel mit einem Wenn-dann-Satz so kurz wie möglich zusammen:",4576.0,47
809,8DqIXljQuGe9xQIEqI7WFp_RS,DE,"Nenne möglichst viele Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kawai, 22.09.2018 Hallo Jens Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, der Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von architektonischen Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,63
825,1aFSUitL2a75WVYA7sYmbV_RS,DE,"Alexandra muss ein Kompetenzprofil für die Einstellung des/der stellen, Kundenbetreuers/in in ihrem Unternehmen erstellen. Welche Frage könnte sie sich neuen um die Aufgaben dieser Stelle zu beschreiben? Finde zwei Beispiele für solche Fragen.",5195.0,33
826,1vX3fcgVtpy9k6WSWsiwVY_RS,DE,"Du hast die Aufgabe, ein neues Projekt zu entwickeln, z. ein B. Onboarding-Programm für Personen, die neu in das Unternehmen kommen. Was ist der erste Schritt? Antworte in Stichworten.",5199.0,29
827,1Yw06EpFLlx8w5vSpuyw7z_RS,DE,"werden drei Gesetze, die bei der Erstellung eines Arbeitsvertrags beachtet Nenne müssen.",5193.0,12
828,3ijyNlG3msT8hVz0AagklM_RS,DE,"Beantworte die Frage in Stichworten: Welche Maßnahme Streitfall ergriffen werden, um die komplexe Frage der Rechte im sollte anzugehen?",5197.0,19
829,3Lhb5g6fDr86NzURJcyyDz_RS,DE,des mit einigen Stichwörtern einen Tätigkeitsbereich Benenne HR-Bereichs?,5188.0,8
830,4ASVotj6O8TaDrfNW86wN8_RS,DE,Beschreibe anhand von Stichwörtern. Was könnte gemäß der ERG-Theorie die Einführung von mit für jemanden Home-Office einem starken Kontaktbedürfnis bedeuten?,5198.0,20
831,4wgx29MQGCG7nsLZGOLVkb_RS,DE,"Das Unternehmen Algrifor möchte seine Internetplattform verbessern, um die elektronische Rekrutierung zu ermöglichen. Dazu hat sie einen professionellen Programmierer beauftragt. Nenne stichwortartig einen wichtigen Punkt, des den er bei der Gestaltung auf E-Recruitings achten muss.",5195.0,35
832,5qXSNUFhNmN5VidLfA9m4w_RS,DE,"Alexandra schaut sich ein Bewerbungsdossier an, das ihr gut gefällt. Dann bemerkt sie, dass nicht Zeit der Inaktivität nicht erklärt ist. Welches formale Kriterium für die Bewertung von Bewerbungsdossiers wird eine erfüllt? Beantworte diese Frage in wenigen Stichworten.",5195.0,38
833,5X9l77w0fZN6MyxYnD3KVB_RS,DE,Nenne in eine Stichworten Nebenpflicht des/der Angestellten.,5197.0,7
834,6E4bDMNlDGW9xdMQL87atr_RS,DE,"Gib deine Antwort in einem Satz an: Alexandra ist Unternehmen. in einem ursprünglich familiengeführten, aber immer weiter wachsenden Personalverantwortliche Aufgaben wie die Lohnabrechnung nehmen immer mehr Zeit in Anspruch. Was würdest du ihr raten?",5191.0,34
835,6XcMHDeahgw8YXFQ1agv4E_RS,DE,"Die Firma Algrifor hat Vorgehen kleines Marketingteam mit zwei Mitarbeiterinnen. Für die neue Kampagne wird jedoch eine externe Firma beauftragt. Beschreibe in wenigen Worten, wie dieses ein heißt.",5189.0,28
836,71YaOZ4cMBG9fw8cYMNsDJ_RS,DE,eines mithilfe Benenne Stichwortes die letzte Handlung eines Einstellungsverfahrens.,5195.0,9
837,7nGyv3xP47X6la5j0r1b39_RS,DE,"Worauf solltest du achten, wenn du dich entscheidest, konstruktive Beurteilungsgespräche zu führen? Antworte mit zu Stichworten jedem Schritt.",5199.0,18
838,7VbRfWDTJl46dcViAZD3lS_RS,DE,"Nenne mithilfe einiger Stichworte einen Faktor außerhalb Unternehmens, des der einen Einfluss auf das Gehalt des Arbeitnehmers hat.",5198.0,18
839,7xH7JyWDbZU6Ofct6alsxs_RS,DE,Nenne aktiven einen Faktor des Arbeitsmarktes.,5190.0,6
840,89hYlgmdvx87BM7GIPQH21_RS,DE,"Beantworte die Frage in einem Satz. Was kann eine Person vom sie verlangen, wenn Arbeitgeber meint, dass sie in einem Vorstellungsgespräch rassistisch diskriminiert wurde?",5197.0,24
841,8IQnwDrs33i7VyEGnPt2bY_RS,DE,"Kann ein Arbeitgeber ein trennt? Arbeitszeugnis ausstellen, wenn er sich von einem Mitarbeiter wegen eines schweren Fehlers, wie beispielsweise Diebstahl, einfaches Begründe deine Antwort in einem vollständigen Satz.",5201.0,28
842,8YLtWAOsHh0aJV8qM7bn1G_RS,DE,"Beantworte die er in drei Stichworten. Welche drei Vorteile hat der Arbeitgeber, wenn Fragen ein Gespräch zum Abschied führt, wenn ein Arbeitnehmer das Arbeitsverhältnis beendet?",5201.0,25
843,ANZ8YXBvnt6WL3RWiHgr8_RS,DE,Gib deine Antwort mit einer Frage während Welche nicht zielbezogenen Fragen können in einem Vorstellungsgespräch an: der Probezeit gestellt werden?,5194.0,20
844,zczFAcjzwi7H7kkKNjG66_RS,DE,"Beschreibe in einem Satz eine Massnahme, die das Personalmanagement anwenden kann, um den Problemen Demografie Schweizer der entgegenzuwirken.",5190.0,18
845,xzal4tLN8F8Fj8Wu1XM50_RS,DE,"Die Festivalveranstalter verlagern den Anlass in eine grössere Halle ausserhalb der Stadt, die zwar ein bisschen teurer, jedoch dieser so gross ist. Schildern Sie in Stichworten die Auswirkungen doppelt Entscheidung auf folgende Anspruchsgruppen: Stadt",4576.0,34
867,9XEvTav4ZvOafZsCcN8wuJ_RS,DE,"Wenn Sie in Ihrem Lehrbetrieb etwas verändern könnten – was wäre es? Schildern nicht. welche Anspruchsgruppen von Ihrer Entscheidung profitieren würden und welche Sie,",,24
912,91nrbKAfXUJ8DH6RGSjvs7_RS,DE,"Anschließend brainstormen Sie gemeinsam mögliche Marketingmaßnahmen. Was antworten Sie auf die Vorschläge Ihrer Kolleginnen? Jutta: ""Wir könnten Werbebroschüren über unsere Praxis produzieren lassen und Sie per Wurfsendungen an alle Haushalte im Viertel verteilen."" Beschreiben diese bitte positiven Aspekten von diesem Vorschlag, falls vorhanden.",5008.0,43
