taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT_BT,deu,Nennen Sie fünf Argumente für die ZHAW.,,7
1,5CjgnkyFrAd7kfW2wvuKYi_BT,deu,"Ersetzen Sie die markante malerische Wendung durch einen synonymen Ausdruck: Da Tonio seine Zeit zu Hause verschwendete, langsam und abgeneigt in seinem Unterricht war und von den Lehrern schlecht geschrieben wurde, fielen seine Noten zu Boden, was seinen Vater, einen Kaufmann aus Bremen, verärgerte. Die Zeugnisse waren jedoch für Tonios Mutter, die mit Vornamen Consuelo hieß und sich von den anderen Damen der Stadt so unterschied, weil ihr Vater sie einst vom Boden der Landkarte geholt hatte, alle gleich... Thomas Mann: Tonio Kröger (leicht verändert)",1.0,85
2,5y3f8WN1u7F8mwHyB3GjBu_BT,deu,"Ersetzen Sie den fetten Aufdruck durch ein Synonym: ""Die Rechnung endete mit einem Mangel"".",2027.0,14
3,5dTVecGZaDU6jyi0XnmgjT_BT,deu,Beschreiben Sie den Handlungsbereich Mediate kurz und prägnant.,125.0,8
4,5lDlwn820256bn1UCaZssm_BT,deu,Was sind die Kernbotschaften des J + S-Ausbildungsverständnisses? Antworten sind Schlüsselwörter.,125.0,11
5,6kpL6UTvol49HRuBCYD8j0_BT,deu,"Fallvignette Karl-Heinz, 17 Jahre alt, lebt mit seinen Eltern in einer grösseren Stadt in der Schweiz. Er ist im zweiten Lehrjahr als Maler. An der Berufsschule ist er beliebt, am Arbeitsplatz wird er als fleißiger Lehrling geschätzt. Karl-Heinz wurde mehrmals beim Trinken von der Polizei erwischt. Eine richterliche Anordnung verpflichtet ihn nun zu einem Kurs der städtischen Suchtpräventionsstelle. Thema dort ist die Reduzierung oder Einstellung des Cannabiskonsums. Der Kurs wird im Alleingang abgeschlossen.Ausgangspunkt: Karl-Heinz erscheint pünktlich zum ersten Termin. Herr Konsilio, der Kursleiter, informiert ihn über den Kurs. Karl-Heinz hört aufmerksam zu. Dann schließt er ab: ""Das ist alles interessant, hat aber nichts mit mir zu tun. Ich weiß nicht, warum ich mit dem Trinken aufhören soll. Ich kiffe nur abends und am Wochenende. Ich habe gute Zeugnisse, in der Schule und bei der Arbeit. Ich werde meine Pflichtstunden mit Ihnen ablegen. Mehr aber nicht"". Frage an der Karl-Heinz-Bühne?",2079.0,149
7,1b7GzQQyL5UaVKAMCOlFTc_BT,deu,Nennen Sie die drei Hauptaufgaben des Kundenbeziehungsmanagements:,,7
8,4w9GhyqYclU6DR2ECZdxo4_BT,deu,Was sind die 7p?,,4
9,6HKSLRqNL3U5Mhmrj8eafJ_BT,deu,"Diversifizierung findet in einem neuen Markt mit einem neuen Produkt statt, was ist das Gegenteil von Diversifizierung in einem bestehenden Markt mit einem bestehenden Produkt?",,25
10,4PCAf43F0vz8Cai9f8VIKl_BT,deu,Die Schritte der Positionsanalyse aufzählen,,5
11,xfaIMOkIco60F2NvVBLiO_BT,deu,Definieren Sie den Begriff Break-even point in kurzen Sätzen.,3261.0,9
12,4Mg9yzLtSfm7bFud4CGYn2_BT,deu,"Er arbeitet im Büro eines Sportartikelversands. Familie: Seine Frau Susanne (41) arbeitet in Teilzeit als Servicekraft in der Cafeteria eines Alten- und Pflegeheims. Das Ehepaar Kunz ist Eltern von Max (16), Tom (15) und Lea (12). Alle drei Kinder gehen noch zur Schule. Verhalten im Alltag: Herr Kunz fährt mit dem Auto zur Arbeit. Im Firmengebäude nutzt er den Aufzug in sein Büro im dritten Stock. Ist der Aufzug in Betrieb, geht ihm nach jedem Treppenschritt die Puste aus und er muss pausieren. Seine geringe Ausdauer stört ihn nicht mehr. Vor 20 Jahren spielte er für Sie Fußball in der zweiten Liga. Seit er die Mannschaft verlassen hat, treibt er keinen Sport mehr. Wissen: Herr Kunz kann die Risiken des Bewegungsmangels aufzählen. An seinem Arbeitsplatz liest er in der Anzeige für Sportartikel von den positiven Folgen regelmäßiger körperlicher Betätigung. Er sollte nicht umziehen. Ausgangsposition: Herr Kunz war zumindest nach dieser Woche an schwerer Diabetes erkrankt.",2079.0,155
13,3x1MfA2egc2aDydR7uUsp6_BT,deu,"Bea fotografiert in ihrer Freizeit Tiere und veröffentlicht die Fotos auf ihrer Homepage. Was muss Bea tun, um sicherzustellen, dass ihre Fotos urheberrechtlich geschützt sind? Erläutern Sie Ihre Antwort.",3195.0,29
14,3boh9riWbYw5vj5P3G0lJD_BT,deu,"Bea ist begeistert von den Aufsätzen ihrer Schüler. Stolz stellt sie die besten Arbeiten ohne Namensnennung auf ihre Homepage. Da die Veröffentlichung anonym ist, fragt sie weder die betroffenen Kinder noch ihre Eltern. Richter Beas Vorgehen aus rechtlicher Sicht.",3195.0,39
15,anujPX52fQR6x3248F2rHV_BT,deu,"Rolf findet im Internet ein Bild, das mit dem oben genannten Creative Commons-Label gekennzeichnet ist. Unter welchen drei Bedingungen darf er das Bild weiter verwenden?",3466.0,25
16,837aEbasa688e557uvxTar_BT,deu,"Als Einführung zu einer Exkursion zeigt Rolf den Schülern im Klassenlager die aufgezeichnete Fernsehsendung ""Goldwaschen am Napf"". Bitte beurteilen Sie dies aus rechtlicher Sicht.",3195.0,24
17,3oWzcZ9w53u7LC1lmB6Zzz_BT,deu,Ohne Rücksprache mit den Eltern veröffentlicht Lehrerin Bea auf ihrer öffentlichen Klassenhompage die Porträtfotos ihrer Schüler sowie deren Vornamen.,3465.0,19
18,1US4mJ2ZPSW6YhwGn5sr8k_BT,deu,"In der 10-Uhr-Pause vor den Ferien hat Rolfs Schülerband ihren großen Auftritt. In der Pause geben sie ein Konzert vor dem gesamten Gymnasium und einigen begeisterten Passanten. Auf dem Programm stehen Coverversionen bekannter Rock- und Popsongs. Welche Schritte muss Rolf unternehmen, um rechtliche Probleme zu vermeiden? Antwort mit einem kurzen Satz pro Schritt.",3195.0,53
19,38DVRUtUzmK80JIIPEQFK5_BT,deu,"Rolfs Studenten verwenden in ihren Präsentationen ausländische Fotos aus dem Internet, die sie als PowerPoint-Präsentationen gestalten. Unter welchen Bedingungen ist das erlaubt? Antwort mit einem kurzen Satz pro Bedingung.",3195.0,29
