taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT,deu,nennen funf argument fur zhaw,,5
1,5CjgnkyFrAd7kfW2wvuKYi,deu,ersetz markieren bildhaft wendung gleichbedeutend ausdruck tonio daheim zeit vertrodeln bei unterricht langsamen abgewandten geist lehrer schlecht anschreiben stehen fallen not bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater einstmal ganz unten landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,1.0,50
2,5y3f8WN1u7F8mwHyB3GjBu,deu,ersetz fett gedruckt ausdruck synonym rechnung schloss manko,2027.0,8
3,5dTVecGZaDU6jyi0XnmgjT,deu,beschreib handlungsbereich vermitteln stichwortartig,125.0,4
4,5lDlwn820256bn1UCaZssm,deu,kernaussag j es ausbildungsverstandni antwort stichwortartig,125.0,6
5,6kpL6UTvol49HRuBCYD8j0,deu,fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil verpflichten kur stadtisch suchtpraventionsstel thema redukt stopp cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio kursleit informieren uber kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess tun weiss warum kiff aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium ttm befinden karl heinz,2079.0,81
6,1b7GzQQyL5UaVKAMCOlFTc,deu,nennen drei wesentlich aufgabe kundenbeziehungsmanag,,5
7,4w9GhyqYclU6DR2ECZdxo4,deu,p,,1
8,6HKSLRqNL3U5Mhmrj8eafJ,deu,diversifik finden neu markt neu produkt statt gegenteil diversifik bestehend markt bestehend produkt,,13
9,4PCAf43F0vz8Cai9f8VIKl,deu,zahlen schritt positionierungsanalys,,3
10,xfaIMOkIco60F2NvVBLiO,deu,definieren begriff break ev point kurz satze,3261.0,7
