language,description,context,tenant_id,tenant_name,topic_name,topic_description,word_count,taskId
14837,deu,Nennen Sie fünf Argumente für die ZHAW.,,19.0,Marketing Grundlagen,,,7,2cJMUQ5g2Tl9P93e0tYmOT
14838,deu,"Ersetze die markierte bildhafte Wendung durch einen gleichbedeutenden Ausdruck:Da Tonio daheim seine Zeit vertrödelte, beim Unterricht langsamen und abgewandten Geistes war und bei den Lehrern schlecht angeschrieben stand, fielen seine Noten ins Bodenlose, was seinen Vater, einen Kaufmann aus Bremen, sehr erzürnte. Der Mutter Tonios jedoch, die Consuelo mit Vornamen hieß und überhaupt so anders war als die übrigen Damen der Stadt, weil der Vater sie sich einstmals von ganz unten auf der Landkarte heraufgeholt hatte, waren die Zeugnisse einerlei…Thomas Mann: Tonio Kröger (leicht verändert)",,1.0,Lernnavi,Deutsch,Sprache als System,85,5CjgnkyFrAd7kfW2wvuKYi
14840,deu,Ersetze den fett gedruckten Ausdruck durch ein Synonym: «Die Rechnung schloss mit einem Manko.»,,1.0,Lernnavi,Synonyme/Antonyme,,14,5y3f8WN1u7F8mwHyB3GjBu
14841,deu,Beschreibe den Handlungsbereich Vermitteln stichwortartig.,,5.0,jugendundsport,Sport,,5,5dTVecGZaDU6jyi0XnmgjT
14842,deu,Welches sind die Kernaussagen des J+S-Ausbildungsverständnis? Antworte stichwortartig.,,5.0,jugendundsport,Sport,,8,5lDlwn820256bn1UCaZssm
14843,deu,"FallvignetteKarl-Heinz, 17 Jahre alt, wohnt bei seinen Eltern in einer grösseren Stadt in der Schweiz. Er ist im 2. Lehrjahr als Maler. In der Berufsschule ist er beliebt, am Arbeitsort wird er als fleissiger Lehrling geschätzt. Karl-Heinz wurde von der Polizei mehrmals beim Kiffen erwischt. Ein Gerichtsurteil verpflichtet ihn nun zu einem Kurs der städtischen Suchtpräventionsstelle. Das Thema dort ist die Reduktion oder der Stopp des Cannabis-Konsums. Der Kurs wird im Einzelsetting durchgeführt.Ausgangslage: Karl-Heinz erscheint rechtzeitig zum ersten Termin. Herr Konsilio, der Kursleiter, informiert ihn über den Kursverlauf. Karl-Heinz hört aufmerksam zu. Dann sagt er abschliessend: „Das ist ja alles interessant, hat aber nichts mit mir zu tun. Ich weiss nicht, warum ich mit dem Kiffen aufhören sollte. Ich kiffe nur am Abend und am Wochenende. Ich habe gute Zeugnisse, in der Schule und bei der Arbeit. Ich werde meine Pflichtstunden bei Ihnen absitzen. Mehr aber nicht.”FrageIn welchem Stadium des TTM befindet sich Karl-Heinz?",,9.0,ffhs,Psychologie,,154,6kpL6UTvol49HRuBCYD8j0
14848,deu,Nennen Sie die drei wesentlichen Aufgaben des Kundenbeziehungsmanagements:,,19.0,Marketing Grundlagen,,,8,1b7GzQQyL5UaVKAMCOlFTc
14849,deu,Welches sind die 7 P?,,19.0,Marketing Grundlagen,,,5,4w9GhyqYclU6DR2ECZdxo4
14850,deu,"Diversifikation findet in einem neuen Markt mit einem neuen Produkt statt. Was ist das Gegenteil der Diversifikation, in einem bestehenden Markt, mit einem bestehenden Produkt?",,19.0,Marketing Grundlagen,,,25,6HKSLRqNL3U5Mhmrj8eafJ
14851,deu,Zählen Sie die Schritte der Positionierungsanalyse auf,,19.0,Marketing Grundlagen,,,7,4PCAf43F0vz8Cai9f8VIKl
14852,deu,Definieren Sie den Begriff Break-Even-Point in kurzen Sätzen.,,11.0,connectsolutions_de,Rechnungswesen,,8,xfaIMOkIco60F2NvVBLiO
14853,deu,"FallvignetteHerr Josi Kunz (45) lebt mit seiner Familie in einer Siedlung am Stadtrand. Er arbeitet im Büro eines Versandhandels von Sportartikeln.Familie: Seine Frau Susanne (41) arbeitet Teilzeit als Serviceangestellte in der Cafeteria eines Alters- und Pflegeheims. Herr und Frau Kunz sind Eltern von Max (16), Tom (15) und Lea (12). Alle drei Kinder gehen noch zur Schule.Verhalten im Alltag: Herr Kunz fährt mit dem Auto zur Arbeit. Im Firmengebäude benutzt er zu seinem Büro im dritten Stock den Lift. Ist der Lift in Revision, ist er nach jedem Treppenabsatz ausser Atem und muss pausieren. Seine geringe Ausdauer stört ihn nicht weiter. Vor 20 Jahren spielte er in der zweiten Liga Fussball. Seitdem er aus der Mannschaft ausgetreten ist, macht er keinerlei Sport mehr.Wissen: Herr Kunz kann die Risiken von Bewegungsmangel aufzählen. An seinem Arbeitsort liest er in der Werbung für die Sportartikel von den positiven Folgen regelmässiger, körperlicher Aktivität. Ausgangslage: Herr Kunz war mit einer starken Erkältung beim Hausarzt. Dieser bot ihn nach Abklingen der Erkältung zu einem Standortgespräch auf. Dabei erläuterte er Herrn Kunz die Laborbefunde mit Anzeichen von Diabetes und Herzkreislaufproblemen. Noch seien keine bleibenden Schäden erkennbar. Doch sei es dringend notwendig, dass Herr Kunz sich regelmässig bewege, mindestens 45 Minuten pro Tag.Zu Hause erzählt Herr Kunz seiner Frau, dass mit ihm eigentlich alles in Ordnung sei. Er solle sich ein wenig mehr bewegen. Darum werde er sich kümmern, wenn er beruflich nicht mehr so eingespannt sei. Nächste Woche habe er einen Termin mit einer Fachperson für Gesundheit. Zu dieser gehe er seinem Hausarzt zuliebe genau einmal. Der Auftrag des Hausarztes für Sie: Der Hausarzt überweist Ihnen Herrn Kunz. Sie sollen mit ihm ein Programm mit 45 Minuten Bewegung pro Tag erarbeiten.Der Auftrag von Herrn Kunz an Sie: In der ersten Sitzung teilt Ihnen Herr Kunz offensichtlich zufrieden mit, er sei vollkommen gesund. Er wisse, dass er sich ein wenig mehr bewegen sollte. Das sei für ihn kein Problem. Was er für Sie tun könne?Frage Wie begründen Sie Ihre Einschätzung?Antworten Sie bitte in Stichworten.",,9.0,ffhs,Psychologie,,336,4Mg9yzLtSfm7bFud4CGYn2
