taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_SR,DE,translat into german він народився у швеицаріі,,7
719,2T3rZTRBlAv94jV8YNcbgq_SR,DE,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum schreiben schuler heimatland schuluniform tragen vorteil riv nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen fur schuluniform expir bildungsministerin sagen gestern tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken umso gut,,58
720,2z7BrRib1zJ6KE4gVWmz6U_SR,DE,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor landern auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,,34
740,a0s1XNwpeGQ9pLGnqdkhni_SR,DE,tranlat i hump my dog,,5
762,5XfzyS7dJ487uL4NZfz8fZ_SR,DE,erganz mindester zwei weiter anspruchsgruppen,,5
765,8LIIlBLXmue7RO4U5ou7gb_SR,DE,fasse pflicht anhand grafik satz zusammen,4576.0,6
766,26pzeDwUv0t8MVuLVj5JmB_SR,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch angabe kaufgegenstand machen wesentlich information verschweigen fall tauschen partei vertrag zurucktreten fassen regel massachusett institut of technolog satz kurz moglich zusammen,4576.0,28
809,8DqIXljQuGe9xQIEqI7WFp_SR,DE,nenn moglichst viel merkmal nachfolgend text fur textsort ansichtskart typisch kawai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl five hundr westkust neblig st gallen davon mehr aluminum genug flurina,,42
825,1aFSUitL2a75WVYA7sYmbV_SR,DE,alexandra kompetenzprofil fur break down einstellung neu kundenbetreu unternehmen erstell frage konnt stelle break down aufgeben stell zubird beschreiben find zwei beispiel fur frage,5195.0,24
826,1vX3fcgVtpy9k6WSWsiwVY_SR,DE,haben aufgab neu projekt entwickeln z b onboard programm fur person neu hyrax unternehmen kommen erst schritt antwort stichworten,5199.0,19
827,1Yw06EpFLlx8w5vSpuyw7z_SR,DE,nenn drei gesetz drop dead five hundr erstellung arbeitsvertrag beachten mussen,5193.0,11
828,3ijyNlG3msT8hVz0AagklM_SR,DE,beantwort pass away frage stichworte meßnahmen ergreifen pass away komplex frage d recht streitfal angehen,5197.0,15
829,3Lhb5g6fDr86NzURJcyyDz_SR,DE,benenn massachusett institut of technolog stichwortern tatigkeitsbereich stilbestrol hr bereich,5188.0,10
830,4ASVotj6O8TaDrfNW86wN8_SR,DE,beschreib anhand stichwortern konnt gemaß five hundr erg theori kick the bucket einfuhrung home offic fur jemand stark kontaktbedurfni bedeuten,5198.0,20
831,4wgx29MQGCG7nsLZGOLVkb_SR,DE,coni unternehmen algrifor mocht internetplattform verbessern elektronisch rekrutierung ermoglich professionell programmier beauftragen nenn stichwortartig wichtig punkt gestaltung e recruit achten,5195.0,20
832,5qXSNUFhNmN5VidLfA9m4w_SR,DE,alexandra schauen bewerbungsdossi coney gut fallen bemerken zeit inaktivitat erklart formal kriterium fur go bad bewertung bewerbungsdossi erfullt beantwort frage weniger stichworte,5195.0,22
833,5X9l77w0fZN6MyxYnD3KVB_SR,DE,nenn stichwort nebenpflicht angestellter,5197.0,4
834,6E4bDMNlDGW9xdMQL87atr_SR,DE,g antwort satz alexandra personalverantwortlich ursprunglich familiengefuhrt immer wachsend unternehmen aufgabe expir lohnabrechnung nehmen immer mehr zeit anspruch wurdest raten,5191.0,20
835,6XcMHDeahgw8YXFQ1agv4E_SR,DE,out firma algrifor klein marketingteam zwei mitarbeiterinn fur neu kampagn jedoch extern firma beauftragen beschreib weniger wort snuff -- vorgehen heißen,5189.0,21
836,71YaOZ4cMBG9fw8cYMNsDJ_SR,DE,benenn mithilf stichwort fail letzen handlung einstellungsverfahren,5195.0,7
837,7nGyv3xP47X6la5j0r1b39_SR,DE,worauf solltest achter entscheidest konstrukt beurteilungsgesprach zubird fuhren antwort massachusett institut of technolog stichworten zubird schritt,5199.0,16
838,7VbRfWDTJl46dcViAZD3lS_SR,DE,nenn mithilf stichwort faktor außerhalb unternehmen d einfluss hyrax gehalt arbeitnehm,5198.0,11
839,7xH7JyWDbZU6Ofct6alsxs_SR,DE,nenn aktiv faktor diethylstilbestrol arbeitsmarken,5190.0,5
840,89hYlgmdvx87BM7GIPQH21_SR,DE,beantwort frage satz repr person arbeitgeb verlangen meinen hyrax vorstellungsgesprach rassistisch diskriminieren wurd,5197.0,13
841,8IQnwDrs33i7VyEGnPt2bY_SR,DE,arbeitgeb einfach arbeitszeugni ausstell erbium mitarbeit wegen schwer fehler beispielsweis diebstahl trennen begrund antwort vollstandigen satz,5201.0,16
842,8YLtWAOsHh0aJV8qM7bn1G_SR,DE,beantwort out frage drei stichworte drei vorteil arbeitgeb emerg room gesprach abschi fuhrt arbeitnehm arbeitsverhaltni beenden,5201.0,16
843,ANZ8YXBvnt6WL3RWiHgr8_SR,DE,gb antwort frage zielbezogen frage konn vorstellungsgesprach wahrend d probezeit stellen,5194.0,11
844,zczFAcjzwi7H7kkKNjG66_SR,DE,beschreib satz massnehmen hyrax personalmanag anwend lair problem schweizer demografi entgegenwirken,5190.0,11
845,xzal4tLN8F8Fj8Wu1XM50_SR,DE,festivalveranstalt verlagern anlass grosser hall saal ausserhalb stadt bisschen teuer jedoch doppelt rank schildern stichwort auswirkung entscheidung folgend anspruchsgruppen stadt,4576.0,20
867,9XEvTav4ZvOafZsCcN8wuJ_SR,DE,lehrbetrieb verandern können ware schilder anspruchsgruppen entscheidung profitieren werden,,9
912,91nrbKAfXUJ8DH6RGSjvs7_SR,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort expir vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag downslop vorhanden,5008.0,28
914,5xslDLNV5dB8l7n3DsdzAq_SR,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahmen antwort conk out vorschlag kolleginnen jutta können werbebroschuren uber practic produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt nachteil vorschlag fall vorhanden,,28
915,1pPszQK2X1b97Eat8NAdGf_SR,DE,anschließend brainstormen gemeinsam moglich marketingmaßnahm repres antwort vorschlag kolleginnen jutta können werbebroschuren uber praxi produzieren lassen per wurfsendung haushalt viertel verteilen beschreiben bitt positiv aspekt vorschlag decliv vorhanden,,28
925,67O6lTzBuHz7WIvFT9QIZJ_SR,DE,а перша літера абетки,,4
926,1xgHkdji4n27IrsqwdFmhp_SR,DE,а перша літера абетки,,4
928,aANiFOmnISr6tHKrt45EPg_SR,DE,а перша літера абетки,,4
959,uWvEWUyna09NtbP0RMp63_SR,DE,d markiern ausdruck metaph wirkung folgend beispiel red talk through one verleihen flugel werbeslogan,,14
960,2VX1HHa4SZp9Cs6Suof4ho_SR,DE,beschreib hideout hund bild,,4
963,7Xx3NrODBh69k4BwlIa1jb_SR,DE,beschreiben kick the bucket folgend grafik,,6
