taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_BT,DE,lug lugen lugen lugen lugen lug lug,,7
719,2T3rZTRBlAv94jV8YNcbgq_BT,DE,schreiben zeitung schreiben zeitung antwort artikel ca worter sagen warum schreiben schuler heimatland schuluniform tragen nachteil meinung tragen schuluniform anmerkung schulkleidung statt markenwahn schuler uniform bayerisch ministerprasid bundesminist fur bildung bundesjustizministerin sprechen fur schuluniform gestern sagen kultusministerin tragen schuluniform begrußen sein einheitlich schulkleidung identifik schule beitrag symbol fur gemeinschaft schuler sein schulkleidung weit verbreitet markenwahn entgegenwirken desto gut,,58
720,2z7BrRib1zJ6KE4gVWmz6U_BT,DE,bericht radiosendung thema -- deutschland gehort end sendung werden horer lander gebet kurz bericht thema -- heimatland schreiben send schick nachst sendung uber interessantest korrespondenz berichten schreiben bericht thema ca worter,,31
740,a0s1XNwpeGQ9pLGnqdkhni_BT,DE,transkript lieb hund,,3
762,5XfzyS7dJ487uL4NZfz8fZ_BT,DE,fugen mindesten zwei weiter stakehold hinzu,,6
765,8LIIlBLXmue7RO4U5ou7gb_BT,DE,fasse verpflichtung satz grundlag grafik zusammen,4576.0,6
766,26pzeDwUv0t8MVuLVj5JmB_BT,DE,vorkommen partei vorsatzlich tauschen entwed falsch angabe uber kaufgegenstand beispiel verschleierung wesentlich information fall betrog partei vertrag zurucktreten summieren regel kurz moglich satz,4576.0,23
809,8DqIXljQuGe9xQIEqI7WFp_BT,DE,kawai hallo jen reis kalifornie beeindruckend kustenlandschaft architektonischen highlight superfeinen fischgerichten genießen unglaublich natur paradiesisch insel hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,28
825,1aFSUitL2a75WVYA7sYmbV_BT,DE,alexandra kompetenzprofil fur rekrutierung neu kundenbetreu unternehmen erstell frage konnen stellen aufgabe posit beschreiben zwei beispiel fur frage,5195.0,18
826,1vX3fcgVtpy9k6WSWsiwVY_BT,DE,aufgeben neu projekt entwickeln z b onboard programm fur mensch neu unternehmen erst schritt antwort stichworten,5199.0,16
827,1Yw06EpFLlx8w5vSpuyw7z_BT,DE,nennen drei gesetz abfassung arbeitsvertrag beachten,5193.0,6
828,3ijyNlG3msT8hVz0AagklM_BT,DE,beantworten frage kurz bundig maßnahme sollen ergreifen komplex thema recht streitigkeiten angehen,5197.0,12
829,3Lhb5g6fDr86NzURJcyyDz_BT,DE,nennen tatigkeitsfeld personalabteilung paar stichworter,5188.0,5
830,4ASVotj6O8TaDrfNW86wN8_BT,DE,erg theori konnen einfuhrung home offic fur jemand starkem kontaktbedarf bedeuten,5198.0,11
831,4wgx29MQGCG7nsLZGOLVkb_BT,DE,elektronisch rekrutierung ermoglich unternehmen algrifor internetplattform verbessern dafur professionell programmier engagiert nennen wichtig punkt konzept e recruit beachten gelten,5195.0,19
832,5qXSNUFhNmN5VidLfA9m4w_BT,DE,alexandra betrachten dossier gut fallen stellen fest phase inaktivitat erklart formal kriterien fur bewertung bewerbungsdossi erfullt beantworten frage paar stichworte,5195.0,20
833,5X9l77w0fZN6MyxYnD3KVB_BT,DE,stichwort erwahn nebenverpflichtung arbeitnehm s,5197.0,5
834,6E4bDMNlDGW9xdMQL87atr_BT,DE,geben antwort satz alexandra personalmanagerin unternehmen ursprunglich familienfuhren wachst aufgabe gehaltsabrechnung nehmen immer mehr zeit anspruch werden raten,5191.0,18
835,6XcMHDeahgw8YXFQ1agv4E_BT,DE,firma algrifor klein market team zwei mitarbeiter fur neu kampagn extern unternehmen engagieren,5189.0,13
836,71YaOZ4cMBG9fw8cYMNsDJ_BT,DE,nennen letzter akt rekrutierungsprozess schlusselwort,5195.0,5
837,7nGyv3xP47X6la5j0r1b39_BT,DE,worauf sollen achter konstruktiv beurteilungsgespraceh entschließen antwort schlusselworter fur schritt,5199.0,10
838,7VbRfWDTJl46dcViAZD3lS_BT,DE,verwend paar schlusselwort faktor außerhalb unternehmen identifizier auswirkung gehalt mitarbeit,5198.0,10
839,7xH7JyWDbZU6Ofct6alsxs_BT,DE,nennen aktiv faktor arbeitsmarken,5190.0,4
840,89hYlgmdvx87BM7GIPQH21_BT,DE,beantworten frage satz person arbeitgeb verlangen glauben vorstellungsgesprach rassistisch diskriminieren werden,5197.0,11
841,8IQnwDrs33i7VyEGnPt2bY_BT,DE,arbeitgeb einfach arbeitsbescheinigung ausstellen aufgrund schwerwiegend fehler etwa diebstahl mitarbeit trennen begrunden antwort voll satz,5201.0,15
842,8YLtWAOsHh0aJV8qM7bn1G_BT,DE,beantworten frage drei schlusselworter drei vorteil arbeitgeb gesprach fuhrt verabschieden mitarbeit arbeitsverhaltni beenden,5201.0,13
843,ANZ8YXBvnt6WL3RWiHgr8_BT,DE,geben antwort frage zielgerichtet frage konn vorstellungsgesprach wahrend probezeit stellen,5194.0,10
844,zczFAcjzwi7H7kkKNjG66_BT,DE,beschreiben satz meßnahmen personalmanag anwend problem schweizer demografi entgegenwirken,5190.0,9
845,xzal4tLN8F8Fj8Wu1XM50_BT,DE,veranstalt festiv verleg veranstaltung groß hall außerhalb stadt teuer doppelt groß beschreiben kurz auswirkung entscheidung folgend akteur,4576.0,17
