taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT_RI,deu,conk out nennen funf argument fur choke zhaw,,8
1,5CjgnkyFrAd7kfW2wvuKYi_RI,deu,ersetz markieren bildhaft wendung gleichbedeutend ausdruck tonio daheim zeit vertrodeln bei unterricht langsamen abgewandten geist lehrer schlecht anschreiben stehen fallen not bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater einstmal ganz unten landkart heraufgeholt zeugniss indium einerlei thoma mann state -- tonio kroger leicht verandern,1.0,53
2,5y3f8WN1u7F8mwHyB3GjBu_RI,deu,ersetz fett gedruckt ausdruck hideaway synonym massachusett institut of technolog rechnung schloss manko,2027.0,13
3,5dTVecGZaDU6jyi0XnmgjT_RI,deu,hideaway beschreib handlungsbereich lair vermitteln stichwortartig,125.0,6
4,5lDlwn820256bn1UCaZssm_RI,deu,kernaussag welsh j es ausbildungsverstandni antwort welsh stichwortartig,125.0,8
5,6kpL6UTvol49HRuBCYD8j0_RI,deu,fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil herr verpflichten kur stadtisch suchtpraventionsstel thema redukt stopp cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio kursleit informieren uber kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess tun weiss warum kiff aufhor kiff abend wochenend gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium ttm befinden karl heinz,2079.0,82
7,1b7GzQQyL5UaVKAMCOlFTc_RI,deu,nennen diamond state pop off drei wesentlich aufgabe kundenbeziehungsmanag,,9
8,4w9GhyqYclU6DR2ECZdxo4_RI,deu,welsh welch p,,3
9,6HKSLRqNL3U5Mhmrj8eafJ_RI,deu,diversifik finden neu markt neu produkt massachusett institut of technolog statt gegenteil diversifik bestehend markt massachusett institut of technolog bestehend produkt,,21
10,4PCAf43F0vz8Cai9f8VIKl_RI,deu,d zahlen schritt d positionierungsanaly,,5
11,xfaIMOkIco60F2NvVBLiO_RI,deu,definieren begriff break even point kurz lair hideout satzen,3261.0,9
12,4Mg9yzLtSfm7bFud4CGYn2_RI,deu,fallvignett herr josi kunz leben famili siedlung stadtrand arbeiten buro versandhandel sportartikeln famili frau susann arbeiten teilzeit serviceangestellen cafeteria alt pflegeheim herr frau kunz eltern max tom lea drei kind gehen schule verhalten alltag herr kunz fahren auto arbeit firmengebaud benutzen buro dritter stock lift lift revis treppenabsatz auss atem pausieren gering ausdau stort jahr spielen zweiter liga fussbal seitdem mannschaft ausgetret machen keinerlei sport mehr wissen herr kunz risiko bewegungsmangel aufzahl arbeitsort lesen werbung fur sportartikel positiv folge regelmassig korperlich aktivitat ausgangslag herr kunz stark erkaltung bei hausarzt bieten abkling erkaltung standortgesprach dabei erlautern herrn kunz laborbefund anzeich diabet herzkreislaufproblemen sein bleibend schaden erkennbar sein dringend notwendig herr kunz regelmassig beweg mindest minute pro tag haus erzahlen herr kunz frau eigentlich ordnung sein sollen wenig mehr bewegen darum kummern mussi beruflich mehr eingespennen sein nachst woch termin fachperson fur gesundheit gehen hausarzt zulieb genau auftrag hausarzt fur hausarzt uberweist herr kunz sollen programm minute bewegung pro tag erarbeit auftrag herrn kunz erster sitzung teilen herr kunz offensichtlich zufrieden sein vollkommen gesund wiss wenig mehr bewegen sein fur problem fur tun konn frage begrunden einschatzung antwort bitt stichworten,2079.0,188
13,3x1MfA2egc2aDydR7uUsp6_RI,deu,bea fotografieren buy the farm freizeit tier veroffentlichen foto homepag bea unternehmen foto urheberrecht schutzen begrunden antwort,3195.0,17
14,3boh9riWbYw5vj5P3G0lJD_RI,deu,bea begeistert aufsatz andr schulerinn schuler stolz stellen gut arbeit namensnennung homepag veroffentlichung anonym fragen weder betroffen kind der eltern beurteilen bea vorgehen rechtlich sicht,3195.0,25
15,anujPX52fQR6x3248F2rHV_RI,deu,rolf finden internet bild obenstehend creativ common label kennzeichnen drei bedingung dürfen emerg room bild weiterverwenden,3466.0,16
16,837aEbasa688e557uvxTar_RI,deu,rolf zeigen klassenlag schulerinn pass away schuler atom number aufgezeichnen fernsehsendung goldwasch napf einstimmung exkurs beurteilen rechtlich sicht,3195.0,18
17,3oWzcZ9w53u7LC1lmB6Zzz_RI,deu,lehrerin bea publizieren rucksprach eltern offentlich klassenhomepag pass portratfoto schulerinn schuler sowi der vornamen buy the farm beurteilen rechtlich sicht,3465.0,20
18,1US4mJ2ZPSW6YhwGn5sr8k_RI,deu,rolf schulerband five hundr profession uhr paus ferien groß auftritt pausenplatz geben konzert ganz oberstuf begeistert passant programm stehen coverversion bekannt rock popsong schritt rolf unternehmen rechtlich sicht problem bekommen antwort kurz satz pro schritt,3195.0,35
19,38DVRUtUzmK80JIIPEQFK5_RI,deu,massachusett institut of technolog rolf schulerinn schuler verwend vortragen powerpoint prasent gestalten fremd foto internet bedingung zulassig antwort kurz rolf satz pro bedingung,3195.0,23
20,5XeRfbWOsAB8uOpsoObxdm_RI,deu,bea werkstatt igel jahr verlagsprogramm lehrmittelverliegen aufnehmen verkaufen weshalb bea samtlich bild werkstatt ersetzen oben dargestellt creativ common lizenz finden antwort kurz satz,3466.0,23
21,4VzSTu3Qkbuat8MKShbRnu_RI,deu,rolf bereiten klassenlag erstellen passwortgeschutzt excel lisen speziel bedurfniss schulerinn associ schul darin festzuhalt etwa benotigt medikament nahrungsmittelallergien schicken eltern link dokument passwort entprechend angabe kind selber eintrag kind konn begrunden warum rolf vorgehen rechtlich sicht problematisch,3465.0,37
23,6YATLhC6EKb7FLyt1ul8dw_RI,deu,ausgangslag privatschul ag bitten bewertung aktiv passiv hilf mobiliar schule veralten daher wurd anfang neu mobiliar pulen stuhl etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr linear restweren abgeschrieben nettoverausserungswert end chf schatzen frage erklaren unten stehend textfeld stichwortartig ermittlung wert d vorgegang punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,58
24,2KBKiamChix7AzgUXh7Fqw_RI,deu,ausgangslag privatschul ag jahr fur kaufprei chf liegenschaft grossen gebaud erworben schulgebaud nutzen liegenschaft schulgebaud befinden gut lage zurich al marktweren per end chf deuc schatzen frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,43
25,NDDRbv7TYQ5ycFBk5dno8_RI,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert ii chf item kur gekauft schlusskur bilanzstichtag end betragen frage erklaren unten stehend textfeld stichwortartig ermittlung wert vorgehen punkt ziel vorgehen detail anzuschauen allfallig denkfehl erkennen,2080.0,37
26,5qyVy05gk247mvwo0zHkPa_RI,deu,ausgangslag privatschul ag bitten bewertung aktiv passiv hilf mobiliar schule veralten daher wurd anfang neu mobiliar pulen stuhl etc wert chf kaufen privatschul heutig tag erfolgreich konnt schule problem leisten mobiliar uber jahr linear restweren abgeschrieben nettoverausserungswert end chf schatzen frage ermitteln district attorney wert mobiliar per end hochsten bilanziert dürfen punkt,2080.0,52
27,1uvGe8Nno5walGTtXriQ6F_RI,deu,ausgangsliegen welsh privatschul ag jahr fur kaufprei chf liegenschaft grossen gebaud erworben schulgebaud zubird nutzt liegenschaft schulgebaud befinden gut lage zurich marktwert per end chf schatzen frage ermitteln wert liegenschaft schulgebaud hochsten bilanziert dürfen punkt,2080.0,35
28,7ylhApF5T4O97dnxC6nEZW_RI,deu,ausgangslag privatschul ag erfolgreich bankzin derzeit hoch anfang borsenkotiern obligationen nominalwert i chf kur kaufen schlusskur d bilanzstichtag end betragen frage ermitteln wert obligationen per end hochsten bilanzieren durfen punkt,2080.0,30
29,3zsKoSGA4LF8u3cxke7qAx_RI,deu,wovon gehen klassisch marketingverstandni dassi coney,,6
30,1fBIf6350GA6gq43VRCrsE_RI,deu,nennen drei merchandi schritt planungsphas market managn prozess,,8
31,9WDKSx00vlW9K0bnORDcJS_RI,deu,nennen stilbesterol haufig verwenden konzept diethylstilbesterol analy umfeld unternehmen,,9
32,2uvDjDgO7X5aHZJsafVcan_RI,deu,nennen funf anforderungskriteri cash one chip dice segmentierung,,8
33,2dJT9P9U4fFaLp5CyP3NHk_RI,deu,markenwert zwei element ausgedruckt nennen beide element,,7
34,2BpcPbqRzLZ6KqjSjgxSi7_RI,deu,zwei art croak markenbekanntheit messen,,5
35,5QeevFBNgjK8J5oBsnMKiq_RI,deu,nennen d zwei normstrategien kundenakquisit,,5
36,9YJGjiwwmRmaO6UJLjt6K3_RI,deu,hideout erlautern unterschi potenziell aktuell kunde kundenbeziehungslebenszyklu,,7
37,36Cl8yhjcbaa6kY2PIMbRB_RI,deu,art diversifik five hundr geben,,5
38,8CxNuOExW7T8AFVh6SHo8n_RI,deu,typen prozessen lassen unternehmen unterscheiden,,5
39,5cB1PdSBUxsapU9Hcy7HtI_RI,deu,aufgabe umfassen drop dead personalpolitik buy the farm nennen vier aufgabe,,11
40,6zths9mH7Cq8EIwhbJMlMW_RI,deu,erfolgsfaktoren give way conk digital market,,6
41,59AwTgl3apR9fHoPM6KGPH_RI,deu,helfen dozen nennen vier grundlegend stossrichtung digit digital instrument,,9
42,6TPlnzEFTBP7AFpUjaHhGt_RI,deu,zusammenhang reaktion mitarbeitende strategisch veranderungen lassen grundsatzlich vier mitarbeitertype helfen doz unterscheiden nennen becom flat vier type,,17
43,a3mnO3FTYVN9Oxoyp2Vh2I_RI,deu,begriff vi unternehmenskultur lassen je betrachtet model verschied komponent zuordnen tomczak unterscheiden vier ebene nennen vier ebene,,17
44,1tWjiD8qkak6L7SO2GOUZz_RI,deu,stehen ern market foku sell nennen follow wichtig merkmal,3086.0,9
45,6je9mSkTQUD6j0oXc0XQrA_RI,deu,aufgabenbeschreibung prufen wissen transtheoretisch model ttm lernziel versteh ttm fallbeispiel anwend -- zeitkriterien ttm ttm gehor zeitkriterien autor beschreiben fur stadium innerhalb zeitspann jemand verhalten gedenken lang jemand erwunscht verhalten praktizieren praxi zeitkriterien fixen vorgabe orientierungshilfen art verwend zeitangab studierend arbeit ubrig praxi ttm ganz zeitkriterien fallvignett karl heinz jahr alt wohnen eltern grosser stadt schweiz lehrjahr maler berufsschul belieben arbeitsort fleissig lehrl schatzen karl heinz wurd polizei mehrmal bei kiffen erwischen gerichtsurteil verpflichten kur stadtisch suchtpraventionsstel thema redukt stopp cannabi konsum kur einzelset durchfuhren ausgangslag karl heinz erscheinen rechtzeitig erster termin herr konsilio kursleit informieren uber kursverlauf karl heinz hort aufmerksam sagen abschliessend ja interess tun weiss warum kiff aufhor kiff abend wochenend bowl gut zeugniss schule arbeit pflichtstund absitzen mehr frage stadium ttm befinden karl heinz,2079.0,128
46,an4Fz56H0WT6IEjQje3AMv_RI,deu,aufgeben karl heinz scheinen erster sitzung herrn konsilio wenig beeindruckt lieb wurd mehr hingehen gut tun cannabi sein politisch problem kumpel ausbad musst herr konsilio lachelt machen pflichttermin ab coney nachst sitzung eroffnen karl heinz uberraschend drei tag kiffen erst gestern joinen rauchen erbium aufwand paar joint machen find ubertrieben konn vorstellen wenig kiffen frage stadium ttm befinden karl heinz,2079.0,60
47,4NNxvy93M4B9ga8HmozWhz_RI,deu,five hundr benennen kick the bucket phas kundenbeziehung,,8
48,1EPrTzqFvve9qvoHOr5bPP_RI,deu,eastward erlautern stichwortartig worum eastward potenziell kunde kundenbeziehungslebenszyklu gehen,,9
49,1q8HjXTXl6pafd3UuTNn7a_RI,deu,nennen pass away drei verschieden kategorie kommunikationszielen,,7
50,6PqIlscbsyz8u399b8CvY1_RI,deu,personifi kernelement make up experi antwort stichwortartig,,7
51,2Mddfpq7qgDa8iYxEo1ZxT_RI,deu,human produktportfolio weiterentwickeln nennen stichwortartig verschieden moglichkeit,,7
52,9J2yHcGXsEfaxJmFU93t7q_RI,deu,nennen stilbestrol give up the ghost drei eckpunkt magisch dreieck price,,11
53,6JbDfFBGSWL5PV7f1vfuQM_RI,deu,ausdruck nachfahren stammen grundwort fahr althochdeutsch faran steuer fortbeweg stilbestrol erklar bildhaftigkeit ausdruck,2029.0,13
54,8JpcAKx32tR8iPBZXyy9Mv_RI,deu,ausdruck fahren stammen grundwort fahr river althochdeutsch faran steuer fortbewegen erklar riv bedeutung,2029.0,13
55,8NaclHgFFv79UrF6HKLluq_RI,deu,ersetz fett lid gedruckt ausdruck synonym geschmack fur mode,2027.0,9
56,51vmUpiNHBf6NMTKufDbqw_RI,deu,wichtig mittel neu erkenntniss sachverhalt sprachlich bestehend mittel erfassen ubertragung eigentlich bedeutung ding bildlich d vorstellen erklar ausdruck fussnot eigentlich bedeutung fuss,2030.0,22
57,3w8ZWju1fX27KYHRHoYVZl_RI,deu,ausdruck fahrt stammen grundwort five hundr fahr althochdeutsch faran steuer fortbewegen erklar five hundr bedeutung,2029.0,15
67,4KWbwnTRRMMawwNAZGhuox_RI,deu,dice offen cube aufgeben,2130.0,4
68,auENLxQmQPpaV7QFcjwH3E_RI,deu,erklar stilbestrol bedeutung cash one chip folgend ausdruck dialekt,2031.0,9
69,1NBRv5heAsqbZa8sABf6mM_RI,deu,delawar erklar diamond stat bedeutung folgend ausdruck fachsprachlich,2023.0,8
70,4EV.Ccg5Aa.a2jHtglgeSC_RI,deu,lead erklar bedeutung folgend ausdruck pass durchschnittssprech,2023.0,7
71,3kWiRs7UiwT6Iy8PLc6eSd_RI,deu,wichtig mittel neu erkenntniss sachverhalt sprachlich bestehend mittel erfassen ubertragung eigentlich bedeutung ding bildlich vorstellen erklar ausdruck fussnot hideout massachusett institut of technolog eigentlich bedeutung fuss,2030.0,26
83,1Lp9RuD9olT6GPuS0p3qDW_RI,deu,astronom unit betriebsabrechnungsbogen bestehen drei kernelementen kostenrechnung handeln tocopherol,3261.0,9
