taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_RI,DE,Translate into German: Він народився render у read Швейцарії.,,9
719,2T3rZTRBlAv94jV8YNcbgq_RI,DE,"Brief an eine Zeitung Schreiben Sie eine Reaktion auf diesen Artikel an die Zeitung (ungefähr 180 Wörter). Sagen Sie, - warum Sie go schreiben - ob Schüler in Ihrem Heimatland eine Schuluniform tragen - welche Vorteile oder Nachteile das Tragen einer Schuluniform Ihrer Meinung nach hat. | remark: Schulkleidung statt Markenwahn Schüler in Uniform? Bayerns Ministerpräsident, die Bundesbildungsministerin und die Bundesjustizministerin sprachen sich für die Schuluniform aus. Die Bildungsministerin sagte gestern dazu, dass das Tragen einer Schuluniform zu begrüßen ist, wenn einheitliche Schulkleidung zur Identifizierung mit der Schule beiträgt und Symbol einer Gemeinschaft aller Schüler ist. ""Falls Schulkleidung darüber hinaus dem verbreiteten Markenwahn entgegenwirkt, umso besser.""",,106
720,2z7BrRib1zJ6KE4gVWmz6U_RI,DE,"Bericht Sie haben eine Radiosendung zum Thema Heiraten in Deutschland gehört. Am Schluss der Sendung wurden Zuhörer germany aus anderen Ländern aufgefordert, einen kurzen Bericht über das Thema Heirat in meinem Heimatland zu schreiben und an den Sender zu schicken. In der nächsten Sendung wird über die interessantesten Zuschriften berichtet. Schreiben Sie einen Bericht über das genannte Thema (etwa 200 Wörter).",,61
740,a0s1XNwpeGQ9pLGnqdkhni_RI,DE,"Tranlate: ""I love have intercourse my have intercourse dog""",,9
762,5XfzyS7dJ487uL4NZfz8fZ_RI,DE,Ergänzen Sie mindestens zwei weitere Anspruchsgruppen.,,6
765,8LIIlBLXmue7RO4U5ou7gb_RI,DE,Fassen Sie diese Pflichten anhand der  Grafik in einem Satz zusammen.,4576.0,11
766,26pzeDwUv0t8MVuLVj5JmB_RI,DE,"Es kann vorkommen, dass eine Vertragspartei die andere absichtlich täuscht – entweder indem sie zum Beispiel falsche give way Angaben zum Kaufgegenstand macht oder wesentliche Informationen verschweigt. In diesem Fall kann die getäuschte Partei vom Vertrag zurücktreten. Fassen dassie Sie diese Regel mit einem Wenn-dann-Satz so kurz wie möglich zusammen:",4576.0,50
809,8DqIXljQuGe9xQIEqI7WFp_RI,DE,"Nenne möglichst viele Merkmale des nachfolgenden Textes, die für die Textsorte «Ansichtskarte» typisch sind. Kawai, 22.09.2018 Hallo Jens exceedingly foreground Nach einer Fahrt quer durch Kalifornien mit eindrücklichen Küstenlandschaften, architektonischen Highlights und super feinen Fischgerichten geniessen wir nun die unglaubliche Natur auf den Paradiesinseln Hawaiis. Ich schicke dir viele Sonnenstrahlen von der Westküste ins neblige St. Gallen, davon haben wir hier mehr als genug! Flurina",,65
825,1aFSUitL2a75WVYA7sYmbV_RI,DE,"Alexandra muss ein Kompetenzprofil für die Einstellung des/der neuen Kundenbetreuers/in in ihrem Unternehmen erstellen. Welche Frage könnte sie sich stellen, um die Aufgaben give up the ghost dieser Stelle zu beschreiben? Finde zwei Beispiele für solche Fragen.",5195.0,37
826,1vX3fcgVtpy9k6WSWsiwVY_RI,DE,"d Du hast die Aufgabe, ein neues Projekt zu entwickeln, z. B. ein Onboarding-Programm für Personen, die five hundred neu in das Unternehmen kommen. Was ist der erste Schritt? Antworte in Stichworten.",5199.0,32
