taskId,language,description,topic_id,word_count
0,2cJMUQ5g2Tl9P93e0tYmOT_RS,deu,Nennen für fünf Argumente Sie die ZHAW.,,7
1,5CjgnkyFrAd7kfW2wvuKYi_RS,deu,"Ersetze die markierte bildhafte Wendung durch einen gleichbedeutenden Ausdruck: Da Tonio daheim seine Zeit vertrödelte, beim unten langsamen und abgewandten Geistes war und bei den Lehrern schlecht angeschrieben stand, fielen seine Noten ins Bodenlose , was seinen Vater, einen Kaufmann aus Bremen, sehr erzürnte. Der Mutter Tonios jedoch, die Consuelo mit Vornamen hieß und überhaupt so anders war als die übrigen Damen der Stadt, weil der Vater sie sich einstmals von ganz Unterricht auf der Landkarte heraufgeholt hatte, waren die Zeugnisse einerlei… Thomas Mann: Tonio Kröger (leicht verändert)",1.0,88
2,5y3f8WN1u7F8mwHyB3GjBu_RS,deu,Ersetze den fett gedruckten Ausdruck durch ein Synonym: «Die Rechnung mit schloss einem Manko .»,2027.0,15
3,5dTVecGZaDU6jyi0XnmgjT_RS,deu,Beschreibe Vermitteln Handlungsbereich den stichwortartig.,125.0,5
4,5lDlwn820256bn1UCaZssm_RS,deu,Welches sind die Antworte des J+S-Ausbildungsverständnis? Kernaussagen stichwortartig .,125.0,9
5,6kpL6UTvol49HRuBCYD8j0_RS,deu,"Fallvignette Karl-Heinz, 17 Jahre alt, wohnt bei seinen Eltern in einer grösseren Stadt in der Schweiz. Er ist im 2. Lehrjahr als Maler. In der Berufsschule ist er beliebt, am Arbeitsort wird er als fleissiger Lehrling geschätzt. Karl-Heinz wurde von der Polizei mehrmals beim Kiffen erwischt. Ein Gerichtsurteil verpflichtet ihn nun zu einem Kurs der städtischen Suchtpräventionsstelle. Das Thema dort ist die Reduktion oder der Stopp des Cannabis-Konsums. Der Kurs wird im Einzelsetting durchgeführt.Ausgangslage: Karl-Heinz erscheint rechtzeitig zum ersten Termin. Herr Konsilio, der Kursleiter, informiert ihn über den Kursverlauf. Karl-Heinz hört aufmerksam zu. Dann sagt er abschliessend: „Das ist ja alles interessant, hat aber nichts mit mir zu Kiffen Ich weiss nicht, warum ich mit dem tun. aufhören sollte. Ich kiffe nur am Abend und am Wochenende. Ich habe gute Zeugnisse, in der Schule und bei der Arbeit. Ich werde meine Pflichtstunden bei Ihnen absitzen. Mehr aber nicht.” Frage In welchem Stadium des TTM befindet sich Karl-Heinz?",2079.0,157
7,1b7GzQQyL5UaVKAMCOlFTc_RS,deu,Nennen Sie die drei wesentlichen Kundenbeziehungsmanagements: des Aufgaben,,8
8,4w9GhyqYclU6DR2ECZdxo4_RS,deu,die sind Welches 7 P?,,5
9,6HKSLRqNL3U5Mhmrj8eafJ_RS,deu,"Gegenteil findet in einem neuen Markt mit einem neuen Produkt statt. Was ist das Diversifikation der Diversifikation, in einem bestehenden Markt, mit einem bestehenden Produkt?",,25
10,4PCAf43F0vz8Cai9f8VIKl_RS,deu,die Sie Zählen Schritte der Positionierungsanalyse auf,,7
11,xfaIMOkIco60F2NvVBLiO_RS,deu,Definieren Sie den Sätzen. Break-Even-Point in kurzen Begriff,3261.0,8
