taskId,language,description,topic_id,word_count
511,7TVZOkAoQvS71zub3YI9Uy_RD,EN,know,4598.0,1
690,8lxRyLzStOK9eUhNRal38O_RD,EN,describ interact girl follow pictur,,5
691,aazKG44PsKc5UnpTiDECut_RD,EN,three someon el write present follow verb fear hate cat,,10
692,8L1QdQwEG5XaRfdYKcLPed_RD,EN,english homer simpson trabaja una,,5
716,14ambh1obhw7TYMQE8lcC1_RD,EN,short past sometim never,,4
717,8EmBlP6vc49aUpqCFODjiR_RD,EN,gib know two write ein,,5
718,3elDg8Bsg126ktrMA9XnQ7_RD,EN,sentenc past word usual sometim,,5
725,25RGLvb2p0G5zulfX9xQOj_RD,EN,man woman sentenc neg list verb progress form drink laugh read,4815.0,11
726,18Ccvc8NMJT5xqLv9nAgTH_RD,EN,anim write,,2
739,qVrOCQhZmraLEAc8BIoTm_RD,EN,datentrag bedingungslo aufbewahrungsmedien zugelassen,,4
741,7XyIGD5tZe85NDHIxMFvXA_RD,EN,write happen verb present form ask,5145.0,6
743,9i1kt9WgnoJ92e3hMZoWxb_RD,EN,ausdruck geht auf da fahr althochdeutsch faran zuruck erklar den,2025.0,10
768,5DHsZ2qeOj66KMKq8ScRLz_RD,EN,know leadership good leader know bonu point give exampl concept,,10
774,6b45fXjfGSC5verTq8VEAB_RD,EN,indica aiutandoti una che modo tropp e altrettanto troppo poch,2145.0,10
775,9GeL4jxQYWm64cuJ0XTNs5_RD,EN,ruolo colloquio sempr miglior da fare perch potrebb esserci abbastanza spontaneita spiega una frase perch affermazion non,2145.0,17
776,9ZTbpRNZHbj6RnwtBun1qe_RD,EN,e necessario annunciar colloqui perch potrebb dare al il di pensar una strategia di risposta che potrebb sfavor spiega una perch e falsa,2145.0,23
777,d1DXIA990F9MbMQ1WgOFR_RD,EN,qualita senior sei responsabil solo della interno del team lo influenzi anch modo significativo il comportamento rispetto essa fai un del modo cui il comportamento rispetto informazion puo influenzar team,2145.0,30
778,2eRlnm2uhvx7SclvzDQZRZ_RD,EN,usando chiav esistono dei segnali verbali essi forniscono informazioni importanti sull aspetto relazional della comunicazion alcuni messaggi dal destinatario confuso sono questi sono cosiddetti,2145.0,24
779,6tDPpGaUD2C9Er9gu05tVC_RD,EN,le emozioni non possono esser lungo sono per capir quello che tocca che e important per una frase come vederli e riconoscerli,2145.0,22
780,3uT3ndXGDj59gnX6dAbqeG_RD,EN,durant di critica il ruolo collaborator all propost di soluzioni possibili una per questo ruolo,2145.0,15
781,8GPZN1lGAPI8RfOfUkzb4D_RD,EN,la risposta usando una parol durant un colloquio critico che per esempio comportamento scorretto una prestazion inadeguata di manag dovro fare una critica affinch sia la costruttiva possibil basarsi aspetti che distorc deviar il discorso nella di cosa,2145.0,38
847,9TYXjQ0ixmr7vPazqDnrmI_RD,EN,celebr swiss day,,3
872,25Y2BLZGCpkay0f4dRrvpf_RD,EN,interact dog pictur,4815.0,3
873,3Jr6T26XL13aKRh31JX0xi_RD,EN,one pictur visit london go write day london point view write short simpl past experi question origin question,4815.0,18
891,awpv0XE3g4Y5WI6T08ydUf_RD,EN,english tim wohnt grossen hau,,5
896,3tWq4pujD9E7p5gXhZlj7j_RD,EN,wort kastani all moglich silben indem sternchen zwischen den einfugst z b da handwerk hand werk,,16
897,9BEPLYwJtle6SNFq4iKN0U_RD,EN,,,0
917,7olXITeLPhA7lpuJNFI0x0_RD,EN,christma celebr birth christ bring world virgin tell would child tell mari,,12
921,3gbjpjewKN1aa5y4aN20Yw_RD,EN,wine gluhwein vin chaud ingredi holiday,,6
922,9Mc5FyG63rf6kYt9niCyf1_RD,EN,great famili name name philip tongu name noth long pip come call pirrip father famili name sister joe gargeri marri blacksmith never mother either long day photograph first fanci unreason shape letter give odd stout dark man curli charact turn wife draw childish conclus mother freckl sickli stone lozeng foot half arrang row besid grave sacr memori five littl brother mine give live exceedingli indebt belief religi entertain back hand trowser pocket take state exist text answer follow,,78
927,3Q2XVF2pxuk80nm3RKCEgR_RD,EN,know snowflak look beauti know tie interest mathemat object call put simpli two appli snowflak place mirror half snowflak reflexion match,,21
929,acULs3NPhSo8GoCnzRr550_RD,EN,gift famili hint provid list simpl keyword,,7
930,bFnkviohpp9w8xLXYyFgj_RD,EN,tragic incarn christma decemb soldier cross man christma truce even carol footbal countri involv christma truce,,16
931,3ic4WkJzo38a3N18uRT4dN_RD,EN,describ interact girl,,3
933,qvpFCnVIvh9KSq5Zj8wpy_RD,EN,go eggnog,,2
939,1eCGJjuvqMWa0XbPT8455E_RD,EN,sign age give answer,,4
943,2YUaD24fUfP7pWjwIr92iP_RD,EN,follow tim wohnt einem,,4
