taskId,language,description,topic_id,word_count
660,9Aa4h4yosMb9oAglIYVbMr_RS,DE,translat into german народився він у швеицаріі,,7
719,2T3rZTRBlAv94jV8YNcbgq_RS,DE,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum schreiben schuler heimatland schuluniform tragen vorteil nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen fur schuluniform bildungsministerin sagen umso tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken gestern gut,,56
720,2z7BrRib1zJ6KE4gVWmz6U_RS,DE,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor landern auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,,34
740,a0s1XNwpeGQ9pLGnqdkhni_RS,DE,tranlat dog love my i,,5
762,5XfzyS7dJ487uL4NZfz8fZ_RS,DE,erganz zwei mindest weiter anspruchsgruppen,,5
765,8LIIlBLXmue7RO4U5ou7gb_RS,DE,fasse pflicht anhand zusammen satz grafik,4576.0,6
766,26pzeDwUv0t8MVuLVj5JmB_RS,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch angabe kaufgegenstand machen wesentlich information fall verschweigen tauschen partei vertrag zurucktreten fassen regel satz kurz moglich zusammen,4576.0,24
809,8DqIXljQuGe9xQIEqI7WFp_RS,DE,nenn moglichst viel merkmal nachfolgend text fur textsort ansichtskart typisch kawai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaften highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl architektonischen westkust neblig st gallen davon mehr genug flurina,,39
825,1aFSUitL2a75WVYA7sYmbV_RS,DE,alexandra kompetenzprofil fur einstellung stellen kundenbetreu unternehmen erstell frage konnen neu aufgabe stell beschreiben find zwei beispiel fur frage,5195.0,19
826,1vX3fcgVtpy9k6WSWsiwVY_RS,DE,haben aufgab neu projekt entwickeln z b onboard programm fur person neu unternehmen kommen erst schritt antwort stichworten,5199.0,18
827,1Yw06EpFLlx8w5vSpuyw7z_RS,DE,drei gesetz erstellung arbeitsvertrag beachten nenn mussen,5193.0,7
828,3ijyNlG3msT8hVz0AagklM_RS,DE,beantwort frage stichworte meßnahmen streitfal ergreifen komplex frage recht angehen,5197.0,10
829,3Lhb5g6fDr86NzURJcyyDz_RS,DE,stichworter tatigkeitsbereich benenn hr bereich,5188.0,5
830,4ASVotj6O8TaDrfNW86wN8_RS,DE,beschreib anhand stichworter konnen gemaß erg theori einfuhrung fur jemand home offic stark kontaktbedurfni bedeuten,5198.0,15
831,4wgx29MQGCG7nsLZGOLVkb_RS,DE,unternehmen algrifor mocht internetplattform verbessern elektronisch rekrutierung ermoglich professionell programmier beauftragen nenn stichwortartig wichtig punkt gestaltung e recruit achten,5195.0,19
