taskId,language,description,topic_id,word_count
72,9oqJmtbKXts6Rr9Szw4OIS_BT,eng,cours custom book swiss connect academi,,6
122,a0pzxEfKq8c9D0dRZlQcm9_BT,eng,write rule astronaut use condit set exampl attach tool spacewalk attach tool spacewalk float away,,15
123,9Hjn2yUwBcs7DZK6HARkE4_BT,eng,guess commonli speak languag switzerland use modal verb could could write four complet sentenc,,14
124,6AYw9CEZMTN7LN8u0LfYVb_BT,eng,complet sentenc visit exampl plan tonight rain see movi cinema see movi cinema help project,,15
125,8QIKtMOE9zV6lnfc2vHMUd_BT,eng,exampl veget carrot salad broccoli let mention two exampl veget,,10
126,acCkpp9pxibaTc4AAsgOVC_BT,eng,quiz commun anim answer give question miss use one question word list mani exampl ant commun chemic signal call pheromon ant commun ant commun ant understand food,,27
127,4GKDCzco6kPaCUpgz7lOS2_BT,eng,describ advertis answer follow question see pictur,,7
141,45ThHefDwNG9wxNWsUDrsw_BT,eng,favourit colour,3790.0,2
142,asyLh1sqYFu6fPWhBhOyh0_BT,eng,mani leg dog,,3
208,9ScSVIxNzat8MrcxKtwWWo_BT,eng,machin learn write definit sentenc,,5
209,5WEUBPg63mp6yapXpHN9gI_BT,eng,benefit medit name two,,4
228,5mmqwesujxOavPCgPV1jYl_BT,eng,necessari know concentr order neutral acid,,6
313,wLjnfw9X0OaM4TXpmpmbn_BT,eng,kawai septemb dear jen drive california impress coastal landscap architectur highlight delici fish dish enjoy incre natur paradisiac island hawaii send mani ray sunshin west coast misti st gallen enough flurina,4569.0,31
319,3PdC5a8wue86CrU9LbOf4X_BT,eng,w e quot sentenc past ten bart goe school skateboard,,10
320,7I02SNXmJw29PHNDu7X7rD_BT,eng,kawai hello jen trip california impress coastal landscap architectur highlight super fine fish dish enjoy incre natur paradisiac island hawaii send mani ray sunshin west coast misti st gallen enough flurina,,31
322,7TVZOkAoQvS71zub3YI9Uy_BT,eng,know battl waterloo,4598.0,3
349,6sOw5A7zvCF7CDiLo4Uk7q_BT,eng,step five step process use video name step keyword,,9
350,arpZLB27MYq9MWTotPuJAy_BT,eng,statement person give feedback correspond video step impact statement answer key word,,12
351,30w35zN4NWl7TF1fAG1iMQ_BT,eng,would advantag situat miss step includ answer keyword,,8
363,9XdyGVcMBQ46XuuEclSfFn_BT,eng,yesterday,,1
374,4jBgdq0UJJR7scU2V53dkN_BT,eng,often reluct give feedback,,4
376,RfcCuYoNUe7RBgytJfh1F_BT,eng,construct feedback name explain three type construct feedback,,8
378,85nHGOb6zvv8RokLjNPzAr_BT,eng,happen write short sentenc,4815.0,4
380,2UVS16Mi27J75Gf1zgggkX_BT,eng,carolin move countrysid near edinburgh,,5
381,7HvXcqMsD1k6pqiCuLhyL4_BT,eng,read follow text answer follow question chimpanze use face express differ feel grin scoff show excit anxiou clench lip want impress anoth chimpanze play chimpanze usual open smile upper tooth cover addit face chimpanze also commun bodi languag exampl hair air excit reaction also mean afraid aggress usual rais arm hit ground stare anoth anim chimpanze usual produc differ type call exampl special identif call help famili find chimpanze play often make sound similar laughter bodi contact import maintain harmoni group chimpanze,,82
