taskId,description,topic
0,9Aa4h4yosMb9oAglIYVbMr,ubersetze deutsch wurd schweiz gebären,2
1,2T3rZTRBlAv94jV8YNcbgq,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum schreiben schuler heimatland schuluniform tragen vorteil nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen schuluniform bildungsministerin sagen gestern tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken umso gut,0
2,2z7BrRib1zJ6KE4gVWmz6U,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor landern auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,2
3,a0s1XNwpeGQ9pLGnqdkhni,ubersetzen lieb hund,3
4,5XfzyS7dJ487uL4NZfz8fZ,erganz mindester weiter anspruchsgruppen,0
5,8LIIlBLXmue7RO4U5ou7gb,fasse pflicht anhand grafik satz zusammen,0
6,26pzeDwUv0t8MVuLVj5JmB,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch angabe kaufgegenstand machen wesentlich information verschweigen fall tauschen partei vertrag zurucktreten fassen regel satz kurz moglich zusammen,0
7,8DqIXljQuGe9xQIEqI7WFp,nenn moglichst viel merkmal nachfolgend text textsort ansichtskart typisch kawai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,0
8,1aFSUitL2a75WVYA7sYmbV,alexandra kompetenzprofil einstellung neu kundenbetreu unternehmen erstell frage konnen stellen aufgabe stell beschreiben find beispiel frage,2
9,1vX3fcgVtpy9k6WSWsiwVY,haben aufgab neu projekt entwickeln z b onboard programm person neu unternehmen kommen erst schritt antwort stichworten,3
10,1Yw06EpFLlx8w5vSpuyw7z,nenn gesetz erstellung arbeitsvertrag beachten mussen,0
11,3ijyNlG3msT8hVz0AagklM,beantwort frage stichworte maßnahm ergreifen komplex frage recht streitfal angehen,2
12,3Lhb5g6fDr86NzURJcyyDz,benenn stichworter tatigkeitsbereich hr bereich,2
13,4ASVotj6O8TaDrfNW86wN8,beschreib anhand stichworter konnen gemaß erg theori einfuhrung home offic jemand stark kontaktbedurfni bedeuten,2
14,4wgx29MQGCG7nsLZGOLVkb,unternehmen algrifor mocht internetplattform verbessern elektronisch rekrutierung ermoglich professionell programmier beauftragen nenn stichwortartig wichtig punkt gestaltung e recruit achten,2
15,5qXSNUFhNmN5VidLfA9m4w,alexandra schauen bewerbungsdossi gut fallen bemerken zeit inaktivitat erklart formal kriterium bewertung bewerbungsdossi erfullt beantwort frage weniger stichworte,2
16,5X9l77w0fZN6MyxYnD3KVB,nenn stichwort nebenpflicht angestellter,2
17,6E4bDMNlDGW9xdMQL87atr,gib antwort satz alexandra personalverantwortlich ursprunglich familiengefuhrt wachsend unternehmen aufgabe lohnabrechnung nehmen mehr zeit anspruch wurdest raten,0
18,6XcMHDeahgw8YXFQ1agv4E,firma algrifor klein marketingteam mitarbeiterinn neu kampagn jedoch extern firma beauftragen beschreib weniger wort vorgehen heißen,2
19,71YaOZ4cMBG9fw8cYMNsDJ,benenn mithilf stichwort letzen handlung einstellungsverfahren,2
20,7nGyv3xP47X6la5j0r1b39,worauf solltest achter entscheidest konstrukt beurteilungsgesprach fahren antwort stichwort schritt,2
21,7VbRfWDTJl46dcViAZD3lS,nenn mithilf stichwort faktor außerhalb unternehmen einfluss gehalt arbeitnehm,2
22,7xH7JyWDbZU6Ofct6alsxs,nenn aktiv faktor arbeitsmarken,2
23,89hYlgmdvx87BM7GIPQH21,beantwort frage satz person arbeitgeb verlangen meinen vorstellungsgesprach rassistisch diskriminieren wurd,2
24,8IQnwDrs33i7VyEGnPt2bY,arbeitgeb einfach arbeitszeugni ausstellen mitarbeit wegen schwer fehler beispielsweis diebstahl trennen begrund antwort vollstandigen satz,0
25,8YLtWAOsHh0aJV8qM7bn1G,beantwort fragen stichworte vorteil arbeitgeb gesprach abschi fuhrt arbeitnehm arbeitsverhaltni beenden,2
26,ANZ8YXBvnt6WL3RWiHgr8,gib antwort frage zielbezogen frage konn vorstellungsgesprach wahrend probezeit stellen,2
27,zczFAcjzwi7H7kkKNjG66,beschreib satz massnehmen personalmanag anwend problem schweizer demografi entgegenwirken,0
28,xzal4tLN8F8Fj8Wu1XM50,festivalveranstalt verlagern anlass grosser hall ausserhalb stadt bisschen teuer jedoch doppelt gross schildern stichwort auswirkung entscheidung folgend anspruchsgruppen stadt,2
