index,taskId,language,description,context,topic_id,word_count
0,660,9Aa4h4yosMb9oAglIYVbMr,DE,translat into german він народився у швеицаріі,,,7
1,719,2T3rZTRBlAv94jV8YNcbgq,DE,brief zeitung schreiben reaktion artikel zeitung ungefahr worter sagen warum schreiben schuler heimatland schuluniform tragen vorteil nachteil tragen schuluniform meinung remark schulkleidung statt markenwahn schuler uniform bayern ministerprasid bundesbildungsministerin bundesjustizministerin sprechen fur schuluniform bildungsministerin sagen gestern tragen schuluniform begrußen einheitlich schulkleidung identifizierung schule beitragen symbol gemeinschaft schul fall schulkleidung darub hinau verbreitet markenwahn entgegenwirken umso gut,,,56
2,720,2z7BrRib1zJ6KE4gVWmz6U,DE,bericht radiosendung thema heiraen deutschland gehort schluss sendung werden zuhor landern auffordern kurz bericht uber thema heirat heimatland schreiben send schick nachst sendung uber interessantesen zuschriften berichten schreiben bericht uber nennen thema etwa worter,,,34
3,740,a0s1XNwpeGQ9pLGnqdkhni,DE,tranlat i love my dog,,,5
4,765,8LIIlBLXmue7RO4U5ou7gb,DE,fasse pflicht anhand grafik satz zusammen,,4576.0,6
5,766,26pzeDwUv0t8MVuLVj5JmB,DE,vorkommen vertragspartei absichtlich tauscht entwed beispiel falsch angabe kaufgegenstand machen wesentlich information verschweigen fall tauschen partei vertrag zurucktreten fassen regel satz kurz moglich zusammen,,4576.0,24
6,809,8DqIXljQuGe9xQIEqI7WFp,DE,nenn moglichst viel merkmal nachfolgend text fur textsort ansichtskart typisch kawai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,,39
7,845,xzal4tLN8F8Fj8Wu1XM50,DE,festivalveranstalt verlagern anlass grosser hall ausserhalb stadt bisschen teuer jedoch doppelt gross schildern stichwort auswirkung entscheidung folgend anspruchsgruppen stadt,,4576.0,19
8,1033,4hMWK3Mhj5haBKImBjmN0f,DE,kolonn ko gemisch atmospharendruck trennen beschreiben allgemein vorgang wahrend verfahren kolonn ko ablauft antwort satz,,,15
9,1034,3yYlsxQhH0J7pxKErqFl0l,DE,behalt teilanlag mussen wechsel periodisch regenerieren beschreiben regenerationsvorgang antwort satz,,,10
10,1105,afIm0RTT4KK6XTC3ya0g1T,DE,nenn drei errungenschaft zug marktweib erreichen werden,,5289.0,7
11,1113,1Eoip711J8H71DVAO8BtMI,DE,erklar eigen wort warum rund schafe vorzeitig tal bringen werden,,5290.0,10
12,1114,3rYsJTZ4C6R7DcaE4A48GM,DE,beschreib eigen wort warum eu akzeptieren schweden wolfsfrei zon bejagung wolfen geben,,5290.0,12
13,1116,81xdUMIFiyC7gTSwml1MTv,DE,kennzeichen erlebnislyrik antwort satz,,5350.0,4
14,1117,7fE9sk0x2amalma0takBp5,DE,vorgehen planen fur schlussteil interpretationsaufsatz nennen wichtig schritt,,5349.0,8
15,1124,790yfzUMFlJ8eXYT7OtUHW,DE,schreiben satz passiv prasen termin intensiv vorbereit kollege,,,8
16,1129,5gih6z8lRbv5ZAPRSSpPBB,DE,nenn funf merkmal nachfolgend text fur textsort ansichtskart typisch kauai hallo jen fahrt quer kalifornie eindrucklich kustenlandschaft architektonischen highlight super fein fischgerichten geniesse unglaublich natur paradiesinseln hawaii schick viel sonnenstrahl westkust neblig st gallen davon mehr genug flurina,,,38
17,1132,6eVh0sUk73laFRNimbk7MC,DE,mach zwei satzen relativsatz arbeit gern laptop laptop letzen woch bekommen,,5357.0,11
18,1133,avYO5lPPpNR7MVAKdARpVK,DE,zuerst schreib satz nachdem plusquamperfekt neu wohnung finden helfer bestellen nachdem,,5357.0,11
19,1134,6tsg9mDSnNP9MSZAtBpQ08,DE,schreib satz passiv prasen termin intensiv vorbereit kollege,,5357.0,8
20,1135,vO9lrQFWnd6rddJnOBDkJ,DE,erganz passiv prasen packe koffer,,5357.0,5
21,1374,4zcsaIGJPKc5XQ9cX2N0vo,DE,translat he love -- to german,,,6
22,1375,XZZNGpJJoP9NfrRPSfR8w,DE,translat he love -- to german,,,6
23,1378,9fRq8FcU04z6cylMYhxZpp,DE,translat he love -- to german,,,6
24,1379,6tKWn39JVqC6nMBv9vQoGD,DE,translat he love -- to german,,,6
25,1809,7bJSSnEH7oC9X4OLEOBOHF,DE,erganz passiv prasen empfehlen restaur,,5357.0,5
26,1810,7FFk3hJ8VXl5PxDmcM1yg6,DE,schreiben satz passiv prasen meister haushalt trennen abfal,,5357.0,8
27,1811,1mfdXT4GupD5I8EgTdLjnb,DE,schreiben satz passiv prasen bayern trinkt bier,,5357.0,7
28,1812,3nyPPFNdnq3aWkfdyyblYZ,DE,machen schreiben passiv prasen kaffe servieren,,5357.0,6
29,1813,6jck1jG2yALa91FNC2Avae,DE,machen schreiben passiv prasen ordn abhol,,5357.0,6
30,1814,3DSHS6PDsDJ6jCx4ZaYAkq,DE,ordn satz schreiben passiv prasen koffer tasch kleidung eingepacken,,5357.0,9
31,1815,3h77kJLwUzk9jnm3I5I72t,DE,ordn satz schreiben passiv prasen abstellen kuhlschrank,,5357.0,7
32,1816,acRRmel9dq79Mz98xPSL7U,DE,wer machen schreiben satz passiv prasen oft untersuch arztin kind,,5357.0,10
33,1817,5h3g4hte7GG97F5Dc8VSfx,DE,wer machen schreiben satz passiv prasen empfehlen arztin medika,,5357.0,9
34,2056,WQpEgyLgi089ljEf8PuJw,DE,walter buchhalt debitoren generaldirekt sbb bern nennen aufgabe sowi moglich kompetenz verantwortung stell taskbas kommentar folgend aufgeben handeln offen aufgeben fur aufgab musterlosung hinterlegen taskbas aufgeben gut wissen vorhanden information aufsetzen musterlosung vorhanden moglich antwort gemass einschatzung hep fehl zusammenarbeit werden didaktisch diskussion passieren feedbacktext lernend hinwei geben korrekt antwort konnt feedbacktext enthalt musterlosung,,,54
35,2057,aqFM7iL1gxE8Nl9d5EwMZ7,DE,nennen variant organis taskbas kommentar aufgeben handeln cloze aufgeben wort beantworten fur aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback geben lernend hinwei richtig losung enthalt musterlosung,,,27
36,2058,5CFVvAUF1ql5IyB56TENAa,DE,warum wurd wohl organis wahlen taskbas kommentar aufgeben handeln offen aufgeben fur aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback geben lernend hinwei richtig losung enthalt musterlosung feedback ebenfal hinterlegen lernend grammatik rechtschreibfehl machen liegen allerd hoheit hep individuel didaktisch anforderung angepasst,,,42
37,2059,3OSeZ6O83us8GUTd4pseaY,DE,abteilung organisieren taskbas kommentar aufgeben handeln offen aufgeben fur aufgab musterlosung vorhanden anhand aufgab aufgesetzt wurd feedback geben lernend hinwei richtig losung enthalt musterlosung feedback ebenfal hinterlegen lernend grammatik rechtschreibfehl machen liegen allerd hoheit hep individuel didaktisch anforderung angepasst,,,39
38,2111,1bE5K6vfUmkaLCVEop9wJM,DE,formulier antwort mithilf mehrer stichwort nenn mindest zwei dimension lebensbereich person tyrann tater beeintrachtigen,,5425.0,14
39,2182,s8jsymMwfZ7Fn4A59dRSU,DE,beschreib hund erwahn hierbei rass farb groß alter einfallt,,,9
40,2184,4zCCSDzZTms68NuZVvcVct,DE,schreiben satz prateritum gestern erzahlen schichen,,,6
41,2195,2JIQtvavj715NCtZBhwpKb,DE,beschreib zwei satzen problem umgang fluchtling deutlich,,,7
42,2200,7Pv0gEhr6Xc8mgGlUvktVK,DE,bild satz konjunktiv florian gern neu auto,,,7
43,2213,SOMP2AgEC08C9MNNjovKJ,DE,formulier satz konjunktiv ii verwendung vorgegeben element heuen abend helfen konn,,,11
44,2214,aY3j1u00B739hp4ZmHLVHe,DE,formulier satz konjunktiv ii verwendung vorgegeben element brianna gern mehr geld,,,11
45,2239,527EsNbu7Mva1FIzFhT8ad,DE,warum radikalisiert teil britisch frauenbewegung beschreib eigen wort,,5289.0,8
46,2250,4Rg8Yp2yGgf7aV1xzYfiVy,DE,erklar bildhaftigkeit markiert ausdruck tonio daheim zeit vertrodeln bei unterricht langsam undabgewandter geist lehrer schlecht anschreiben stehen fallen not bodenlos vater kaufmann bremen erzurnen mutter tonio jedoch consuelo vornamen heißen uberhaupt ubrig dam stadt vater einstmal ganz unten landkart heraufgeholt zeugniss einerlei thoma mann tonio kroger leicht verandern,,,48
47,2296,LiHAY4BB975PIk5fa7IuJ,DE,schreib satz passiv pras paket sollen bringen,,,7
48,2298,aYH2E7OnEXD6ZkBuRluem2,DE,schreib satz passend reflexivpronom entspann well center,,,7
49,2402,7ZeBN122qi97fFI8wxKhDd,DE,schreib satz konjunktiv gern tanzen,,,5
50,2533,86AW3SNqRiO8Kn6W4JHuHb,DE,formulier antwort mithilf zwei stichworter ausubung roll fuhrungskraft setzen zwei wesentlich voraussetzung vorau machen innerhalb unternehmen autoritat beruflich kenntniss fahigkeit fertigkeit form autoritat bezeichnen fachwiss gleichzusetze sprechen,,5378.0,27
51,2572,5SPLVjXcUlz6HVqntC2YVA,DE,rektifik kolonn ko vakuum betreiben warum rektifikationskolonnen allgemein vakuum betrieb antwort satz,,,12
52,2628,3d4uY78HXId8zpfktm3vyP,DE,formulier antwort satz immer ratsam konflikt lose,,5425.0,7
53,2630,16l2jy1UQvB6cMkClaq9VU,DE,formulier antwort satz bedeuten verarbeiten konflikt,,5418.0,6
54,2631,6nW7AFyDqxS68XRunWrRaf,DE,formulier antwort kurz satz konflikt erleben vorteil nenn beispiel fur vorteil nutzen,,5426.0,12
55,2634,8HXvPKB56Jr9sO0idXAGKu,DE,formulier antwort mehrere stichwortern konflikt meist storend kosten energi konn posit aspekt bringen nenn beispiel,,5418.0,15
56,2635,GpkD9MREia5zJ5bYjgvQ,DE,formulier antwort mithilf wenig stichwort je lang losung konflikt warten desto wahrscheinlich auflost erklar weniger wort satz warum aussag falsch,,5421.0,20
57,2636,84QmEbG9h8lasOCiauCasS,DE,formulier antwort satz warum sinnvol analy konflikt sichtweis gegenseit berucksichtigen,,5422.0,10
58,2671,8YrEylIIa0jaxOGT6rvzip,DE,inhalt gehort klett balmer verlag mehr information produkt finden digion ch warum edinburgh lieb edinburgh erster mal kind eltern schwester besuchen finden magisch stadt ganz besonderer atmosphar klein genug leicht zurechtzufind verlieren fuhlen groß genug meng unternehmen schule beschloss studieren gut entscheidung wunderbar zeit einheimischen wirklich freundlich zeit beginnen sogar edinburgh akzent verstehen tatsachlich gefiel edinburgh gut universitat bleiben zunachst leben arbeiten stadt nachdem mann kennenlernen echter schott ziehen nahe auf land arbeit haus eigen unternehmen leiben wochenend mini stadt fahren letzen woch eltern besuch edinburgh castl schottisch nationalgaleri besuchen tag gehen kind zoo tag fahren boot inchcolm abbey nah gelegen insel meister tag princ street garden picknicken find toll edinburgh viel verschieden ding tun geben stadt wirklich zuhaus werden konnen vorstell wegzuziehen beantworten frage vollstandigen satz warum carolin edinburgh ziehen ziehen edinburgh studieren stadt lieben,,,136
59,2680,7EOqAtyYtwf7CruWTI727W,DE,bereichen frau iran benachteiligen,,5289.0,4
60,2681,2j6rJkYxYa98ydGaSCW17D,DE,nenn bei zug marktweib passieren,,5289.0,5
61,2682,7s0Q19C07lJ7fIkxJrorG3,DE,bereichen frau iran benachteiligen,,5289.0,4
62,2690,6z8NILuhWJB7juu2u9rtx0,DE,gegner konflikt gewinnen zwangslaufig verlier erklar mithilf satz warum satz falsch,,5424.0,11
63,2694,3Dv5AAXYgqj8adX5uQOsXl,DE,erklar wieso meeresschildkrot wasseroberflach spiegeln sehen,"  Dieses dekorative Leuchtobjekt besteht aus vielen sehr dünnen durchsichtigen Fasern, aus deren Enden helles Licht austritt. Wieso können durchsichtige Glasfasern Licht leiten?   In Lichtleiterlampen wird Licht in Glas- oder Kunststofffasern geleitet, sogar über gekrümmte Wege. Das funktioniert auch mit einer „Wasserfaser“. Ein Lichtbündel tritt von links in den Auslauf eines Wasserbechers ein. Es „folgt“ dem Wasserstrahl, ohne ihn seitlich zu verlassen. Beim Übergang von einem optisch dichteren Stoff (wie Wasser) zu einem optisch dünneren Stoff (wie Luft) ist der Brechungswinkel immer größer ist als der Einfallswinkel. Die Bilder a) bis c) zeigen, dass bei einem bestimmten Einfallswinkel der Brechungswinkel 90° erreicht wird. Diesen Einfallswinkel nennt man Grenzwinkel α G . Ist der Einfallswinkel größer als der Grenzwinkel, kann keine Brechung mehr auftreten, das gesamte Licht wird reflektiert. Dieser Fall wird als Totalreflexion bezeichnet. In der Tabelle sind die Grenzwinkel für verschiedene Stoffpaare angegeben: Stoffpaar Grenzwinkel Wasser / Luft 49° Glas / Luft 42° Rubin / Luft 34° Diamant / Luft 24° Die folgende Abbildung zeigt ein Lichtbündel, das durch eine dünne Glasfaser geleitet wird. Der Einfallswinkel des Lichtbündels ist immer größer als der Grenzwinkel beim Übergang Glas-Luft. Das Licht wird also total reflektiert. Auch in Glasprismen kann eintretendes Licht total reflektiert werden. Die Abbildung zeigt ein Umkehrprisma und ein 90°-Prisma. Solche Prismen werden in optischen Geräten, z. B. Ferngläsern, verwendet. Sie können Spiegel ersetzen.   Beim Übergang vom optisch dichteren zum optisch dünneren Stoff kann Totalreflexion auftreten. Dazu muss der Einfallswinkel größer als der Grenzwinkel sein. ",,6
64,2695,1yGmHUWBaOS9s7NQgVX03j,DE,spielen form blendenoffnung lochkamera roll begrund entscheidung,"  An einem sonnigen Tag sieht man bei einem Waldspaziergang helle runde Flecke am Boden. Das Licht der Sonne strahlt durch die unregelmäßigen Lücken im Blätterdach. Warum aber sind diese „Sonnentaler“ kreisrund?   Im Zeitalter von Kameras mit Millionen von Speicherpunkten kann man sich kaum mehr vorstellen, dass man ganz ohne digitale Hilfsmittel ein Bild erzeugen kann. Darum denkt auch beim oben abgebildeten Waldweg niemand an eine Kamera. Aber die einfachste Kamera, die sogenannte camera obscura (lat. für dunkles Zimmer) gibt es schon seit zweitausend Jahren. Sie besteht aus einem dunklen Raum (Kammer, Pappkarton oder eben ein schattiger Waldweg), in den nur durch ein kleines Loch Licht gelangt. Die Abbildung zeigt, wie in einer Lochkamera das Bild einer Kerze entsteht: Von jedem Punkt der leuchtenden Flamme breitet sich das Licht geradlinig in alle Richtungen aus. Je ein schmales Lichtbündel gelangt durch das kleine Loch (die „Blende“) und erzeugt auf dem gegenüberliegenden Schirm ein Bildscheibchen. Insgesamt ergibt sich das Bild der ganzen Flamme. Das Bild steht jedoch auf dem Kopf und ist seitenverkehrt. Genauso verhält es sich beim Waldweg. Die kleinen Lücken im Blätterdach wirken wie Blenden und wie die Flamme wird hier die kreisrunde Sonne auf den Weg abgebildet. Je kleiner das Loch, desto dunkler, aber schärfer ist das Bild; je größer die Blende, desto heller, aber unschärfer ist das Bild. Denn bei einer großen Blende gelangen breite Lichtbündel ins Innere der Kamera, die sich auf dem Schirm überlappen. Es entsteht kein scharfes Bild mehr. Mangels Zoomobjektiv muss man sich vor dem Fotografieren mit der Lochkamera Gedanken über die Größe des Bildes B und des Gegenstands G machen. Wie groß das Bild auf dem Schirm wird, hängt von der Größe des abgebildeten Gegenstands G , von seiner Entfernung zur Blende g und vom Abstand des Schirms zur Blende b ab. Je näher man bei einer bestimmten Gegenstandsgröße an den Gegenstand heran geht, desto größer ist das Bild auf unserem Schirm.   Eine Anordnung aus Lochblende und Schirm mit einem Gehäuse bezeichnet man als Lochkamera. Auf dem Schirm einer Lochkamera entsteht ein Bild. Je kleiner die Blendenöffnung ist, desto schärfer, aber dunkler ist das Bild. ",,7
65,2696,E7x6BYONFk8s9yhgeTguo,DE,lochblend sammellinse erzeug bild leuchtend gegenstand nenn gemeinsamkeit unterschied bild erklar unterschiedlich bildentstehung,"  Mit dieser Sammellinse werden zwei Bilder vom Fenster, das sich hinter dem Betrachter befindet, erzeugt. Eines davon wird auf der Wand aufgefangen. Nur in einem bestimmten Abstand der Linse von der Wand ist dieses Bild scharf. Wodurch unterscheidet sich die Abbildung an der Wand von dem Bild, das man auf der Linse sieht?   Das Bild des Fensters auf der Wand ist seitenverkehrt und steht auf dem Kopf, während das Spiegelbild auf der Linse aufrecht steht. Das Bild des Fensters an der Wand ist kleiner als das Fenster selbst. Die Abbildung zeigt, wie das umgedrehte Bild entsteht. Licht, das von der Spitze der Kerzenflamme ausgeht und auf die Linse trifft, wird durch die Linse so gebrochen, dass es hinter der Linse nach unten zusammengeführt wird. Licht, das vom Docht ausgeht, wird durch die Linse nach oben gebrochen und zusammengeführt. Alle diese Bildpunkte entstehen nur in einem bestimmten Abstand hinter der Linse. Die Abstände von Bild und Gegenstand zur Linsenmitte (Bildweite und Gegenstandsweite) müssen zueinander passen, sonst ist das Bild unscharf. Die Bildgröße hängt von der Gegenstandsweite ab. In der Abbildung ist sie gerade so groß, dass Kerze und Bild der Kerze gleich groß sind. Das Bild der Kerze existiert auch ohne Schirm! Entfernt man den Schirm und blickt von hinten in Richtung Linse, so sieht man das Bild im Raum schweben: An der Stelle, wo der Schirm vorher war. Staub oder Nebel an dieser Stelle lassen das Bild besser erkennen. Auch mit einer wassergefüllten Glaskugel kann ein Bild erzeugt werden. Die Wasserkugel wird zur Linse, wenn wir sie uns in einen Würfel und zwei Kugelkappen zerlegt denken. Die Flächen des Würfels verschieben Lichtstrahlen beim Durchgang nur wie eine dicke Glasplatte. Die beiden gekrümmten Oberflächen der Kugelkappen wirken wie eine Sammellinse.   Mit dem dargestellten Versuchsaufbau lässt sich herausfinden, welchen Abstand Lichtquelle, Linse und Schirm zueinander haben müssen, damit das Bild scharf ist. Zur Beschreibung der Abstände werden zwei Begriffe benötigt: Der Abstand von der Linse zum Schirm heißt Bildweite b , der Abstand vom Gegenstand zur Linse heißt Gegenstandsweite g . Die Kerze soll aus einer sehr großen Gegenstandsweite immer näher zur Linse geschoben werden. Dabei wird jeweils die Bildweite so verändert, dass ein scharfes Bild auf dem Schirm entsteht. Zunächst stellt man fest, dass dies für jede Gegenstandsweite höchstens bei einer einzigen Bildweite gelingt, d. h., um ein scharfes Bild zu erhalten, muss zu jeder Gegenstandsweite eine ganz bestimmte Bildweite eingestellt werden. Bei sehr großer Gegenstandsweite verändert sich die Schärfe des Bildes zunächst allerdings kaum, wenn eine etwas zu große oder zu kleine Bildweite eingestellt wird. Je kleiner die Gegenstandsweite wird, desto genauer muss man die Bildweite einstellen, um eine scharfes Bild zu erhalten. Das scharfe Bild steht in allen Fällen auf dem Kopf und es wird größer, wenn die Gegenstandsweite abnimmt. Ist die Gegenstandsweite sehr klein, entsteht gar kein Bild auf dem Schirm. Bei genauer Untersuchung lassen sich mehrere Fälle unterscheiden: g > 2 f , d.h., die Gegenstandsweite ist größer als die doppelte Brennweite der Sammellinse: Das Bild ist kleiner als das Original. g = 2 f , d.h., die Gegenstandsweite ist gleich der doppelten Brennweite: Das Bild ist so groß wie das Original und die Bildweite ist gleich der doppelten Brennweite ( b = 2 f ). f < g < 2 f , d.h., die Gegenstandsweite liegt zwischen der einfachen und doppelten Brennweite: Das Bild ist größer als das Original und die Bildweite ist größer als die doppelte Brennweite ( b > 2 f ). g ≤ f , d.h., die Gegenstandsweite ist gleich der Brennweite oder kleiner als die Brennweite: Auf dem Schirm entsteht kein Bild . ",,13
