taskId,language,description,topic_id,word_count
0,7TVZOkAoQvS71zub3YI9Uy,EN,know battl waterloo,4598.0,3
1,8lxRyLzStOK9eUhNRal38O,EN,describ interact girl dog follow pictur,,6
2,aazKG44PsKc5UnpTiDECut,EN,write three short sentenc someon el write present continu use follow verb love fear hate exampl love cat,,18
3,8L1QdQwEG5XaRfdYKcLPed,EN,translat sentenc english homer simpson work nuclear power plant,,9
4,14ambh1obhw7TYMQE8lcC1,EN,write short text sentenc past simpl use word usual sometim never,,11
5,8EmBlP6vc49aUpqCFODjiR,EN,gib know write,,3
6,3elDg8Bsg126ktrMA9XnQ7,EN,write sentenc past simpl use one word usual sometim,,9
7,25RGLvb2p0G5zulfX9xQOj,EN,man woman write sentenc posit neg happen pictur use two list verb present progress form drink eat laugh listen read smile wear work,4815.0,23
8,18Ccvc8NMJT5xqLv9nAgTH,EN,anim say write sentenc,,4
9,qVrOCQhZmraLEAc8BIoTm,EN,datum carrier uncondit approv retent medium,,6
10,7XyIGD5tZe85NDHIxMFvXA,EN,peopl write sentenc happen pictur use two list verb present progress form ask buy carri sell,5145.0,16
11,9i1kt9WgnoJ92e3hMZoWxb,EN,express ford goe back basic word drive old high german faran control move away explain connect,2025.0,16
12,5DHsZ2qeOj66KMKq8ScRLz,EN,know concept leadership good leader know write one concept keyword get bonu point give exampl concept,,16
13,6b45fXjfGSC5verTq8VEAB,EN,indic help sentenc mani inform equal harm,2145.0,7
14,9GeL4jxQYWm64cuJ0XTNs5,EN,role manag prepar interview alway good thing may quit spontan explain sentenc statement relev,2145.0,14
15,9ZTbpRNZHbj6RnwtBun1qe,EN,necessari announc import interview could give employe time think respon strategi could play default manag explain sentenc statement fal,2145.0,19
16,d1DXIA990F9MbMQ1WgOFR,EN,senior manag respon manag inform within team also influenc significantli behavior compar make exampl way behavior compar inform influenc team member,2145.0,21
17,2eRlnm2uhvx7SclvzDQZRZ,EN,repli use keyword non verbal signal provid import inform relat aspect commun messag sometim perceiv recipi confus authent reliabl call messag,2145.0,21
18,6tDPpGaUD2C9Er9gu05tVC,EN,emot feel can not hide long time use understand touch we import we sentenc explain see arriv recogn,2145.0,18
19,3uT3ndXGDj59gnX6dAbqeG,EN,critic interview role collabor respect propos possibl solut write one two sentenc explain role,2145.0,14
20,8GPZN1lGAPI8RfOfUkzb4D,EN,give answer use one keyword critic interview concern exampl incorrect behavior inadequ perform manag critic order critic construct possibl must base import aspect emot often distort make speech deviat subject,2145.0,30
21,9TYXjQ0ixmr7vPazqDnrmI,EN,celebr swiss nation day,,4
22,25Y2BLZGCpkay0f4dRrvpf,EN,describ interact girl dog follow pictur,4815.0,6
23,3Jr6T26XL13aKRh31JX0xi,EN,one peopl pictur visit london go write day london point view write short text sentenc simpl past experi question like help origin client question,4815.0,24
24,awpv0XE3g4Y5WI6T08ydUf,EN,write english tim live larg hous,,6
